Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Color options,Rear brakes,Starter,Alternate seat height,Valves per cylinder,Comments,Ground clearance,Lubrication system,Clutch,Exhaust system,Frame type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Front suspension,Rear suspension,Overall length,Diameter,Max RPM,Front tire,Rear tire,Reserve fuel capacity,Modifications compared to previous model,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Oil capacity,Factory warranty,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Driveline,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Belt teeth,Belt width,Engine details,Overall height,Overall width,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Jawa 640 Classic,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.0 ccm (20.99 cubic inches),"Single cylinder, two-stroke",24.0 HP (17.5  kW)) @ 5250 RPM,,120.0 km/h (74.6 mph),Air,,,Expanding brake,149.0 kg (328.5 pounds),0.1611 HP/kg,,1370 mm (53.9 inches),17.00 litres (4.49 US gallons),"Red, white, black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EL 252,2000,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",252.0 ccm (15.38 cubic inches),"Twin, four-stroke",30.0 HP (21.9  kW)) @ 12000 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 10000 RPM,,Liquid,6-speed,,Single disc,143.0 kg (315.3 pounds),0.2098 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",,11.00 litres (2.91 US gallons),,Expanding brake,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GZ Marauder 125,2000,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 12500 RPM,8.0 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 7500 RPM,105.0 km/h (65.2 mph),Air,5-speed,,Single disc,123.0 kg (271.2 pounds),0.0976 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),14.00 litres (3.70 US gallons),"Black, blue",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italjet Grifon 900,2000,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",130.0 HP (94.9  kW)) @ 10200 RPM,,235.0 km/h (146.0 mph),Liquid,5-speed,Chain   (final drive),Dual disc,165.0 kg (363.8 pounds),0.7879 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,,Silver,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 - 748 S,2000,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)) @ 11000 RPM,74.0 Nm (7.5 kgf-m or 54.6 ft.lbs) @ 9000 RPM,,Liquid,6-speed,,Dual disc,196.0 kg (432.1 pounds),0.4949 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),"Yellow, red",Single disc,,,,"The 748's wheels have three spokes, whereas the 748S has five. While the plain 748 is only delivered as ""biposto"", which means saddle for two, the 748S comes with either saddle for one or two persons. Also the 748S has better breaks and suspension.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 SX,2000,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,Liquid,,Chain   (final drive),Single disc,101.0 kg (222.7 pounds),,,1481 mm (58.3 inches),7.50 litres (1.98 US gallons),Orange/silver,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 Duke II,2000,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 5500 RPM,170.0 km/h (105.6 mph),Liquid,5-speed,Chain   (final drive),Single disc,145.0 kg (319.7 pounds),0.3379 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",1460 mm (57.5 inches),12.00 litres (3.17 US gallons),"Silver/black, green/black",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger,2000,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",855.0 ccm (52.17 cubic inches),"In-line three, four-stroke",87.0 HP (63.5  kW)) @ 6400 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 6400 RPM,200.0 km/h (124.3 mph),Liquid,6-speed,Chain   (final drive),Dual disc,215.0 kg (474.0 pounds),0.4047 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",1550 mm (61.0 inches),24.00 litres (6.34 US gallons),"Blue. black, yellow",Single disc,Electric,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 400 SX Racing,2000,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,,,Liquid,4-speed,Chain   (final drive),Single disc,107.0 kg (235.9 pounds),,,1481 mm (58.3 inches),7.50 litres (1.98 US gallons),Orange/silver,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FC 600,2000,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,103.0 kg (227.1 pounds),,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Blue/yellow,Single disc,Kick,,,Also sold with four gears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 125 SE,2000,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9800 RPM,,100.0 km/h (62.1 mph),Air,6-speed,Chain   (final drive),Single disc,101.0 kg (222.7 pounds),0.1188 HP/kg,,1380 mm (54.3 inches),13.00 litres (3.43 US gallons),"Black, white/blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Sport 660,2000,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),175.0 km/h (108.7 mph),Liquid,5-speed,Chain   (final drive),,173.0 kg (381.4 pounds),0.2775 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),18.00 litres (4.76 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB6R,2000,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",152.0 HP (110.9  kW)) @ 10000 RPM,119.0 Nm (12.1 kgf-m or 87.8 ft.lbs) @ 8700 RPM,,,5-speed,,Dual disc,190.0 kg (418.9 pounds),0.8000 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),,,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Nemesis,2000,Prototype / concept model," 3.4  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",1479.0 ccm (90.25 cubic inches),"V8, four-stroke",235.0 HP (171.5  kW)) @ 12000 RPM,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 9000 RPM,,Liquid,6-speed,Chain   (final drive),Double disc,217.0 kg (478.4 pounds),1.0829 HP/kg,,,,,Single disc,Electric,,4,"It is said that Norton are having financial problems, so if it is unsure whether the Nemesis will ever hit the road.",,,,,,,73.0 x 44.7 mm (2.9 x 1.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,Telescopic fork,Monoshock,,230 mm (9.1 inches),,120/60-17 ,200/60-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 E,2000,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",47.0 HP (34.3  kW)) @ 9200 RPM,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 7400 RPM,170.0 km/h (105.6 mph),Air,6-speed,Chain   (final drive),,169.0 kg (372.6 pounds),0.2781 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,17.00 litres (4.49 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXST Softail Standard,2000,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 5300 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3200 RPM,170.0 km/h (105.6 mph),Air,5-speed,Belt   (final drive),Single disc,305.0 kg (672.4 pounds),0.2066 HP/kg,"642 mm (25.3 inches) If adjustable, lowest setting.",1697 mm (66.8 inches),19.00 litres (5.02 US gallons),"Black, red, blue",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS Drag Star Classic 650,2000,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 3000 RPM,140.0 km/h (87.0 mph),Air,5-speed,,Single disc,217.0 kg (478.4 pounds),0.1843 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",1610 mm (63.4 inches),16.00 litres (4.23 US gallons),"Black, gold",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 EXC,2000,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,Liquid,,Chain   (final drive),Single disc,109.0 kg (240.3 pounds),,,1481 mm (58.3 inches),9.50 litres (2.51 US gallons),Orange/silver,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500,2000,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 9500 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 8000 RPM,,Liquid,6-speed,Chain   (final drive),Single disc,173.0 kg (381.4 pounds),0.3353 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),18.00 litres (4.76 US gallons),"Red, blue, black",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHRCI Road King Classic,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1499.0 ccm (91.47 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5200 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,,Air,5-speed,Belt   (final drive),Double disc. Four-piston calipers. ,345.0 kg (760.6 pounds),0.1942 HP/kg,"684 mm (26.9 inches) If adjustable, lowest setting.",1612 mm (63.5 inches),18.90 litres (4.99 US gallons),"Black, red, blue, bronze, lilac, orange, blue/gray, orange/gray, red/black, green/black, blue/white",Single disc. Four-piston calipers. ,Electric,,2,,130 mm (5.1 inches),"Dry sump, internally mounted, crank driven gerotor pressure and dual scavenge pump with spin on pressurized oil filter",,,"Mild steel, rectangular section backbone with twin down-tubes, Swing arm",8.9:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Overhead Valves (OHV),"Single-fire, non-wasted, map-controlled spark ignition",Telescopic,Air-adjustable,,292 mm (11.5 inches),,130/90-16 ,130/90-16 ,,,26.0°,156 mm (6.1 inches),,,,3.80 litres (4.02 US quarts),,,,,,,SAE 20W-50,K & N  KN-171C (chrome),,,YIX30L,"NGK DCPR7E, NGK DCPR7EIX",1000  RPM,,,32/70 (front/rear),,,41 mm (1.6 inches),139,1 1/2,,,,,,,
Harley-Davidson XLH Sportster 883 Hugger,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 4100 RPM,150.0 km/h (93.2 mph),Air,5-speed,Belt   (final drive),Single disc,235.0 kg (518.1 pounds),0.2128 HP/kg,"689 mm (27.1 inches) If adjustable, lowest setting.",1505 mm (59.3 inches),12.50 litres (3.30 US gallons),"Yellow, black, orange, blue, red, white, bronze",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Legend TT,2000,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 4000 RPM,175.0 km/h (108.7 mph),,6-speed,Chain   (final drive),Single disc,215.0 kg (474.0 pounds),0.3256 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",1580 mm (62.2 inches),15.00 litres (3.96 US gallons),"Green, red",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM 604 RS,2000,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,636.0 ccm (38.81 cubic inches),"Single cylinder, four-stroke",,,,,5-speed,,Single disc,138.0 kg (304.2 pounds),,"840 mm (33.1 inches) If adjustable, lowest setting.",1482 mm (58.3 inches),20.00 litres (5.28 US gallons),,Single disc,,,,The 604 engine is produced by Rotax.,,,,,,,,,,,,,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 600 - Monster 600 Dark - Monster 600 City - Monster 600 Metallic,2000,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",51.0 HP (37.2  kW)) @ 8000 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 6000 RPM,175.0 km/h (108.7 mph),Air,5-speed,,Single disc,174.0 kg (383.6 pounds),0.2931 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),16.50 litres (4.36 US gallons),"Red, yellow, blue/black, black",Single disc,,,,,,,,,,,,,,,,,,245 mm (9.6 inches),,,,,"Dark, City and Metallic in the model name is referring to the colors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 F - CB 250 G,2000,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",234.0 ccm (14.28 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 8000 RPM,18.0 Nm (1.8 kgf-m or 13.3 ft.lbs) @ 6500 RPM,,Air,5-speed,,Single disc,132.0 kg (291.0 pounds),0.1439 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,,,Drum,,,,"The 250 F, which has it's specs listed here, has 2 HP more than the G version.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GV Aquila 125,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",14.0 HP (10.2  kW)) @ 10000 RPM,12.5 Nm (1.3 kgf-m or 9.2 ft.lbs) @ 8000 RPM,,Air,5-speed,,Single disc,145.0 kg (319.7 pounds),0.0966 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 400,2000,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",385.0 ccm (23.49 cubic inches),"Single cylinder, four-stroke",32.0 HP (23.4  kW)) @ 8000 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 6200 RPM,120.0 km/h (74.6 mph),Air,,,,174.0 kg (383.6 pounds),0.1839 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",1590 mm (62.6 inches),13.00 litres (3.43 US gallons),,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell M2 Cyclone,2000,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",93.5 HP (68.2  kW)) @ 6100 RPM,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 5600 RPM,210.0 km/h (130.5 mph),Air,5-speed,,Single disc,200.0 kg (440.9 pounds),0.4675 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",1397 mm (55.0 inches),19.00 litres (5.02 US gallons),"Blue, yellow, black, orange",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starway/Chu Lan 125,2000,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),,13.0 HP (9.5  kW)),,,,5-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZS 600 S,2000,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 11500 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 9500 RPM,215.0 km/h (133.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,189.0 kg (416.7 pounds),0.5026 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),20.00 litres (5.28 US gallons),"Black, silver, gold, red",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",89.0 HP (65.0  kW)) @ 9000 RPM,70.0 Nm (7.1 kgf-m or 51.6 ft.lbs) @ 7250 RPM,175.0 km/h (108.7 mph),Liquid,5-speed,,Single disc,229.0 kg (504.9 pounds),0.3886 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",1550 mm (61.0 inches),13.00 litres (3.43 US gallons),"Red, black",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 812 Millennium,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8700 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7000 RPM,,Air,5-speed,,Single disc,122.0 kg (269.0 pounds),0.0820 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-6R Ninja,2000,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",112.0 HP (81.8  kW)) @ 12500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 10000 RPM,255.0 km/h (158.4 mph),Liquid,6-speed,Chain   (final drive),Dual disc,170.0 kg (374.8 pounds),0.6588 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),18.00 litres (4.76 US gallons),"Green, silver, red",Single disc,Electric,,,,,,,,,12.8:1,,,,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda FES 250 Foresight,2000,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 7000 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 5500 RPM,,,,,Dual disc,150.0 kg (330.7 pounds),0.1333 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",,,,Single disc,,,,The Honda Foresight has automatic transmission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Mastiff,2000,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,34.0 Nm (3.5 kgf-m or 25.1 ft.lbs),150.0 km/h (93.2 mph),Liquid,5-speed,Chain   (final drive),Single disc,160.0 kg (352.7 pounds),0.3125 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),13.00 litres (3.43 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 400 EXC Racing,2000,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,112.0 kg (246.9 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",1481 mm (58.3 inches),9.00 litres (2.38 US gallons),Orange/silver,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 N Bandit,2000,Allround," 4.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 4500 RPM,220.0 km/h (136.7 mph),Oil & air,5-speed,Chain   (final drive),Dual disc,214.0 kg (471.8 pounds),0.4579 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),19.00 litres (5.02 US gallons),"Black, silver, maroon",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 1200 S Sportster Sport,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 5500 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 4000 RPM,177.0 km/h (110.0 mph),Air,5-speed,Belt   (final drive),Dual disc,240.0 kg (529.1 pounds),0.2542 HP/kg,"711 mm (28.0 inches) If adjustable, lowest setting.",1523 mm (60.0 inches),12.50 litres (3.30 US gallons),"Yellow, red, violet",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
