Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Fuel system,Torque,1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Starter,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Rear percentage of weight,Alternate seat height,Comments,Modifications compared to previous model,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Chain links,Sprockets,Seat,Instruments,Electrical,Light,Carrying capacity,Wheels,Engine details,Battery,Driveline
Aprilia ETX 350,1985,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,130.0 km/h (80.8 mph),9.6:1,79.5 x 70.4 mm (3.1 x 2.8 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,167.0 kg (368.2 pounds),13.00 litres (3.43 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZL 900 Eliminator,1985,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",105.0 HP (76.6  kW)) @ 9500 RPM,215.7 km/h (134.0 mph),11.0:1,72.5 x 55.0 mm (2.9 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18  56h ,160/80-15  74h ,Double disc,Single disc,,11.00 litres (2.91 US gallons),4,Carburettor. 4 keihin cvk 32,85.3 Nm (8.7 kgf-m or 62.9 ft.lbs) @ 8000 RPM,,10500,transistorized,forced lubrication wet sump,constant mesh   return shift,,,stainless 4 into 2,tubular    double cradle,29.0°,102 mm (4.0 inches),telescopic fork pneumatic,150 mm (5.9 inches),swingarm twin pneumatic shocks,110 mm (4.3 inches),,238.0 kg (524.7 pounds),0.4412 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",1075 mm (42.3 inches),2240 mm (88.2 inches),810 mm (31.9 inches),145 mm (5.7 inches),1595 mm (62.8 inches),,,,Electric,3.00 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 RGS-2,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 7900 RPM,225.0 km/h (139.8 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,269.0 kg (593.0 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 250,1985,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,112.0 km/h (69.6 mph),9.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),8.00 litres (2.11 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 600 Enduro Sport,1985,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,130.0 km/h (80.8 mph),9.6:1,94.0 x 81.0 mm (3.7 x 3.2 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),13.00 litres (3.43 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1985,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),9.00 litres (2.38 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 550,1985,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 10500 RPM,196.0 km/h (121.8 mph),10.0:1,58.0 x 52.4 mm (2.3 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic 125 Strada LC,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,127.0 km/h (78.9 mph),12.0:1,55.2 x 52.0 mm (2.2 x 2.0 inches),Port control,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,130.0 kg (286.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Alazzurra,1985,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 8250 RPM,192.0 km/h (119.3 mph),10.0:1,82.0 x 61.5 mm (3.2 x 2.4 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),100/70-18 ,110/70-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic,1985,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,152.0 km/h (94.4 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MT 90-16 ,MT 90-16 ,Dual disc,Single disc,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300 DFI (reduced effect),1985,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",100.0 HP (73.0  kW)) @ 7750 RPM,208.0 km/h (129.2 mph),9.3:1,62.0 x 71.0 mm (2.4 x 2.8 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,324.0 kg (714.3 pounds),27.00 litres (7.13 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 125 F 5,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",9.8 HP (7.2  kW)) @ 10000 RPM,100.0 km/h (62.1 mph),15.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Expanding brake,Expanding brake,100.0 kg (220.5 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 650 E (reduced effect),1985,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,175.0 km/h (108.7 mph),9.5:1,60.0 x 58.0 mm (2.4 x 2.3 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 II,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,643.0 ccm (39.24 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6900 RPM,173.0 km/h (107.5 mph),10.0:1,80.0 x 64.0 mm (3.1 x 2.5 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,188.0 kg (414.5 pounds),15.50 litres (4.10 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 5,1985,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6900 RPM,199.0 km/h (123.7 mph),9.5:1,83.0 x 78.0 mm (3.3 x 3.1 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,244.0 kg (537.9 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 400 S,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,396.0 ccm (24.16 cubic inches),"V2, four-stroke",37.0 HP (27.0  kW)) @ 8040 RPM,165.0 km/h (102.5 mph),11.0:1,66.5 x 57.0 mm (2.6 x 2.2 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,3.50-18 ,Dual disc,Single disc,156.0 kg (343.9 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1985,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,173.0 km/h (107.5 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),19.50 litres (5.15 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 F,1985,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,190.0 km/h (118.1 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),Membrane & power valve,Liquid,6-speed,Chain   (final drive),90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Alazzurra (reduced effect),1985,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8400 RPM,175.0 km/h (108.7 mph),10.0:1,82.0 x 61.5 mm (3.2 x 2.4 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,207.0 kg (456.4 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLX 1000-61,1985,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,159.0 km/h (98.8 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,244.0 kg (537.9 pounds),8.50 litres (2.25 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 10 (with sidecar),1985,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",36.0 HP (26.3  kW)) @ 5900 RPM,110.0 km/h (68.4 mph),7.5:1,78.0 x 68.0 mm (3.1 x 2.7 inches),Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,365.0 kg (804.7 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 F,1985,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",90.0 HP (65.7  kW)) @ 10000 RPM,216.0 km/h (134.2 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,248.0 kg (546.7 pounds),19.00 litres (5.02 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 T 2,1985,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 11500 RPM,128.0 km/h (79.5 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,126.0 kg (277.8 pounds),10.00 litres (2.64 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD,1985,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",454.0 ccm (27.70 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9500 RPM,162.0 km/h (100.7 mph),10.7:1,72.5 x 55.0 mm (2.9 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),11.00 litres (2.91 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 500 F,1985,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V4, four-stroke",70.0 HP (51.1  kW)) @ 11500 RPM,199.0 km/h (123.7 mph),11.0:1,60.0 x 44.0 mm (2.4 x 1.7 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,206.0 kg (454.2 pounds),17.00 litres (4.49 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GV 700 Madura,1985,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",698.0 ccm (42.59 cubic inches),"V4, four-stroke",72.0 HP (52.6  kW)),,10.5:1,69.0 x 46.7 mm (2.7 x 1.8 inches),,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,Dual disc,Expanding brake,,,4,,,,,,,,,,,,,,,,,,,228.0 kg (502.7 pounds),0.3158 HP/kg,,1205 mm (47.4 inches),2225 mm (87.6 inches),880 mm (34.6 inches),,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLS 1000 Roadster,1985,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,167.0 km/h (103.8 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,249.0 kg (549.0 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 700 E/ES,1985,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,699.0 ccm (42.65 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 9300 RPM,,9.6:1,67.0 x 49.6 mm (2.6 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-16 ,120/90-17 ,Double disc. Slotted,Single disc. Slotted,235.0 kg (518.1 pounds),17.50 litres (4.62 US gallons),4,Carburettor. 4x constant velocity Mikuni BS32SS,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 8500 RPM,,,Transistorized,Wet sump w/ oil cooler,Wet Multiplate,,,,,27.8°,104 mm (4.1 inches),"Showa 37mm fork oil damped, anti dive",155 mm (6.1 inches),"Showa Single Shock, adjustable spring preload, rebound dampening",140 mm (5.5 inches),,229.0 kg (504.9 pounds),0.3493 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),2135 mm (84.1 inches),735 mm (28.9 inches),140 mm (5.5 inches),1500 mm (59.1 inches),,,"White/Red, White/Blue",,,,,,,"One year production. E models = naked bike, ES models = fairing",Engine destroked from 747cc to 699cc to avoid 1985 Import tariff on bikes 750cc and over. ,,,,,,,,,,,,,,,,,,,,"Final drive- #50 (530) chain, O-ring, sealed"
KTM XC 600 E Enduro Sport,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6500 RPM,128.0 km/h (79.5 mph),9.6:1,94.0 x 81.0 mm (3.7 x 3.2 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Expanding brake,159.0 kg (350.5 pounds),14.00 litres (3.70 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 240 WR,1985,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",239.0 ccm (14.58 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,110.0 km/h (68.4 mph),12.3:1,68.8 x 64.5 mm (2.7 x 2.5 inches),Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,5.00-18 ,Single disc,Expanding brake,108.0 kg (238.1 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 550 F,1985,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",56.0 HP (40.9  kW)) @ 9000 RPM,,9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),,,Double disc,Expanding brake (drum brake),,18.50 litres (4.89 US gallons),2,Carburettor. TK K26V,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 7500 RPM,,10000,Transistor,Wet sump,Wet plate,,,,,27.0°,105 mm (4.1 inches),,,,,,184.0 kg (405.7 pounds),0.3043 HP/kg,,1105 mm (43.5 inches),2235 mm (88.0 inches),750 mm (29.5 inches),160 mm (6.3 inches),1450 mm (57.1 inches),3.00 litres (0.79 US gallons),,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 125 KJ Kanguro,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 10000 RPM,110.0 km/h (68.4 mph),11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Single disc,Expanding brake,119.0 kg (262.4 pounds),7.50 litres (1.98 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini AMEX 250 J,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"V2, four-stroke",23.0 HP (16.8  kW)) @ 8800 RPM,141.0 km/h (87.6 mph),11.7:1,59.0 x 43.8 mm (2.3 x 1.7 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XBR 500 N (reduced effect),1985,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,145.0 km/h (90.1 mph),8.9:1,92.0 x 75.0 mm (3.6 x 3.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 E,1985,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,154.0 km/h (95.7 mph),9.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),15.00 litres (3.96 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750 (reduced effect),1985,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,226.0 km/h (140.4 mph),9.8:1,70.0 x 48.7 mm (2.8 x 1.9 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-18 ,140/70-18 ,Dual disc,Single disc,201.0 kg (443.1 pounds),19.00 litres (5.02 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RX 125 Arizona,1985,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",19.0 HP (13.9  kW)) @ 8000 RPM,120.0 km/h (74.6 mph),,,,Liquid,,Chain   (final drive),,,,,,,,Carburettor. Dell´Orto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 DOHC (reduced effect),1985,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,143.0 km/h (88.9 mph),9.7:1,69.0 x 53.4 mm (2.7 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 750 S,1985,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",87.0 HP (63.5  kW)) @ 9000 RPM,203.0 km/h (126.1 mph),9.8:1,65.0 x 56.5 mm (2.6 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 Low Glide,1985,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5200 RPM,165.0 km/h (102.5 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,280.0 kg (617.3 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
