Model,Year,Category,Rating,Displacement,Engine type,Torque,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Reserve fuel capacity,Color options,Starter,Comments,Power,Fuel control,Gearbox,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Clutch,Exhaust system,Valves per cylinder,Modifications compared to previous model,Power/weight ratio,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Emission details,Max RPM,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Alternate seat height,Electrical,Coolant,Idle speed,Sprockets,Engine details,Factory warranty,0-100 km/h (0-62 mph),Instruments,Light,Carrying capacity,Chain size,Chain links,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Kawasaki Ninja 500R,2008,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",48.5 Nm (4.9 kgf-m or 35.8 ft.lbs) @ 7000 RPM,,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),Carburettor. Keihin CVK34 x 2,TCBI with digital advance,,Liquid,Chain   (final drive),"High-tensile steel, perimeter design",37mm hydraulic telescopic fork / 5.1 in.,,UNI-TRAK® system with single shock / 3.9 in.,,110/70-17 ,130/70-x17 ,Single disc,220 mm (8.7 inches),Single disc,176.0 kg (388.0 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",1161 mm (45.7 inches),2096 mm (82.5 inches),701 mm (27.6 inches),18.16 litres (4.80 US gallons),,"Metallic Diablo Black, Passion Red",Electric,,,,6-speed,,119 mm (4.7 inches),1435 mm (56.5 inches),,,4,,,,,27.0°,91 mm (3.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing SMM 125 Black Dream,2008,Super motard," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.5 ccm (7.54 cubic inches),"Single cylinder, two-stroke",,,16.7:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Kokusan CDI Electronic with variable advance,Dry sump with double rotor pump,Liquid,,Perimetral aluminium section,Ohlins USD 46mm,,Sachs Boge (optional Ohlins ),,120/70-ZR17 ,150/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,,,,,,8.70 litres (2.30 US gallons),,Black/blue,,,,,,,,,Multiuple-disk in oil-bath with hydaulic control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 GS,2008,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",798.0 ccm (48.69 cubic inches),"Twin, four-stroke",75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 4500 RPM,185.0 km/h (115.0 mph),12.0:1,82.0 x 75.6 mm (3.2 x 3.0 inches),Injection,,,Liquid,Chain   (final drive),"Tubular steel space frame, load-bearing engine","Telescopic fork, Ø 41 mm",180 mm (7.1 inches),"Cast aluminium dual swing arm, central spring strut, spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",170 mm (6.7 inches),110/80-19 ,140/80-17 ,Single disc. Optional ABS,265 mm (10.4 inches),Single disc. Optional ABS,179.0 kg (394.6 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",1240 mm (48.8 inches),2280 mm (89.8 inches),872 mm (34.3 inches),16.00 litres (4.23 US gallons),2.00 litres (0.53 US gallons),,Electric,,69.7 HP (50.9  kW)) @ 7000 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,199.0 kg (438.7 pounds),,1575 mm (62.0 inches),"Multiple-disc clutch in oil bath, mechanically operated",,4,,0.3896 HP/kg,3.70 litres/100 km (27.0 km/l or 63.57 mpg),85.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,26.0°,92 mm (3.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM RL125,2008,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,9.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,Electronic ignition (CDI),Wet Sump,,Chain   (final drive),Steel,Conventional,,Single shock with adjustable preload,,,,,,,126.0 kg (277.8 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",,,,12.00 litres (3.17 US gallons),,"Red, black",Electric,Wheel size front 21´ and rear 18´. ,,,,,220 mm (8.7 inches),1390 mm (54.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Quannon 125,2008,Sport," 2.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 8500 RPM,,11.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,CDI,,Oil & air,Chain   (final drive),Tube Box,Telescopic fork,,Single swing,,110/80-17 ,140/70-17 ,Single disc,220 mm (8.7 inches),Single disc,137.0 kg (302.0 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1174 mm (46.2 inches),2057 mm (81.0 inches),725 mm (28.5 inches),15.00 litres (3.96 US gallons),,"Red, yellow, blue",Electric & kick,Kymco is an abbreviation of Kwang Yang Motor Company in Taiwan.,12.9 HP (9.4  kW)) @ 9500 RPM,Overhead Cams (OHC),5-speed,,170 mm (6.7 inches),1355 mm (53.3 inches),Wet plate,,,,0.0939 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Dirt Boy 50,2008,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.9 ccm (3.04 cubic inches),"Single cylinder, four-stroke",,,12.0:1,39.0 x 41.8 mm (1.5 x 1.6 inches),Carburettor,CDI,Oil pump,Air,Belt   (final drive),,Hydraulic fork. 120 mm travel,,Monoshock. 140 mm travel,,2.5-12 ,2.75-10 ,Single disc,90 mm (3.5 inches),Expanding brake (drum brake),47.0 kg (103.6 pounds),"610 mm (24.0 inches) If adjustable, lowest setting.",1260 mm (49.6 inches),,815 mm (32.1 inches),2.30 litres (0.61 US gallons),,Black/white,Kick,,,,1-speed,,,905 mm (35.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-10R,2008,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",,,13.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),Injection,TCBI with digital advance and Kawasaki Ignition Management System (KIMS),,Air,Chain   (final drive),,"43mm inverted fork with DLC coating, adjustable rebound and compression damping, spring preload adjustability and top-out springs / 4.7 in.",,"Uni-Trak® with top-out spring, stepless, dual-range (high/low-speed) compression damping, stepless rebound damping, fully adjustable spring preload / 4.9 in.",,120/70-ZR17 ,190/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,178.7 kg (394.0 pounds),,,,,17.03 litres (4.50 US gallons),,"Lime Green / Flat Super Black, Metallic Diablo Black, Candy Plasma Blue / Flat Super Black",,,,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1415 mm (55.7 inches),,,4,,,,,25.5°,109 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Active SR,2008,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",3.2 Nm (0.3 kgf-m or 2.4 ft.lbs) @ 4000 RPM,,8.0:1,39.0 x 41.0 mm (1.5 x 1.6 inches),Carburettor,CDI,,Air,,,,,,,2.50-17 ,2.75-17 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),94.0 kg (207.2 pounds),,,1995 mm (78.5 inches),,3.50 litres (0.92 US gallons),,,Electric & kick,Kymco is an abbreviation of Kwang Yang Motor Company in Taiwan.,3.1 HP (2.2  kW)) @ 8000 RPM,,4-speed,,,1275 mm (50.2 inches),,,,,0.0328 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Mini Trigger SM,2008,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",5.0 Nm (0.5 kgf-m or 3.7 ft.lbs) @ 10000 RPM,,,,,,,,Chain   (final drive),,,,,,,,,,,53.2 kg (117.3 pounds),,850 mm (33.5 inches),1420 mm (55.9 inches),615 mm (24.2 inches),15.14 litres (4.00 US gallons),,,Kick,,5.0 HP (3.6  kW)) @ 11000 RPM,,,50.0 kg (110.2 pounds),,1022 mm (40.2 inches),Centrifugal clutch,,,,0.0940 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR1300,2008,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1251.0 ccm (76.34 cubic inches),"In-line four, four-stroke",108.4 Nm (11.1 kgf-m or 80.0 ft.lbs) @ 11100 RPM,,9.7:1,79.0 x 63.8 mm (3.1 x 2.5 inches),Injection. Electric Fuel Injection,TCI,Wet sump,Air,Chain   (final drive),Steel double cradle,Telescopic forks,130 mm (5.1 inches),Swingarm,120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,267 mm (10.5 inches),Single disc,222.0 kg (489.4 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2175 mm (85.6 inches),765 mm (30.1 inches),21.00 litres (5.55 US gallons),,,Electric,,96.4 HP (70.4  kW)) @ 12000 RPM,Double Overhead Cams/Twin Cam (DOHC),5-speed,,125 mm (4.9 inches),1500 mm (59.1 inches),"Wet, multiple-disc coil spring",,,,0.4343 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing MX 530 F,2008,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,527.7 ccm (32.20 cubic inches),"Single cylinder, four-stroke",,,,98.0 x 70.0 mm (3.9 x 2.8 inches),Carburettor. Keihin FCRD 41mm,Kokusan CDI Electronic with variable advance,Dry sump with double rotor pump,Liquid,,,Marzocchi USD 50mm ( optional Ohlins 48mm ),,Sachs Boge (optional Ohlins),,90/90-21 ,110/90-19 ,Single disc,245 mm (9.6 inches),Single disc,,,,,,8.20 litres (2.17 US gallons),,,Electric & kick,,,Double Overhead Cams/Twin Cam (DOHC),5-speed,,,,Multiuple-disk in oil-bath with hydaulic control,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azel GS 250,2008,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,230.0 ccm (14.03 cubic inches),"Single cylinder, four-stroke",16.5 Nm (1.7 kgf-m or 12.2 ft.lbs) @ 6000 RPM,,,,Carburettor,CDI,,Oil & air,Chain   (final drive),,,,,,110/70-17 ,140/70-17 ,Double disc,,Single disc,,,,,,,,,,,18.0 HP (13.1  kW)) @ 7500 RPM,Single Overhead Cams (SOHC),5-speed,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic XOR 125 AT and T,2008,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 6500 RPM,,,,,,Forced feed lubrication,,Belt   (final drive),,,,,,120/70-12 ,130/70-12 ,,,,105.0 kg (231.5 pounds),,,1770 mm (69.7 inches),,22.71 litres (6.00 US gallons),,,,Special edition.,5.9 HP (4.3  kW)) @ 7000 RPM,,Automatic,,,1280 mm (50.4 inches),,,,,0.0562 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI SMX 50,2008,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,,,,Liquid,,,Hyraulic telescope fork,35 mm (1.4 inches),"Hydraulic suspension gas, adjustable",,180/80-17 ,130/70-17 ,Single disc,210 mm (8.3 inches),Single disc,,,1185 mm (46.7 inches),1955 mm (77.0 inches),790 mm (31.1 inches),7.00 litres (1.85 US gallons),,,Electric & kick,,3.0 HP (2.2  kW)) @ 7000 RPM,,6-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Agility 50,2008,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",3.2 Nm (0.3 kgf-m or 2.4 ft.lbs) @ 7000 RPM,,11.0:1,39.0 x 41.1 mm (1.5 x 1.6 inches),,CDI,,Air,Belt   (final drive),Pine under bone,,,,,120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),92.5 kg (203.9 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),1830 mm (72.0 inches),690 mm (27.2 inches),5.00 litres (1.32 US gallons),,,,,3.5 HP (2.6  kW)) @ 7500 RPM,Overhead Cams (OHC),Automatic,,125 mm (4.9 inches),,,,,,0.0378 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 400,2008,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,,10.6:1,81.0 x 77.6 mm (3.2 x 3.1 inches),Injection. Fuel Injection 38mm,Digital/Transistorized,Wet Sump,Liquid,Shaft drive (cardan)   (final drive),,"Telescopic, oil damped",,"Link-type, adjustable preload",,120/80-14 ,150/70-13 ,Double disc,,Single disc,199.0 kg (438.7 pounds),"710 mm (28.0 inches) If adjustable, lowest setting.",1385 mm (54.5 inches),2270 mm (89.4 inches),760 mm (29.9 inches),13.50 litres (3.57 US gallons),,"Black, Red",,,,Double Overhead Cams/Twin Cam (DOHC),Automatic,,125 mm (4.9 inches),1585 mm (62.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z750 ABS,2008,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 8300 RPM,,11.3:1,68.4 x 50.9 mm (2.7 x 2.0 inches),Injection,,,Liquid,Chain   (final drive),"Backbone, high-tensile steel tubes and cast aluminum engine sub-frame",41mm inverted cartridge fork with stepless rebound damping and adjustable spring preload / 4.7 in.,,"Bottom-Link Uni-Trak® with gas-charged shock, stepless rebound damping and adjustable spring preload / 5.9 in.",,120/70-ZR17 ,180/55-ZR17 ,Double disc,250 mm (9.8 inches),Single disc,208.0 kg (458.6 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2085 mm (82.1 inches),805 mm (31.7 inches),18.50 litres (4.89 US gallons),,,Electric,,,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1440 mm (56.7 inches),,,4,,,,,24.5°,103 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Sportsman 750,2008,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, two-stroke",52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 4000 RPM,100.0 km/h (62.1 mph),,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor,Electronic,,Air,Shaft drive (cardan)   (final drive),Double loop steel tube,Leading link forks with hydraulic spring shock,,Double sided swinging arm with hydraulic spring shock absorbers - 2 x adjustable,,4.00-19 ,4.00-19 ,Single disc,,Expanding brake (drum brake),350.0 kg (771.6 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,2580 mm (101.6 inches),1700 mm (66.9 inches),19.00 litres (5.02 US gallons),,Blue/silver,Electric & kick,With sidecar. Engageable sidecar drive shaft. ,38.9 HP (28.4  kW)) @ 5600 RPM,,4-speed,,,,Dry double disc,,,,0.1111 HP/kg,7.50 litres/100 km (13.3 km/l or 31.36 mpg),174.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM SM125,2008,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,9.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,Electronic ignition (CDI),Wet Sump,,Chain   (final drive),Steel,Conventional,,Single shock with adjustable preload,,,,,,,126.0 kg (277.8 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,Black,,Wheels 17´ and 17´. ,10.1 HP (7.3  kW)) @ 8500 RPM,,,,220 mm (8.7 inches),1390 mm (54.7 inches),,,,,0.0798 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZR50 Race Replica,2008,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",2.9 Nm (0.3 kgf-m or 2.1 ft.lbs) @ 5500 RPM,,11.5:1,40.3 x 39.0 mm (1.6 x 1.5 inches),,CDI,Autolube,Liquid,Chain   (final drive),-,Telescopic forks,,Hydraulic shock absorber,,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,114.0 kg (251.3 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),2202 mm (86.7 inches),689 mm (27.1 inches),13.80 litres (3.65 US gallons),,,,,2.4 HP (1.8  kW)) @ 6500 RPM,,,,151 mm (5.9 inches),1341 mm (52.8 inches),,,,,0.0211 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli BX 449 Cross,2008,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",45.0 Nm (4.6 kgf-m or 33.2 ft.lbs) @ 7000 RPM,,12.5:1,98.0 x 59.5 mm (3.9 x 2.3 inches),Carburettor,Kokusan CDI digitale,Wet sump and reeds,,Chain   (final drive),,50 mm fully adjustable,,Sachs                            shock absorber fully adjustable,,80/0-21 ,110/90-19 ,Single disc,220 mm (8.7 inches),Single disc,,"960 mm (37.8 inches) If adjustable, lowest setting.",,2160 mm (85.0 inches),810 mm (31.9 inches),9.00 litres (2.38 US gallons),,,Kick,,55.4 HP (40.4  kW)) @ 9500 RPM,Double Overhead Cams/Twin Cam (DOHC),5-speed,,,1450 mm (57.1 inches),Wet                            cluch 7 steel disks,,4,,,,,26.5°,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL883L Sportster 883 Low,2008,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.3 ccm (53.90 cubic inches),"V2, four-stroke",74.6 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3500 RPM,,8.9:1,76.2 x 96.8 mm (3.0 x 3.8 inches),Injection,,,Air,Belt   (final drive),,,,,,100/90-H19 ,150/80-B16 ,Single disc,,Single disc,255.4 kg (563.0 pounds),"668 mm (26.3 inches) If adjustable, lowest setting.",,2263 mm (89.1 inches),,12.49 litres (3.30 US gallons),,"Vivid Black, Pewter Pearl, White Gold Pearl, Dark Blue Pearl, Crimson Red Sunglo.",Electric,"Rubber-mounted, 883cc Evolution ® engine; pulled back Touring handlebar; low, reduced-reach solo seat; mid-mounted controls; low front and rear suspension
",,,5-speed,264.4 kg (583.0 pounds),112 mm (4.4 inches),1524 mm (60.0 inches),Multi-plate with diaphragm spring in oil bath,"Chrome, staggered shorty exhaust with dual mufflers",,,,3.92 litres/100 km (25.5 km/l or 60.01 mpg),90.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,29.6°,117 mm (4.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeon Cobra 220,2008,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, four-stroke",13.6 Nm (1.4 kgf-m or 10.0 ft.lbs) @ 5750 RPM,64.0 km/h (39.8 mph),9.1:1,65.0 x 59.0 mm (2.6 x 2.3 inches),Carburettor. Keihin PTG 22,C.D.I.,"Wet sump, Oil pump pressurized",Air,,,"Dual hydraulic shock, Double wishbone",115 mm (4.5 inches),"Single hydraulic shock, Unit swing arm",145 mm (5.7 inches),,,Double disc. Dual hydraulic discs,,Single disc. Single hydraulic disc,193.0 kg (425.5 pounds),,790 mm (31.1 inches),1730 mm (68.1 inches),1040 mm (40.9 inches),7.30 litres (1.93 US gallons),,,Electric & kick,,12.1 HP (8.8  kW)) @ 6800 RPM,,,,178 mm (7.0 inches),1155 mm (45.5 inches),Centrifugal clutch,,,,0.0625 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YBR125 Custom,2008,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 2100 RPM,,10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Injection,TCI,Wet sump,Air,Chain   (final drive),Diamond shaped,Telescopic forks,130 mm (5.1 inches),Swingarm,120 mm (4.7 inches),100/80-M17 ,90/90-M18 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),118.0 kg (260.1 pounds),"760 mm (29.9 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2055 mm (80.9 inches),845 mm (33.3 inches),12.00 litres (3.17 US gallons),,,Electric & kick,,10.1 HP (7.3  kW)) @ 10000 RPM,Single Overhead Cams (SOHC),5-speed,,140 mm (5.5 inches),1290 mm (50.8 inches),"Wet, multiple disc",,,,0.0852 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Geopolis 125 Premium,2008,Scooter," 2.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,,,,Injection,CDI,,Liquid,,,,,,,110/70-16 ,140/70-16 ,Single disc,226 mm (8.9 inches),Single disc,159.0 kg (350.5 pounds),,,2170 mm (85.4 inches),,13.50 litres (3.57 US gallons),,,Electric,Available with ABS brakes as Geopolis 125 Executive.,15.0 HP (10.9  kW)),,Automatic,,,,,,,,0.0943 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Forza X,2008,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,10.2:1,72.7 x 60.0 mm (2.9 x 2.4 inches),,,,Liquid,Belt   (final drive),,,,,,110/90-13 ,140/70-13 ,Single disc. ABS,240 mm (9.4 inches),Single disc. ABS,180.0 kg (396.8 pounds),"710 mm (28.0 inches) If adjustable, lowest setting.",,2185 mm (86.0 inches),,,,,Electric,,21.5 HP (15.7  kW)) @ 7500 RPM,Single Overhead Cams (SOHC),Automatic,,,,,,4,,0.1192 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakan Racing,2008,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1640.0 ccm (100.07 cubic inches),"V2, four-stroke",115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 4250 RPM,250.0 km/h (155.3 mph),10.3:1,,Carburettor. 1 x 41 mm Keihin FCR flatslide downdraft.,CDI,,Air,Belt   (final drive),TIG-welded chrome-moly steel tubular backbone frame,46 mm Ceriani Italy inverted fully adjustable forks.,,Extruded aluminium swingarm with ZF Sachs shock.,,120/70-ZR17 ,180/55-ZR17 ,Single disc. AJP,220 mm (8.7 inches),Single disc. AJP,177.0 kg (390.2 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,,,13.00 litres (3.43 US gallons),,"Blue, black",,French bike.,115.0 HP (83.9  kW)) @ 6250 RPM,Overhead Valves (OHV),5-speed,,,1370 mm (53.9 inches),Multiplate dry,,,,0.6497 HP/kg,,,22.0°,83 mm (3.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
