Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,1/4 mile (0.4 km),Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Color options,Starter,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Lubrication system,Clutch,Exhaust system,Frame type,Comments,Modifications compared to previous model,Max RPM,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Diameter,Seat height,Overall length,Overall width,Wheelbase,Oil capacity,Reserve fuel capacity,Ground clearance
Harley-Davidson FLHS Electra Glide Sport,1981,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1340.0 ccm (81.77 cubic inches),"Twin, four-stroke",,,,,,,Carburettor,,,Air,4-speed,Chain   (final drive),,,,,,,,,,,,Electric,344.7 kg (760.0 pounds),18.92 litres (5.00 US gallons),2,,,,,,,,6.91 litres/100 km (14.5 km/l or 34.04 mpg),160.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,
Kawasaki KL 250,1981,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,,111.0 km/h (69.0 mph),,8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,,,,,132.0 kg (291.0 pounds),10.00 litres (2.64 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1981,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 5800 RPM,,180.0 km/h (111.8 mph),,9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,,,,,240.0 kg (529.1 pounds),9.00 litres (2.38 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CM 200 T,1981,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,,119.0 km/h (73.9 mph),,8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),,Overhead Cams (OHC),,Air,4-speed,Chain   (final drive),,,,,3.00-11 ,3.50-16 ,Expanding brake,Expanding brake,,,,,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 V,1981,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,,153.0 km/h (95.1 mph),,10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),,Overhead Valves (OHV),,Air,6-speed,Chain   (final drive),,,,,3.25-18 ,4.10-18 ,Single disc,Expanding brake,,,,,160.0 kg (352.7 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XS 1100,1981,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1101.0 ccm (67.18 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 8500 RPM,,215.0 km/h (133.6 mph),,9.2:1,71.5 x 68.6 mm (2.8 x 2.7 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,286.0 kg (630.5 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Zündapp KS 175,1981,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,163.0 ccm (9.95 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7400 RPM,,126.0 km/h (78.3 mph),,7.8:1,62.0 x 54.0 mm (2.4 x 2.1 inches),,Port control,,Liquid,5-speed,Chain   (final drive),,,,,2.75-18 ,3.25-18 ,Single disc,Expanding brake,,,,,121.0 kg (266.8 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1981,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,,173.0 km/h (107.5 mph),,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.00-21 ,4.00-18 ,Single disc,Expanding brake,,,,,196.0 kg (432.1 pounds),19.50 litres (5.15 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 L,1981,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",77.0 HP (56.2  kW)) @ 9500 RPM,,195.0 km/h (121.2 mph),,9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,232.0 kg (511.5 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,
Triumph TR 7 RV Tiger,1981,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,,172.0 km/h (106.9 mph),,7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,4.10-19 ,4.10-18 ,Single disc,Single disc,,,,,197.0 kg (434.3 pounds),18.50 litres (4.89 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 E,1981,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 9200 RPM,,201.0 km/h (124.9 mph),,9.4:1,67.0 x 53.0 mm (2.6 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,254.0 kg (560.0 pounds),19.00 litres (5.02 US gallons),4,,,,,,,,,,,,,,,,,,,
Yamaha XT 250 (reduced effect),1981,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,,112.0 km/h (69.6 mph),,9.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,,,,,125.0 kg (275.6 pounds),8.00 litres (2.11 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki DR 500 S,1981,Trial," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,136.0 km/h (84.5 mph),,8.7:1,88.0 x 82.0 mm (3.5 x 3.2 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.60-18 ,Expanding brake,Expanding brake,,,,,146.0 kg (321.9 pounds),9.00 litres (2.38 US gallons),4,,,,,,,,,,,,,,,,,,,
Honda CB 650 C (reduced effect),1981,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,,175.0 km/h (108.7 mph),,9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,130/90-16 ,Dual disc,Expanding brake,,,,,220.0 kg (485.0 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 400 T Hondamatic,1981,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,139.0 km/h (86.4 mph),,9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),,Overhead Cams (OHC),,Air,2-speed automatic,Chain   (final drive),,,,,3.60-19 ,4.10-18 ,Single disc,Expanding brake,,,,,189.0 kg (416.7 pounds),12.00 litres (3.17 US gallons),3,,,,,,,,,,,,,,,,,,,
