Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Wheelbase,Fuel capacity,Color options,Starter,Comments,Valves per cylinder,Overall height,Overall length,Overall width,Lubrication system,Front wheel travel,Rear wheel travel,Ground clearance,Oil capacity,0-100 km/h (0-62 mph),"Weight incl. oil, gas, etc",Reserve fuel capacity,Max RPM,Alternate seat height,Modifications compared to previous model,Electrical,Driveline,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Fork tube size,Battery,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Wheels,Seat,Factory warranty,Instruments,Engine details
Malaguti Centro 160 i.e.,2009,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,154.0 ccm (9.40 cubic inches),"Single cylinder, four-stroke",13.5 HP (9.9  kW)) @ 8500 RPM,11.6 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8250 RPM,,11.4:1,58.2 x 57.8 mm (2.3 x 2.3 inches),Injection. Ducati,,Digital,Liquid,Automatic,Belt   (final drive),,,,Euro 3,High resistance double-cradle steel,,,Tele-hydraulic fork,"Engine with swingarm, two shock absorbers.",100/80-16 ,120/80-16 ,Single disc,,Single disc,124.0 kg (273.4 pounds),0.1089 HP/kg,,,"785 mm (30.9 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),8.20 litres (2.17 US gallons),"Blue, Silver, Titanium, 
Centauri black",Electric,,,1175 mm (46.3 inches),2060 mm (81.1 inches),695 mm (27.4 inches),,88 mm (3.5 inches),85 mm (3.3 inches),149 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Shiver 750,2009,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.9 ccm (45.76 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 9000 RPM,,,11.0:1,92.0 x 56.4 mm (3.6 x 2.2 inches),Injection. Integrated engine management system. Injection with Ride by Wire technology control of the throttle bodies,Double Overhead Cams/Twin Cam (DOHC),"Digital electronic, integrated with the injection",Liquid,,Chain   (final drive),"Multi-plate in oil bath, hydraulically operated.",,,Two in one system in 100% stainless steel with three-way catalytic converter and Lambda probe,Modular steel trellis connected with high strength bolts to aluminium side plates. Detachable rear frame.,25.0°,109 mm (4.3 inches),43 mm upside-down fork. 120 mm wheel travel.,Aluminium alloy swingarm with reinforcement truss. Hydraulic shock absorber adjustable in spring preload and rebound damping. Wheel travel: 130 mm.,120/70-17 ,180/55-17 ,Double disc,240 mm (9.4 inches),Single disc,189.0 kg (416.7 pounds),0.5026 HP/kg,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),16.00 litres (4.23 US gallons),"Competition Black, Couture Blue, Silver Fever, Code Orange, Cult White",Electric,,4,1135 mm (44.7 inches),2265 mm (89.2 inches),800 mm (31.5 inches),Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Black X-Max 125,2009,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",13.9 HP (10.1  kW)) @ 8750 RPM,11.3 Nm (1.2 kgf-m or 8.4 ft.lbs) @ 6500 RPM,,11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),Injection,,TCI,Liquid,Automatic,Belt   (final drive),,,,,,,,Telescopic fork,Unit swing,120/70-15 ,140/70-14 ,Single disc,240 mm (9.4 inches),Single disc,,,,,"775 mm (30.5 inches) If adjustable, lowest setting.",1525 mm (60.0 inches),12.50 litres (3.30 US gallons),Black,Electric,,,1380 mm (54.3 inches),2210 mm (87.0 inches),790 mm (31.1 inches),Wet sump,110 mm (4.3 inches),95 mm (3.7 inches),113 mm (4.4 inches),,,166.0 kg (366.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxon Henchman,2009,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.0 ccm (95.98 cubic inches),"V2, four-stroke",,,,10.1:1,94.0 x 116.8 mm (3.7 x 4.6 inches),Carburettor. S and S Super E Carburator,Overhead Valves (OHV),,,6-speed,Chain   (final drive),,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Stretch 0 In Downtube 1-3/4 In Backbon,35.0°,,Springer or 41mm Telescopic,Rigid,2.15-21 ,200-16 ,Single disc. Brembo 4-piston calipers,,Single disc. Brembo 2- piston calipers,283.5 kg (625.0 pounds),,,,"660 mm (26.0 inches) If adjustable, lowest setting.",,11.35 litres (3.00 US gallons),,Electric,,,,,,,,,,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Grizzly 550 FI Auto 4x4,2009,ATV," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",550.0 ccm (33.56 cubic inches),"Single cylinder, four-stroke",,,,9.3:1,92.0 x 84.0 mm (3.6 x 3.3 inches),"Injection. Yamaha Fuel Injection (YFI), 40mm",Single Overhead Cams (SOHC),"TCI, 32-bit ECU",Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,Independent double wishbone,Independent double wishbone,25/7-12 ,25/10-12 ,Double disc,,Double disc,272.2 kg (600.0 pounds),,,,"904 mm (35.6 inches) If adjustable, lowest setting.",1250 mm (49.2 inches),20.06 litres (5.30 US gallons),,Electric,"Yamaha On-Command® pushbutton; 3-way locking differential; 2WD, 4WD, locked 4WD; shaft drive.",4,1240 mm (48.8 inches),2065 mm (81.3 inches),1181 mm (46.5 inches),,127 mm (5.0 inches),127 mm (5.0 inches),300 mm (11.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-10R,2009,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",,112.8 Nm (11.5 kgf-m or 83.2 ft.lbs) @ 8700 RPM,,12.9:1,76.0 x 55.0 mm (3.0 x 2.2 inches),"Injection. DFI with 43mm Keihin throttle bodies with oval sub-throttles, two injectors per cylinder",Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance and Kawasaki Ignition Management System (KIMS),Liquid,6-speed,Chain   (final drive),,,,,,25.5°,109 mm (4.3 inches),"43mm inverted fork with DLC coating, adjustable rebound and compression damping, spring preload adjustability and top-out springs / 4.7 in.","Uni-Trak® with top-out spring, stepless, dual-range (high/low-speed) compression damping, stepless rebound damping, fully adjustable spring preload / 4.9 in.",120/70-ZR17 ,190/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,208.0 kg (458.6 pounds),,,,"831 mm (32.7 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),17.03 litres (4.50 US gallons),"Ebony, Candy Burnt Orange/Flat Super Black, Special Edition Lime Green/Metallic Diablo Black",Electric,,4,1135 mm (44.7 inches),2111 mm (83.1 inches),711 mm (28.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridley Auto-Glide Standard,2009,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,721.1 ccm (44.00 cubic inches),"V2, four-stroke",,,,8.5:1,,,,,Air,,Belt   (final drive),Twist  and  Go Centrifugal Clutch,,,"2 Stage: Muffled, Baffled",,,,,,,,Single disc,,Single disc,209.0 kg (460.8 pounds),,,,"622 mm (24.5 inches) If adjustable, lowest setting.",1676 mm (66.0 inches),18.92 litres (5.00 US gallons),"Black, white, red",Electric,,2,,2464 mm (97.0 inches),940 mm (37.0 inches),Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco People S 4T,2009,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",4.1 HP (3.0  kW)) @ 7250 RPM,3.4 Nm (0.3 kgf-m or 2.5 ft.lbs) @ 6750 RPM,,11.0:1,39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor,,C.D.I.,Liquid,Automatic,Belt   (final drive),,,,,Pine under bone,,,Telescopic fork,Unit swing,100/80-16 ,120/80-16 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),102.0 kg (224.9 pounds),0.0399 HP/kg,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),6.80 litres (1.80 US gallons),Red,Electric & kick,Made in Taiwan.,,,2010 mm (79.1 inches),720 mm (28.3 inches),,97 mm (3.8 inches),75 mm (3.0 inches),150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nipponia Vorrei 125,2009,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",9.3 HP (6.8  kW)) @ 8000 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 6800 RPM,80.0 km/h (49.7 mph),9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Injection. Optional carburettor,,DC CDI,Air,,,"Dry, automatically centrifugal type",,,,Front suspension,,,"Telescopic, hydraulic fork",Double hydraulic shock absorbers,110/80-16 ,130/70-16 ,Single disc,,Single disc,118.0 kg (260.1 pounds),0.0788 HP/kg,,,"805 mm (31.7 inches) If adjustable, lowest setting.",,9.50 litres (2.51 US gallons),,Electric & kick,,,1212 mm (47.7 inches),2130 mm (83.9 inches),695 mm (27.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Dog Wolf,2009,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1976.0 ccm (120.58 cubic inches),"V2, four-stroke",,,,9.9:1,108.0 x 108.0 mm (4.3 x 4.3 inches),Injection. EFI,Overhead Valves (OHV),,Air,6-speed,Belt   (final drive),,,,,Steel,40.0°,148 mm (5.8 inches),41 mm Telescopic Sleeved,,130/60-R23 ,220/50-R20 ,Single disc. 4-piston diff bore,,Single disc. 4-piston drive side,349.0 kg (769.4 pounds),,,,"622 mm (24.5 inches) If adjustable, lowest setting.",1969 mm (77.5 inches),17.00 litres (4.49 US gallons),,Electric,X-Wedge engine,,,2604 mm (102.5 inches),,,,,114 mm (4.5 inches),2.80 litres (2.96 US quarts),,,2.64 litres (0.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Vogue S2,2009,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.1 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,,Carburettor,,,Air,Automatic,,,,,,,,,,,,,Expanding brake (drum brake),90 mm (3.5 inches),Expanding brake (drum brake),41.0 kg (90.4 pounds),,,,,1120 mm (44.1 inches),5.00 litres (1.32 US gallons),,,Available in a VS2 version at Eur 899.,,,1690 mm (66.5 inches),620 mm (24.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barossa APO 300,2009,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,288.0 ccm (17.57 cubic inches),"Single cylinder, four-stroke",,,,,75.0 x 65.2 mm (3.0 x 2.6 inches),Carburettor,,,Liquid,Automatic,Chain   (final drive),,,,,,,,Double wishbone,Single swing,21/7-10 ,21/10-8 ,Single disc,,Single disc,199.0 kg (438.7 pounds),,,,,1840 mm (72.4 inches),,"Black, red, yellow, blue, orange",Electric,,,,1180 mm (46.5 inches),1130 mm (44.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borile B500MT,2009,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,487.0 ccm (29.72 cubic inches),"Single cylinder, four-stroke",,,,10.5:1,87.0 x 82.0 mm (3.4 x 3.2 inches),Carburettor. Mikuni TM 36,Overhead Cams (OHC),Digital,Air,5-speed,Chain   (final drive),"Wet, multiplate",,,,Cradle of round tubes in 7020 alloy,27.5°,,"Marzocchi Magnum fork, Ø50",Mono WP with no levers,120/70-17 ,150/70-17 ,Single disc,220 mm (8.7 inches),Single disc,107.0 kg (235.9 pounds),,,,"890 mm (35.0 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),8.00 litres (2.11 US gallons),,,Italian made bike.,4,,2120 mm (83.5 inches),830 mm (32.7 inches),Oil pump,,,250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 1200R Sportster 1200 Roadster (XR 1200),2009,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1202.0 ccm (73.35 cubic inches),"V2, four-stroke",,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3200 RPM,,9.7:1,88.9 x 96.8 mm (3.5 x 3.8 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,Air,5-speed,Belt   (final drive),"9-plate, wet",,,"Upswept, high-volume 2-1-2 straight shot exhaust system finished in satin chrome",Mild steel tubular frame; circular sections; cast junctions,,,Sport-tuned Showa® suspension featuring 43mm inverted front forks,Twin pre-load adjustable shock absorbers,120/70-ZR18 ,180/55-ZR17 ,Double disc. 4-piston calipers,292 mm (11.5 inches),Single disc. Single pistom,251.0 kg (553.4 pounds),,,,"742 mm (29.2 inches) If adjustable, lowest setting.",,12.50 litres (3.30 US gallons),,Electric,Evolution engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR&S VUN Lucky,2009,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",53.6 HP (39.2  kW)) @ 7000 RPM,58.9 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 5000 RPM,,9.7:1,100.0 x 83.0 mm (3.9 x 3.3 inches),"Injection. Integrated CR and S/Walbro/Dell’Orto ignition/injection system, 52 mm throttle housing, twin injectors, twin spark",Double Overhead Cams/Twin Cam (DOHC),Walbro integrated,Liquid,5-speed,,Wet multiplate,,,,Steel tubes and machined light alloy plates compound,,,Tele-hydraulic fork with 46mm diameter rods,"Oscillating swingarm, single shock absorber",120/70-ZR17 ,160/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,135.0 kg (297.6 pounds),0.3973 HP/kg,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1368 mm (53.9 inches),12.50 litres (3.30 US gallons),,Electric,,4,,1980 mm (78.0 inches),740 mm (29.1 inches),Dry sump,120 mm (4.7 inches),128 mm (5.0 inches),150 mm (5.9 inches),3.50 litres (3.7 US quarts),,,3.00 litres (0.79 US gallons),,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,
Gilera GP800,2009,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",839.3 ccm (51.21 cubic inches),"V2, four-stroke",65.5 HP (47.8  kW)) @ 7250 RPM,76.4 Nm (7.8 kgf-m or 56.4 ft.lbs) @ 5750 RPM,,10.5:1,88.0 x 69.0 mm (3.5 x 2.7 inches),Injection,,"Inductive discharge electronics and variable spark advance integrated into injection control unit, with electronic imobiliser, LED warning light and automatic lockout of injection pump if vehicle is tilted beyond road grip limits. Dual ignition",Liquid,Automatic,Belt   (final drive),Centrifugal clutch,,,Closed loop lambda probe system on exhaust and 3-way catalyser.,Double-cradle framework of high-tensile steel tubing,,,"Hydraulic telescopic fork with Ø 41 aluminium stanchions,","Aluminium alloy rear swing-arm, with laterally-mounted, horizontally-positioned hydraulic monoshock, with adjustable preload, 7-position spring,",120/70-16 ,160/60-15 ,Double disc,280 mm (11.0 inches),Double disc,245.0 kg (540.1 pounds),0.2673 HP/kg,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1593 mm (62.7 inches),18.50 litres (4.89 US gallons),"Red, black",Electric,,4,,2237 mm (88.1 inches),790 mm (31.1 inches),,122 mm (4.8 inches),133 mm (5.2 inches),,,,262.0 kg (577.6 pounds),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Saxon Griffin,2009,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1573.0 ccm (95.98 cubic inches),"V2, four-stroke",,,,10.1:1,94.0 x 119.4 mm (3.7 x 4.7 inches),Carburettor. S and S Super E,Overhead Valves (OHV),,Air,6-speed,Belt   (final drive),,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Stretch: 6 In Downtube, 2 In Backbone",43.0°,,64 mm Inverted 11 In Over,Hidden Progressive Shocks,2.15-21 ,300-18 ,Single disc. Brembo 4-piston calipers,,Single disc. Brembo,297.1 kg (655.0 pounds),,,,"660 mm (26.0 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),15.14 litres (4.00 US gallons),,,,,,2743 mm (108.0 inches),,,,,,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Super Sherpa,2009,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,9.3:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,,,,,,"Semi-double cradle, high-tensile steel",28.0°,,36mm telescopic fork / 9.1 in.,Uni-Trak® single shock system adjustable preload and 20-way rebound damping adjustability / 7.3 in.,110/21-.17 ,130/18-.17 ,Single disc,240 mm (9.4 inches),Single disc,,,,,"831 mm (32.7 inches) If adjustable, lowest setting.",1374 mm (54.1 inches),9.08 litres (2.40 US gallons),Olive Green/Ebony,Electric,Dual purpose bike.,4,1191 mm (46.9 inches),2080 mm (81.9 inches),780 mm (30.7 inches),,,,269 mm (10.6 inches),,,128.0 kg (282.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TRX420FA,2009,ATV," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",420.0 ccm (25.63 cubic inches),"Single cylinder, four-stroke",,,,,86.5 x 71.5 mm (3.4 x 2.8 inches),"Injection. Programmed Fuel Injection (PGM-FI), 34mm throttle bodies",Overhead Valves (OHV),Full-transistorized type with electronic advance,Liquid,Automatic,,,,,,Independent double-wishbone; 6.3 inches travel,,,Independent double-wishbone,Independent double-wishbone,24/8-12 ,24/10-11 ,Double disc,,Single disc,,,,,"823 mm (32.4 inches) If adjustable, lowest setting.",1255 mm (49.4 inches),13.24 litres (3.50 US gallons),"White, Red, Olive, Camo",Electric,With reverse. Model named Honda FourTrax Ranger AT in some markets.,,1146 mm (45.1 inches),2055 mm (80.9 inches),1171 mm (46.1 inches),,160 mm (6.3 inches),160 mm (6.3 inches),231 mm (9.1 inches),,,282.6 kg (623.0 pounds),3.78 litres (1.00 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Ridley Auto-Glide TT,2009,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",721.1 ccm (44.00 cubic inches),"V2, four-stroke",,,,8.5:1,,Carburettor,,,Air,Automatic,Belt   (final drive),Twist  and  Go Centrifugal,,,"2 Stage: Muffled, Baffled",,,,,,,,Single disc. 4-piston,,Single disc. 4-piston,209.0 kg (460.8 pounds),,,,"622 mm (24.5 inches) If adjustable, lowest setting.",1701 mm (67.0 inches),15.89 litres (4.20 US gallons),"White Pearl, Candy Red, Candy Blue",Electric,,,1067 mm (42.0 inches),2515 mm (99.0 inches),940 mm (37.0 inches),,,,171 mm (6.8 inches),2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Wolf 750,2009,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",38.9 HP (28.4  kW)) @ 5600 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 4000 RPM,130.0 km/h (80.8 mph),,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor,,,Air,4-speed,Shaft drive (cardan)   (final drive),Dry double disc,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,Double sided swinging arm with hydraulic spring shock absorbers - 2 x adjustable,2.15-18 ,3.15-16 ,Single disc,,Single disc,249.0 kg (549.0 pounds),0.1561 HP/kg,,,"650 mm (25.6 inches) If adjustable, lowest setting.",,19.00 litres (5.02 US gallons),Black,Electric & kick,Gearbox with reverse. Base model to be customised. Russian made bike.,,1300 mm (51.2 inches),2530 mm (99.6 inches),850 mm (33.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viper Diablo Deluxe,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,2491.0 ccm (152.00 cubic inches),"V2, four-stroke",,,,,,Carburettor. Mikuni HSR 45 Flat Slide,,,Air,6-speed,Belt   (final drive),,,,"Stainless steel, optional chrome",,34.0°,,Inverted Adjustable Cartridge Forks,Viper Oil Dampened Adjust-on-the-Fly Air-Ride Rear Suspension,130/70-18 ,260/40-18 ,Single disc. 4-piston caliper,,Single disc. 4-piston caliper,272.1 kg (599.9 pounds),,,,"610 mm (24.0 inches) If adjustable, lowest setting.",,,Any color,,,,,2438 mm (96.0 inches),,Dry Sump Oiling System Utilizing Proprietary Oil in the Frame Technology,,,,4.20 litres (4.44 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 SX,2009,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,,12.5:1,97.0 x 60.8 mm (3.8 x 2.4 inches),Carburettor. Keihin FCR-MX 41,Double Overhead Cams/Twin Cam (DOHC),Kokusan digital,Liquid,5-speed,,"Wet multi-disc clutch, operated hydraulically",,,Aluminum SX Racing w / Spark Arrestor,Chromoly,,,"WP fully adjustable, twin A-arms","WP PDS mono-shock, fully adjustable, swingarm",20/6-10 ,18/10-8 ,Single disc,200 mm (7.9 inches),Single disc,165.0 kg (363.8 pounds),,,,"795 mm (31.3 inches) If adjustable, lowest setting.",1280 mm (50.4 inches),10.30 litres (2.72 US gallons),,Electric,,,,,,"Dry sump, pressure lubrication with 2 Eaton pumps",244 mm (9.6 inches),258 mm (10.2 inches),265 mm (10.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ1 Fazer ABS,2009,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",147.9 HP (108.0  kW)),106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 10800 RPM,,11.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Injection,,TCI,Liquid,6-speed,,"Wet, multiple-disc coil spring",,,,,,109 mm (4.3 inches),Telescopic forks,Swingarm (link suspension),120/70-ZR17 ,190/50-ZR17 ,Double disc. ABS,245 mm (9.6 inches),Single disc. ABS,,,,,"815 mm (32.1 inches) If adjustable, lowest setting.",1460 mm (57.5 inches),18.00 litres (4.76 US gallons),,,,,1205 mm (47.4 inches),2140 mm (84.3 inches),,Wet sump,130 mm (5.1 inches),130 mm (5.1 inches),,3.80 litres (4.02 US quarts),,221.0 kg (487.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
