Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Color options,Starter,Modifications compared to previous model,Top speed,Bore x stroke,Valves per cylinder,Fuel capacity,Max RPM,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Torque,1/4 mile (0.4 km),Diameter,Dry weight,Power/weight ratio,Fuel consumption,Greenhouse gases,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Rear wheel travel,Comments,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight
Kawasaki GPZ 305 Belt Drive,1987,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,9.7:1,,Overhead Cams (OHC),,,Air,6-speed,Belt   (final drive),,,,,,90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),,,,140.0 km/h (87.0 mph),61.0 x 52.4 mm (2.4 x 2.1 inches),2,16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 EF,1987,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9500 RPM,9.6:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,100/90-16 ,120/90-17 ,Dual disc,Single disc,237.0 kg (522.5 pounds),,,,206.0 km/h (128.0 mph),67.0 x 53.0 mm (2.6 x 2.1 inches),4,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,1987,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-17 ,Dual disc,Single disc,260.0 kg (573.2 pounds),,,,222.0 km/h (137.9 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RV 200,1987,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",183.0 ccm (11.17 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,12.5:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,3.25-16 ,3.50-18 ,Single disc,Single disc,143.0 kg (315.3 pounds),,,,115.0 km/h (71.5 mph),68.0 x 50.5 mm (2.7 x 2.0 inches),,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 R,1987,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 8000 RPM,10.2:1,,Overhead Cams (OHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,131.0 kg (288.8 pounds),,,,128.0 km/h (79.5 mph),75.0 x 56.5 mm (3.0 x 2.2 inches),4,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 600 LC 4 (reduced effect),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.5:1,,Overhead Cams (OHC),,,Liquid,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-18 ,Single disc,Single disc,134.0 kg (295.4 pounds),,,,115.0 km/h (71.5 mph),95.0 x 78.0 mm (3.7 x 3.1 inches),4,8.70 litres (2.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 Florida,1987,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",643.0 ccm (39.24 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 7200 RPM,10.0:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-16 ,Dual disc,Single disc,197.0 kg (434.3 pounds),,,,161.0 km/h (100.0 mph),80.0 x 64.0 mm (3.1 x 2.5 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 75,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 7300 RPM,10.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-16 ,120/80-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),,,,176.0 km/h (109.4 mph),80.0 x 74.0 mm (3.1 x 2.9 inches),4,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 E,1987,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,9.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),,,,154.0 km/h (95.7 mph),67.0 x 56.6 mm (2.6 x 2.2 inches),4,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65 II,1987,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,643.0 ccm (39.24 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6900 RPM,10.0:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,110190-18 ,Dual disc,Single disc,192.0 kg (423.3 pounds),,,,178.0 km/h (110.6 mph),80.0 x 64.0 mm (3.1 x 2.5 inches),2,15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETX 350 AE,1987,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",33.0 HP (24.1  kW)) @ 7500 RPM,9.6:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-17 ,Single disc,Single disc,167.0 kg (368.2 pounds),,,,145.0 km/h (90.1 mph),79.5 x 70.4 mm (3.1 x 2.8 inches),4,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RT,1987,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),,,,206.0 km/h (128.0 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 Paso,1987,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 7900 RPM,10.0:1,,Desmodromic valve control,,,Air,5-speed,Chain   (final drive),,,,,,130/60-16 ,160/60-16 ,Dual disc,Single disc,222.0 kg (489.4 pounds),,,,201.0 km/h (124.9 mph),88.0 x 61.5 mm (3.5 x 2.4 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 K 2,1987,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,11.0:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,3.50-18 ,Dual disc,Single disc,160.0 kg (352.7 pounds),,,,141.0 km/h (87.6 mph),62.0 x 57.0 mm (2.4 x 2.2 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,1987,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,9.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-17 ,Single disc,Single disc,189.0 kg (416.7 pounds),,,,154.0 km/h (95.7 mph),100.0 x 83.0 mm (3.9 x 3.3 inches),4,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 F,1987,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,6.0:1,,Membrane & power valve,,,Liquid,6-speed,Chain   (final drive),,,,,,90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),,,,191.0 km/h (118.7 mph),64.0 x 54.0 mm (2.5 x 2.1 inches),,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 S,1987,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-17 ,Dual disc,Single disc,235.0 kg (518.1 pounds),,,,199.0 km/h (123.7 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),2,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600,1987,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 10000 RPM,10.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),,,,198.0 km/h (123.0 mph),58.5 x 55.7 mm (2.3 x 2.2 inches),2,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 RT,1987,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,8.2:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,90/90-18 ,120/90-18 ,Single disc,Expanding brake,243.0 kg (535.7 pounds),,,,163.0 km/h (101.3 mph),84.8 x 70.6 mm (3.3 x 2.8 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT 225,1987,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",,,Carburettor. 26mm teikei,Single Overhead Cams (SOHC),CDI,,Air,6-speed,Chain   (final drive),,,Steel,Telescope Forks,Link Type single shock,Pirelli-MT320H ,Pirelli-MT320 ,Single disc,Expanding brake (drum brake),,Red  and  Tan,Kick,,,,2,7.94 litres (2.10 US gallons),,,,"884 mm (34.8 inches) If adjustable, lowest setting.",1181 mm (46.5 inches),2065 mm (81.3 inches),800 mm (31.5 inches),305 mm (12.0 inches),1374 mm (54.1 inches),,,,130 mm (5.1 inches),100.7 kg (222.0 pounds),,,,,,,,,,,,,,,,,239 mm (9.4 inches),221 mm (8.7 inches),Great Fun Adult Bike,,,
Kawasaki Z 1000 GTR,1987,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,110/80-18 ,150/80-16 ,Dual disc,Single disc,296.0 kg (652.6 pounds),,,,194.0 km/h (120.5 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,28.50 litres (7.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 175,1987,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)),,,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 E,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1135.0 ccm (69.26 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8100 RPM,9.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,110/90-16 ,130/90-17 ,Dual disc,Single disc,243.0 kg (535.7 pounds),,,,224.0 km/h (139.2 mph),74.0 x 66.0 mm (2.9 x 2.6 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 DOHC (reduced effect),1987,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,9.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),,,,143.0 km/h (88.9 mph),69.0 x 53.4 mm (2.7 x 2.1 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 150,1987,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",143.0 ccm (8.73 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6000 RPM,10.0:1,,Port control,,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.25-16 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),,,,95.0 km/h (59.0 mph),56.0 x 58.0 mm (2.2 x 2.3 inches),,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 600 HWE,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,9.8:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.50-21 ,4.50-18 ,Single disc,Expanding brake,132.0 kg (291.0 pounds),,,,140.0 km/h (87.0 mph),94.0 x 81.0 mm (3.7 x 3.2 inches),4,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 850 G,1987,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",843.0 ccm (51.44 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 8500 RPM,8.8:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,273.0 kg (601.9 pounds),,,,203.0 km/h (126.1 mph),69.0 x 56.4 mm (2.7 x 2.2 inches),2,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,1987,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",85.0 HP (62.0  kW)) @ 11000 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,110/80-17 ,130/80-17 ,Dual disc,Single disc,201.0 kg (443.1 pounds),,,,222.0 km/h (137.9 mph),63.0 x 48.0 mm (2.5 x 1.9 inches),4,16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 E (reduced effect),1987,Speedway,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,491.0 ccm (29.96 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,10.5:1,,Overhead Cams (OHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,120/80-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),,,,137.0 km/h (85.1 mph),71.0 x 62.0 mm (2.8 x 2.4 inches),3,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 501 Excalibur,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,507.0 ccm (30.94 cubic inches),"V2, four-stroke",41.0 HP (29.9  kW)) @ 8500 RPM,11.5:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,130/90-16 ,Single disc,Single disc,193.0 kg (425.5 pounds),,,,149.0 km/h (92.6 mph),71.0 x 64.0 mm (2.8 x 2.5 inches),2,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 ES,1987,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",64.0 HP (46.7  kW)) @ 10000 RPM,10.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,100/90-16 ,110/90-18 ,Dual disc,Single disc,216.0 kg (476.2 pounds),,,,201.0 km/h (124.9 mph),60.0 x 50.6 mm (2.4 x 2.0 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donghai SM 750 (with sidecar),1987,Touring," 2.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",26.0 HP (19.0  kW)) @ 4500 RPM,7.0:1,,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,4.00-17 ,4.00-11 ,Expanding brake,Expanding brake,400.0 kg (881.8 pounds),,,,119.0 km/h (73.9 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),2,25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,1987,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,9.2:1,,Overhead Cams (OHC),,,Liquid,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-17 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),,,,167.0 km/h (103.8 mph),75.0 x 66.0 mm (3.0 x 2.6 inches),3,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZL 1000,1987,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,10.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,160/80-15 ,Dual disc,Single disc,271.0 kg (597.5 pounds),,,,,74.0 x 58.0 mm (2.9 x 2.3 inches),4,18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750 (reduced effect),1987,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,9.8:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,110/80-18 ,140/70-18 ,Dual disc,Single disc,201.0 kg (443.1 pounds),,,,226.0 km/h (140.4 mph),70.0 x 48.7 mm (2.8 x 1.9 inches),4,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 DOHC,1987,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9500 RPM,9.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),,,,168.0 km/h (104.4 mph),69.0 x 53.4 mm (2.7 x 2.1 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 5 (with sidecar),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,844.0 ccm (51.50 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6900 RPM,9.5:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,110/90-16 ,130/90-16 ,Dual disc,Single disc,331.0 kg (729.7 pounds),,,,145.0 km/h (90.1 mph),83.0 x 78.0 mm (3.3 x 3.1 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangtze 750 (with sidecar),1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",22.0 HP (16.1  kW)) @ 4500 RPM,5.7:1,,Standing valves,,,Air,4-speed,Shaft drive (cardan)   (final drive),,,,,,3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),,,,90.0 km/h (55.9 mph),78.0 x 78.0 mm (3.1 x 3.1 inches),2,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 C (reduced effect),1987,Custom / cruiser," 1.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,10.5:1,,Overhead Cams (OHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-18 ,130/90-16 ,Single disc,Expanding brake,201.0 kg (443.1 pounds),,,,137.0 km/h (85.1 mph),71.0 x 62.0 mm (2.8 x 2.4 inches),3,11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 550,1987,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 10500 RPM,10.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,120/80-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),,,,196.0 km/h (121.8 mph),58.0 x 52.4 mm (2.3 x 2.1 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 Turbo,1987,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,7.8:1,Turbo,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,110/90-18 ,130/80-18 ,Dual disc,Single disc,254.0 kg (560.0 pounds),,,,225.0 km/h (139.8 mph),66.0 x 54.0 mm (2.6 x 2.1 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLST 1340 Heritage Softail,1987,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MT 90-16 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),,,,165.0 km/h (102.5 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 Low Rider Sport Edition,1987,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,278.0 kg (612.9 pounds),,,,167.0 km/h (103.8 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
