Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Bore x stroke,Valves per cylinder,Fuel system,Gearbox,Transmission type,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Cooling system,Starter,"Weight incl. oil, gas, etc",Compression,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Trail,Front suspension,Rear suspension,Alternate seat height,Overall height,Reserve fuel capacity,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Overall width,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Fuel control,Rake (fork angle),Ground clearance,Color options,Chain size,Max RPM,Exhaust system,Comments,Driveline,Battery,Rear percentage of weight,Engine details,Modifications compared to previous model
Kawasaki Eliminator 125,2001,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,9.7 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 8000 RPM,100.0 km/h (62.1 mph),55.0 x 52.4 mm (2.2 x 2.1 inches),2,Carburettor,5-speed,Chain   (final drive),130 mm (5.1 inches),60 mm (2.4 inches),90/90-17 ,130/90-15 ,Single disc,130 mm (5.1 inches),Expanding brake,128.0 kg (282.2 pounds),0.0938 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650 S,2001,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 7500 RPM,212.0 km/h (131.7 mph),81.0 x 62.6 mm (3.2 x 2.5 inches),4,Carburettor,6-speed,Chain   (final drive),130 mm (5.1 inches),125 mm (4.9 inches),120/60-ZR17 ,160/60-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,165.0 kg (363.8 pounds),0.4242 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 400 DragStar,2001,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"V2, four-stroke",32.2 HP (23.5  kW)) @ 7500 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 6000 RPM,,68.0 x 55.0 mm (2.7 x 2.2 inches),,Carburettor. BDS28×2,,,140 mm (5.5 inches),113 mm (4.4 inches),110/90-18 ,170/80-15 ,Double disc,282 mm (11.1 inches),Single disc,225.0 kg (496.0 pounds),0.1430 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",1610 mm (63.4 inches),15.00 litres (3.96 US gallons),Air,,,9.7:1,T.C.I. Formula,,,,,Double cradle,,Telescopic forks,Swingarm Monocross,,1095 mm (43.1 inches),,,,,,,,,,,,,,,2340 mm (92.1 inches),895 mm (35.2 inches),,,,Single Overhead Cams (SOHC),,145 mm (5.7 inches),"Metallic silver, Metallic Black",,,,,,,,,
Yamaha XVS 1100 Drag Star,2001,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 5750 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 2500 RPM,170.0 km/h (105.6 mph),95.0 x 75.0 mm (3.7 x 3.0 inches),2,Carburettor,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),113 mm (4.4 inches),110/90-S18 ,170/80-S15 ,Dual disc,282 mm (11.1 inches),Single disc,261.0 kg (575.4 pounds),0.2375 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",1640 mm (64.6 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VL 1500 LC Intruder,2001,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1462.0 ccm (89.21 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 4800 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 2300 RPM,170.0 km/h (105.6 mph),96.0 x 101.0 mm (3.8 x 4.0 inches),3,Carburettor,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),118 mm (4.6 inches),150/80-16 ,180/70-15 ,Single disc,275 mm (10.8 inches),Single disc,296.0 kg (652.6 pounds),0.2264 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",1700 mm (66.9 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton C 652 Combat,2001,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5200 RPM,175.0 km/h (108.7 mph),100.0 x 83.0 mm (3.9 x 3.3 inches),4,Carburettor,5-speed,Chain   (final drive),110 mm (4.3 inches),120 mm (4.7 inches),110/70-R17 ,160/60-R17 ,Single disc,220 mm (8.7 inches),Single disc,158.0 kg (348.3 pounds),0.3165 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1380 mm (54.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Deuce Injection,2001,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5400 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 3000 RPM,175.0 km/h (108.7 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Injection,5-speed,Belt   (final drive),142 mm (5.6 inches),103 mm (4.1 inches),,,Single disc,292 mm (11.5 inches),Single disc,,,"719 mm (28.3 inches) If adjustable, lowest setting.",1691 mm (66.6 inches),18.50 litres (4.89 US gallons),Air,Electric,305.0 kg (672.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 600 S Hornet,2001,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 12000 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 10000 RPM,218.0 km/h (135.5 mph),65.0 x 45.2 mm (2.6 x 1.8 inches),4,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),128 mm (5.0 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,179.0 kg (394.6 pounds),0.5475 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1425 mm (56.1 inches),16.00 litres (4.23 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GTR 1000,2001,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 6500 RPM,195.0 km/h (121.2 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,Carburettor,6-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),140 mm (5.5 inches),120/70-VR18 ,150/80-VR16 ,Dual disc,280 mm (11.0 inches),Single disc,258.0 kg (568.8 pounds),0.3798 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1555 mm (61.2 inches),28.50 litres (7.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GZ 125 Marauder,2001,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,,,,,,5-speed,,,,,,Single disc,,Expanding brake,123.0 kg (271.2 pounds),0.0813 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Runner 180,2001,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",175.8 ccm (10.73 cubic inches),"Single cylinder, two-stroke",21.0 HP (15.3  kW)) @ 8000 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 7000 RPM,150.0 km/h (93.2 mph),65.6 x 52.0 mm (2.6 x 2.0 inches),,Carburettor,,Belt   (final drive),,,120/70-12 ,130/60-13 ,Single disc,,Expanding brake (drum brake),107.0 kg (235.9 pounds),0.1963 HP/kg,,,12.00 litres (3.17 US gallons),Liquid,Electric & kick,,9.8:1,,,,,,,,,,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,1780 mm (70.1 inches),720 mm (28.3 inches),,,,,,,,,,,,,,,,
Ducati 748 S,2001,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)) @ 11000 RPM,74.0 Nm (7.5 kgf-m or 54.6 ft.lbs) @ 9000 RPM,240.0 km/h (149.1 mph),88.0 x 61.5 mm (3.5 x 2.4 inches),4,Injection,6-speed,Chain   (final drive),127 mm (5.0 inches),130 mm (5.1 inches),120/60-ZR17 ,180/55->R17 ,Dual disc,220 mm (8.7 inches),Single disc,196.0 kg (432.1 pounds),0.4949 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V-Max 1200,2001,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",102.0 HP (74.5  kW)) @ 8000 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 6000 RPM,205.0 km/h (127.4 mph),76.0 x 66.0 mm (3.0 x 2.6 inches),4,Carburettor,5-speed,Shaft drive (cardan)   (final drive),140 mm (5.5 inches),100 mm (3.9 inches),110/90-V18 ,150/90-V15 ,Dual disc,282 mm (11.1 inches),Single disc,,,"795 mm (31.3 inches) If adjustable, lowest setting.",1590 mm (62.6 inches),15.00 litres (3.96 US gallons),,,270.0 kg (595.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 812 Millennium,2001,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8700 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7000 RPM,,,,,5-speed,,,,,,Single disc,,,122.0 kg (269.0 pounds),0.0820 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 250 Master Tempo,2001,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 7000 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,,,5-speed,Chain   (final drive),,,,,Single disc,,Single disc,132.0 kg (291.0 pounds),0.1970 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C Shadow,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",34.0 HP (24.8  kW)) @ 6500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 3500 RPM,,,,,5-speed,,,,,,Single disc,,Expanding brake,199.0 kg (438.7 pounds),0.1709 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1600 A Wild Star Silverado,2001,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1602.0 ccm (97.75 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 4000 RPM,134.0 Nm (13.7 kgf-m or 98.8 ft.lbs) @ 2250 RPM,170.0 km/h (105.6 mph),95.0 x 113.0 mm (3.7 x 4.4 inches),4,Carburettor,5-speed,Belt   (final drive),140 mm (5.5 inches),110 mm (4.3 inches),130/90-16 ,150/80-16 ,Dual disc,320 mm (12.6 inches),Single disc,307.0 kg (676.8 pounds),0.2052 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",1685 mm (66.3 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki AN 400 Burgman,2001,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",385.0 ccm (23.49 cubic inches),"Single cylinder, four-stroke",32.0 HP (23.4  kW)) @ 8000 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 6200 RPM,,,,,,,,,,,,,,179.0 kg (394.6 pounds),0.1788 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California Jackal,2001,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,183.0 km/h (113.7 mph),92.0 x 80.0 mm (3.6 x 3.1 inches),2,Injection,5-speed,Shaft drive (cardan)   (final drive),124 mm (4.9 inches),114 mm (4.5 inches),110/90-VB18 ,140/80-VB17 ,Dual disc,282 mm (11.1 inches),Single disc,246.0 kg (542.3 pounds),0.3008 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1560 mm (61.4 inches),19.00 litres (5.02 US gallons),Air,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 R,2001,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",106.0 HP (77.4  kW)),75.0 Nm (7.6 kgf-m or 55.3 ft.lbs),,88.0 x 61.5 mm (3.5 x 2.4 inches),4,Injection,6-speed,Chain   (final drive),127 mm (5.0 inches),130 mm (5.1 inches),120/60-ZR17 ,180/55->R17 ,Dual disc,220 mm (8.7 inches),Single disc,192.0 kg (423.3 pounds),0.5521 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 S Bandit,2001,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 10500 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 9500 RPM,200.0 km/h (124.3 mph),62.6 x 48.7 mm (2.5 x 1.9 inches),4,Carburettor,6-speed,Chain   (final drive),130 mm (5.1 inches),126 mm (5.0 inches),120/60-ZR17 ,160/60-ZR17 ,Dual disc,240 mm (9.4 inches),Single disc,208.0 kg (458.6 pounds),0.3750 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1433 mm (56.4 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 600 Odin,2001,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",65.0 HP (47.4  kW)),,162.0 km/h (100.7 mph),95.0 x 84.0 mm (3.7 x 3.3 inches),4,Carburettor,6-speed,Chain   (final drive),280 mm (11.0 inches),320 mm (12.6 inches),120/70-ZR17 ,150/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,,,"900 mm (35.4 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Liquid,Kick,129.0 kg (284.4 pounds),11.6:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50 seconds,16.30 seconds,47.2,,,,,,,,,,,,,
Moto Union/OMV 125 Dandy,2001,Allround," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)),,108.0 km/h (67.1 mph),,,,,Chain   (final drive),,,,,Single disc,,,103.0 kg (227.1 pounds),0.1165 HP/kg,,,6.50 litres (1.72 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kramit 250 Enduro,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",50.0 HP (36.5  kW)) @ 9250 RPM,41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 8250 RPM,,67.5 x 69.8 mm (2.7 x 2.7 inches),,Carburettor,6-speed,Chain   (final drive),300 mm (11.8 inches),340 mm (13.4 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,107.0 kg (235.9 pounds),0.4673 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Scout,2001,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1442.0 ccm (87.99 cubic inches),"V2, four-stroke",,,,,,,5-speed,,,,,,Single disc,,Single disc,265.0 kg (584.2 pounds),,"673 mm (26.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 RT,2001,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",95.0 HP (69.3  kW)) @ 7250 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5500 RPM,203.0 km/h (126.1 mph),101.0 x 70.5 mm (4.0 x 2.8 inches),4,Injection,6-speed,Shaft drive (cardan)   (final drive),120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,276 mm (10.9 inches),Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),25.00 litres (6.61 US gallons),Oil & air,Electric,285.0 kg (628.3 pounds),11.3:1,,,,,,,,,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,3.90 seconds,11.50 seconds,50.2,,,,,,,,,,,,,
Laverda 750 Super Sport,2001,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,747.0 ccm (45.58 cubic inches),"Twin, four-stroke",92.0 HP (67.2  kW)),82.0 Nm (8.4 kgf-m or 60.5 ft.lbs),,,,,6-speed,,,,,,Dual disc,,Single disc,185.0 kg (407.9 pounds),0.4973 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-5 Twister,2001,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,45.0 Nm (4.6 kgf-m or 33.2 ft.lbs) @ 7200 RPM,180.0 km/h (111.8 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,Carburettor,6-speed,Chain   (final drive),125 mm (4.9 inches),114 mm (4.5 inches),110/70-H17 ,130/70-H17 ,Single disc,160 mm (6.3 inches),Expanding brake,180.0 kg (396.8 pounds),0.2778 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KL250-G5 Super Sherpa,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,72.0 x 61.2 mm (2.8 x 2.4 inches),,Carburettor,6-speed,,230 mm (9.1 inches),186 mm (7.3 inches),2.75-21 4PR ,4.10-17 4PR ,Single disc. Hydraulic,183 mm (7.2 inches),Single disc. Hydraulic,113.0 kg (249.1 pounds),,"830 mm (32.7 inches) If adjustable, lowest setting.",1375 mm (54.1 inches),9.00 litres (2.38 US gallons),Air,,,9.3:1,,,"Wet, Multi-disc, Manual",,,,,,,,,,,,,,,,,,,,,,,,,,,,Double Overhead Cams/Twin Cam (DOHC),,270 mm (10.6 inches),,,,,,,,,,
Ural Classic,2001,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5200 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 4800 RPM,,,,,4-speed,,,,,,Expanding brake,,Expanding brake,340.0 kg (749.6 pounds),0.0941 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comes with mounted sidecar.,,,,,
Yamaha YZF 600 R Thundercat,2001,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 9500 RPM,230.0 km/h (142.9 mph),62.0 x 49.6 mm (2.4 x 2.0 inches),4,Carburettor,6-speed,Chain   (final drive),130 mm (5.1 inches),120 mm (4.7 inches),120/60-ZR17 ,160/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,187.0 kg (412.3 pounds),0.5348 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfer VR 250,2001,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",54.0 HP (39.4  kW)),,,67.5 x 69.8 mm (2.7 x 2.7 inches),,Carburettor,6-speed,Chain   (final drive),,,90/90-21 ,140/90-18 ,Single disc,220 mm (8.7 inches),Single disc,,,"950 mm (37.4 inches) If adjustable, lowest setting.",1515 mm (59.6 inches),9.50 litres (2.51 US gallons),,,104.0 kg (229.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 400 S,2001,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)) @ 7600 RPM,39.0 Nm (4.0 kgf-m or 28.8 ft.lbs) @ 6600 RPM,140.0 km/h (87.0 mph),90.0 x 62.6 mm (3.5 x 2.5 inches),4,Carburettor,5-speed,Chain   (final drive),290 mm (11.4 inches),295 mm (11.6 inches),80/100-21 ,120/90-18 ,Single disc,220 mm (8.7 inches),Single disc,132.0 kg (291.0 pounds),0.3030 HP/kg,"935 mm (36.8 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 R,2001,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",80.0 HP (58.4  kW)),,195.0 km/h (121.2 mph),99.0 x 70.5 mm (3.9 x 2.8 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,160/60-ZR18 ,Dual disc,276 mm (10.9 inches),Single disc,214.0 kg (471.8 pounds),0.3738 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,19.00 litres (5.02 US gallons),,Electric,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM LC4 620 Supermoto,2001,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,,175.0 km/h (108.7 mph),101.0 x 76.0 mm (4.0 x 3.0 inches),4,Carburettor,5-speed,Chain   (final drive),295 mm (11.6 inches),320 mm (12.6 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,123.0 kg (271.2 pounds),0.4065 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
