Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Ignition,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Dry weight,Power/weight ratio,Color options,Starter,Rake (fork angle),Trail,Front suspension,Rear suspension,Overall height,Overall length,Overall width,Modifications compared to previous model,Lubrication system,Seat height,Alternate seat height,Ground clearance,Wheelbase,Torque,1/4 mile (0.4 km),Diameter,Wheels,Carrying capacity,Rear wheel travel,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Reserve fuel capacity,Driveline,Comments,Engine details,Coolant
Honda CB 250 RS (reduced effect),1982,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,136.0 km/h (84.5 mph),9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F 2 (reduced effect),1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,185.0 km/h (115.0 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,213.0 kg (469.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KL 250,1982,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,111.0 km/h (69.0 mph),8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,132.0 kg (291.0 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35 Imola,1982,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,150.0 km/h (93.2 mph),10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,100/90-18 ,Dual disc,Single disc,181.0 kg (399.0 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXR 1340 Super Glide II,1982,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,160.0 km/h (99.4 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,282.0 kg (621.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250 LC,1982,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",38.0 HP (27.7  kW)) @ 8500 RPM,163.0 km/h (101.3 mph),6.9:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,158.0 kg (348.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 750 CSR (KZ 750 M1),1982,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25H-19 4PR ,130/90-16 67H ,Single disc,Expanding brake (drum brake),,10.60 litres (2.80 US gallons),,Carburettor,,,,,,"Tubular, double cradle",205.0 kg (451.9 pounds),0.2683 HP/kg,,,,,Telescopic fork (Pneumatic),Swing arm,1215 mm (47.8 inches),2190 mm (86.2 inches),840 mm (33.1 inches),,,"770 mm (30.3 inches) If adjustable, lowest setting.",,170 mm (6.7 inches),1475 mm (58.1 inches),60.8 Nm (6.2 kgf-m or 44.8 ft.lbs) @ 3000 RPM,,,,,96 mm (3.8 inches),,,,,,,,,,,,,,,180 mm (7.1 inches),,,,,
Cagiva SST 250,1982,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),10.6:1,72.0 x 59.6 mm (2.8 x 2.3 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,143.0 kg (315.3 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 440 LTD,1982,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",444.0 ccm (27.09 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,154.0 km/h (95.7 mph),9.2:1,67.5 x 62.0 mm (2.7 x 2.4 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.25-19 ,130/90-16 ,Single disc,Expanding brake,184.0 kg (405.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 E (reduced effect),1982,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,228.0 kg (502.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 N,1982,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,125.0 km/h (77.7 mph),9.4:1,62.0 x 41.4 mm (2.4 x 1.6 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,186.0 kg (410.1 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 250 WK,1982,Cross / motocross," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,151.0 km/h (93.8 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,Rotary valves,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Single disc,132.0 kg (291.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha IT 250,1982,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",,,,,,Membrane,Air,6-speed,Chain   (final drive),-21 ,-18 ,Expanding brake (drum brake). cable,Expanding brake (drum brake). mechanical link,95.3 kg (210.0 pounds),,,"Carburettor. Mikuni round 34 mm, intake resonator",CDI,Wet plate,,,expansion chamber,Steel tubing,,,Blue with yellow stickers and black seat,Kick,,,Conventional forks,Mono-x triangular swingarm,,,,Aluminum swingarm,Pre-mix,,,,,,,,,,,,,,,,,,,,,,,,,,1.13 litres (0.30 US gallons),,Light-weight wheelie trickster. Excellent for beginners.,,
BMW R 65,1982,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,175.0 km/h (108.7 mph),9.2:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 ES,1982,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,221.0 km/h (137.3 mph),9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,253.0 kg (557.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 L,1982,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,141.0 km/h (87.6 mph),9.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.60-16 ,Single disc,Expanding brake,186.0 kg (410.1 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXWG 1340 Wide Glide,1982,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,164.0 km/h (101.9 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MH 90-21 ,MT 90-16 ,Dual disc,Single disc,292.0 kg (643.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 200 T,1982,Trial," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,119.0 km/h (73.9 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 400 T,1982,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,150.0 km/h (93.2 mph),8.5:1,65.0 x 60.0 mm (2.6 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 175 MX,1982,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",171.0 ccm (10.43 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7000 RPM,105.0 km/h (65.2 mph),6.8:1,66.0 x 50.0 mm (2.6 x 2.0 inches),,Membrane,Air,6-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,109.0 kg (240.3 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLS 1000 Roadster,1982,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,167.0 km/h (103.8 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,249.0 kg (549.0 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650 (reduced effect),1982,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,173.0 km/h (107.5 mph),8.5:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,231.0 kg (509.3 pounds),20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650 Turbo,1982,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,203.0 km/h (126.1 mph),8.5:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,262.0 kg (577.6 pounds),19.00 litres (5.02 US gallons),,Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXE 1340 Super Glide,1982,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,165.0 km/h (102.5 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,282.0 kg (621.7 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Virago 920,1982,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1000.0 ccm (61.02 cubic inches),"Twin, two-stroke",,,,,2,,Air,,Shaft drive (cardan)   (final drive),,,,,,11.36 litres (3.00 US gallons),,Carburettor. Hitachi,,,7.13 litres/100 km (14.0 km/l or 32.99 mpg),165.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Black,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76 litres (0.20 US gallons),,,,
Honda CM 450 E,1982,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",47.0 HP (34.3  kW)),,,,3,Single Overhead Cams (SOHC),Air,6-speed,Chain   (final drive),-18 ,-16 ,Expanding brake (drum brake). Cable,Expanding brake (drum brake). Mechanical link,181.4 kg (400.0 pounds),9.84 litres (2.60 US gallons),,Carburettor. CV,Transistorized,Wet plate,,,Dual,Steel tubing,,,Burgundy,Electric,,,,,,,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,1.13 litres (0.30 US gallons),,,,
Honda CB 750 C,1982,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",77.0 HP (56.2  kW)) @ 9000 RPM,176.0 km/h (109.4 mph),9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-19 ,130/90-16 ,Dual disc,Expanding brake,253.0 kg (557.8 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 DOHC,1982,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9500 RPM,168.0 km/h (104.4 mph),9.7:1,69.0 x 53.4 mm (2.7 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KDX 175,1982,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,114.0 km/h (70.8 mph),7.6:1,66.0 x 50.6 mm (2.6 x 2.0 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,109.0 kg (240.3 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 C (reduced effect),1982,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,140.0 km/h (87.0 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,216.0 kg (476.2 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 65 LS,1982,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,175.0 km/h (108.7 mph),9.2:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Dual disc,Expanding brake,208.0 kg (458.6 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX 250,1982,Trial," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,118.0 km/h (73.3 mph),8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,115.0 kg (253.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C,1982,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",82.0 HP (59.9  kW)) @ 9500 RPM,187.0 km/h (116.2 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-16 ,Dual disc,Expanding brake,240.0 kg (529.1 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS,1982,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,213.0 km/h (132.4 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,4.25/85-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F 2,1982,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",60.0 HP (43.8  kW)) @ 10000 RPM,190.0 km/h (118.1 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,213.0 kg (469.6 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 Le Mans 111,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 7700 RPM,222.0 km/h (137.9 mph),9.8:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 250 E,1982,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8200 RPM,134.0 km/h (83.3 mph),10.5:1,60.0 x 44.2 mm (2.4 x 1.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Caballero Super 6M,1982,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",7.0 HP (5.1  kW)) @ 11000 RPM,,12.0:1,38.0 x 42.0 mm (1.5 x 1.7 inches),,,Air,6-speed,Chain   (final drive),,,,,,,,Carburettor. Dell´Orto SHB 19/19,,Wet plate,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 500 S,1982,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,135.0 km/h (83.9 mph),8.6:1,89.0 x 80.0 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-23 ,4.60-18 ,Expanding brake,Expanding brake,142.0 kg (313.1 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RS,1982,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,193.0 km/h (119.9 mph),9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 F Katana,1982,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",42.0 HP (30.7  kW)) @ 10500 RPM,170.0 km/h (105.6 mph),10.5:1,53.0 x 45.2 mm (2.1 x 1.8 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.25-19 ,110/90-18 ,Dual disc,Single disc,197.0 kg (434.3 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 K,1982,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",77.0 HP (56.2  kW)) @ 9000 RPM,200.0 km/h (124.3 mph),9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,256.0 kg (564.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
