Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Reserve fuel capacity,Starter,Power,Torque,Top speed,Valves per cylinder,Transmission type,Front suspension,Rear suspension,Power/weight ratio,Seat height,Fuel control,Ground clearance,Ignition,Driveline,"Weight incl. oil, gas, etc",Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Oil filter,Battery,Sprockets,Belt teeth,Belt width,Pulley teeth,Comments,Alternate seat height,Front percentage of weight,Rear percentage of weight,Frame type,Exhaust system,Color options,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Modifications compared to previous model,Chain size,Chain links,Carrying capacity,Engine details,Seat
Honda Shadow 125,2002,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",11.8:1,42.0 x 45.0 mm (1.7 x 1.8 inches),,,5-speed,110 mm (4.3 inches),80 mm (3.1 inches),110/90-17 55P ,130/90-15M/C 66P ,Single disc,130 mm (5.1 inches),Expanding brake,145.0 kg (319.7 pounds),1110 mm (43.7 inches),2300 mm (90.6 inches),890 mm (35.0 inches),1530 mm (60.2 inches),14.50 litres (3.83 US gallons),3.00 litres (0.79 US gallons),,15.0 HP (10.9  kW)) @ 11000 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 9000 RPM,,2,Chain   (final drive),,,0.1034 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",,145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell M2 Cyclone,2002,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",10.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),Carburettor,Air,5-speed,119 mm (4.7 inches),117 mm (4.6 inches),120/70-ZR17 ,170/60-ZR17 ,Single disc,230 mm (9.1 inches),Single disc,197.0 kg (434.3 pounds),,,,1397 mm (55.0 inches),18.90 litres (4.99 US gallons),2.20 litres (0.58 US gallons),Electric,91.0 HP (66.4  kW)) @ 6000 RPM,115.3 Nm (11.8 kgf-m or 85.0 ft.lbs) @ 4900 RPM,,2,Belt   (final drive),,,0.4619 HP/kg,"787 mm (31.0 inches) If adjustable, lowest setting.",,132 mm (5.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WRE 125,2002,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,120/90-18 ,Single disc,220 mm (8.7 inches),Single disc,108.0 kg (238.1 pounds),,,,1500 mm (59.1 inches),11.20 litres (2.96 US gallons),,Kick,,,,,Chain   (final drive),,,,"880 mm (34.6 inches) If adjustable, lowest setting.",,325 mm (12.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZ 125,2002,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",7.9:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Liquid,,100 mm (3.9 inches),129 mm (5.1 inches),95/70-R17 ,125/55-R17 ,Single disc,185 mm (7.3 inches),Single disc,71.2 kg (157.0 pounds),1033 mm (40.7 inches),1828 mm (72.0 inches),510 mm (20.1 inches),1242 mm (48.9 inches),,,,44.0 HP (32.1  kW)) @ 12250 RPM,25.0 Nm (2.5 kgf-m or 18.4 ft.lbs) @ 12000 RPM,,,,,,0.6180 HP/kg,"701 mm (27.6 inches) If adjustable, lowest setting.",,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 85,2002,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.7 ccm (5.17 cubic inches),"Single cylinder, two-stroke",9.5:1,48.0 x 46.8 mm (1.9 x 1.8 inches),Carburettor,Liquid,6-speed,,,70/100-17 40M ,90/100-14 49M ,Single disc,,Single disc,65.0 kg (143.3 pounds),1100 mm (43.3 inches),1805 mm (71.1 inches),735 mm (28.9 inches),1240 mm (48.8 inches),5.00 litres (1.32 US gallons),,,,,,,Chain   (final drive),,,,"850 mm (33.5 inches) If adjustable, lowest setting.",,325 mm (12.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1300 Super Four,2002,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1284.0 ccm (78.35 cubic inches),"In-line four, four-stroke",9.6:1,78.0 x 67.2 mm (3.1 x 2.6 inches),Carburettor,Liquid,5-speed,,,130/70-ZR17 62W ,190/60-ZR17 78W ,Dual disc,,Single disc,246.0 kg (542.3 pounds),1165 mm (45.9 inches),2200 mm (86.6 inches),780 mm (30.7 inches),1545 mm (60.8 inches),21.00 litres (5.55 US gallons),,,100.0 HP (73.0  kW)) @ 7500 RPM,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 5000 RPM,,4,,,,0.4065 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 900,2002,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",10.0:1,76.0 x 65.0 mm (3.0 x 2.6 inches),Carburettor. Mikuni 36 mm.,Liquid,6-speed,,,120/70-17 ,170/60-17 ,Double disc. 2 calipers Nissin,255 mm (10.0 inches),Single disc,220.0 kg (485.0 pounds),,,,,25.00 litres (6.61 US gallons),,Electric,98.0 HP (71.5  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,225.0 km/h (139.8 mph),4,Chain   (final drive),,,0.4455 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),,,,260.0 kg (573.2 pounds),,,,,,,,,,Wet sump,Wet plate with hidraulic cluch,6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,Steel,Double stainlees pipes,,,,10000,,,,,,
Yamaha TT-R 125 LW,2002,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Air,,180 mm (7.1 inches),168 mm (6.6 inches),70/100-19 ,90/100-15 ,Expanding brake,110 mm (4.3 inches),Expanding brake,78.0 kg (172.0 pounds),1085 mm (42.7 inches),1885 mm (74.2 inches),795 mm (31.3 inches),1270 mm (50.0 inches),,,,9.8 HP (7.2  kW)) @ 8000 RPM,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 6500 RPM,,,,,,0.1256 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),295 mm (11.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500,2002,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",9.0:1,74.0 x 56.6 mm (2.9 x 2.2 inches),Carburettor,Air,6-speed,,,110/70-17 54H ,130/70-17 62H ,Single disc,,Single disc,173.0 kg (381.4 pounds),1060 mm (41.7 inches),2080 mm (81.9 inches),800 mm (31.5 inches),1405 mm (55.3 inches),20.00 litres (5.28 US gallons),,,,,,,Chain   (final drive),,,,"790 mm (31.1 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500,2002,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",,,,,6-speed,,,,,Single disc,,Expanding brake,199.0 kg (438.7 pounds),,,,,,,,46.0 HP (33.6  kW)),,,4,Chain   (final drive),,,0.2312 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ 250,2002,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",8.8:1,66.4 x 72.0 mm (2.6 x 2.8 inches),,Liquid,,300 mm (11.8 inches),315 mm (12.4 inches),80/100-21 51M ,110/90-19 62M ,Single disc,245 mm (9.6 inches),Single disc,97.5 kg (215.0 pounds),1302 mm (51.3 inches),2182 mm (85.9 inches),827 mm (32.6 inches),1485 mm (58.5 inches),,,,,,,,,,,,,,391 mm (15.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FC 470 E,2002,Cross / motocross," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",472.0 ccm (28.80 cubic inches),"Single cylinder, four-stroke",12.4:1,100.0 x 60.1 mm (3.9 x 2.4 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),80/100-21 ,110/100-19 ,Single disc,220 mm (8.7 inches),Single disc,109.6 kg (241.6 pounds),,,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,4,,,,,"930 mm (36.6 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZS 600 Fazer,2002,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",12.0:1,62.0 x 49.6 mm (2.4 x 2.0 inches),,Liquid,,120 mm (4.7 inches),120 mm (4.7 inches),110/60-ZR17 ,160/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,189.0 kg (416.7 pounds),1180 mm (46.5 inches),2080 mm (81.9 inches),710 mm (28.0 inches),1415 mm (55.7 inches),,,Electric,95.0 HP (69.3  kW)) @ 11500 RPM,61.2 Nm (6.2 kgf-m or 45.1 ft.lbs) @ 9500 RPM,,4,,,,0.5026 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California EV,2002,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",9.5:1,92.0 x 80.0 mm (3.6 x 3.1 inches),,Air,5-speed,,,110/90-VB18 ,150/80-VB17 ,Dual disc,282 mm (11.1 inches),Single disc,251.0 kg (553.4 pounds),1150 mm (45.3 inches),2380 mm (93.7 inches),815 mm (32.1 inches),1560 mm (61.4 inches),19.00 litres (5.02 US gallons),,Electric,74.0 HP (54.0  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,,2,Shaft drive (cardan)   (final drive),,,0.2948 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Roadster 650,2002,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,,Oil & air,5-speed,,,120/70-R17 58H ,160/60-R17 69H ,Single disc,220 mm (8.7 inches),Single disc,,,,,,17.00 litres (4.49 US gallons),3.00 litres (0.79 US gallons),Electric,50.0 HP (36.5  kW)) @ 6750 RPM,,166.0 km/h (103.1 mph),,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,169.0 kg (372.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,2002,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",60.0 ccm (3.66 cubic inches),"Twin, four-stroke",,,,,6-speed,,,,,Dual disc,,Single disc,179.0 kg (394.6 pounds),,,,,,,,60.0 HP (43.8  kW)),,,4,Chain   (final drive),,,0.3352 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 200 R,2002,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",195.0 ccm (11.90 cubic inches),"Single cylinder, four-stroke",10.0:1,65.5 x 57.8 mm (2.6 x 2.3 inches),,Air,6-speed,208 mm (8.2 inches),211 mm (8.3 inches),80/100-21 ,100/100-17 ,Expanding brake,,Expanding brake,101.0 kg (222.7 pounds),,,,1359 mm (53.5 inches),10.90 litres (2.88 US gallons),1.80 litres (0.48 US gallons),,,,,2,Chain   (final drive),,,,"851 mm (33.5 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),277 mm (10.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell Blast,2002,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",492.0 ccm (30.02 cubic inches),"Single cylinder, four-stroke",9.2:1,88.9 x 79.4 mm (3.5 x 3.1 inches),Carburettor,Air,5-speed,102 mm (4.0 inches),102 mm (4.0 inches),100/80-16 ,120/80-16 ,Dual disc,220 mm (8.7 inches),Single disc,163.3 kg (360.0 pounds),,,,1405 mm (55.3 inches),10.60 litres (2.80 US gallons),,Electric,34.0 HP (24.8  kW)) @ 6500 RPM,40.7 Nm (4.1 kgf-m or 30.0 ft.lbs) @ 5500 RPM,,2,Belt   (final drive),,,0.2082 HP/kg,"699 mm (27.5 inches) If adjustable, lowest setting.",,135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,"648 mm (25.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,
Sachs Roadster 125 V2,2002,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",,,,Air,,,,110/70-17 54H ,140/70-17 66H ,Single disc,260 mm (10.2 inches),Expanding brake,,,,,,20.00 litres (5.28 US gallons),3.00 litres (0.79 US gallons),Electric,13.0 HP (9.5  kW)) @ 9500 RPM,,103.0 km/h (64.0 mph),,,,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,148.0 kg (326.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 R,2002,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",11.3:1,88.0 x 65.5 mm (3.5 x 2.6 inches),Injection,Liquid,6-speed,120 mm (4.7 inches),130 mm (5.1 inches),120/60-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,192.0 kg (423.3 pounds),1080 mm (42.5 inches),2030 mm (79.9 inches),,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),4.00 litres (1.06 US gallons),Electric,106.0 HP (77.4  kW)) @ 11500 RPM,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 9000 RPM,,4,Chain   (final drive),,,0.5521 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTD Softail Deuce,2002,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",8.9:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,,,,,,Single disc,292 mm (11.5 inches),Single disc,292.7 kg (645.3 pounds),,2422 mm (95.4 inches),,1690 mm (66.5 inches),18.50 litres (4.89 US gallons),1.90 litres (0.50 US gallons),,,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3500 RPM,,,,,,,"719 mm (28.3 inches) If adjustable, lowest setting.",,141 mm (5.5 inches),,,309.6 kg (682.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Drag Star Four,2002,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"V2, four-stroke",9.7:1,68.0 x 55.0 mm (2.7 x 2.2 inches),Carburettor,Air,5-speed,,,100/90-19 57S ,170/80-15 M/C 77S ,Single disc,,Expanding brake,209.0 kg (460.8 pounds),1060 mm (41.7 inches),2340 mm (92.1 inches),840 mm (33.1 inches),1610 mm (63.4 inches),15.00 litres (3.96 US gallons),,,32.0 HP (23.4  kW)) @ 7500 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 6000 RPM,,2,Shaft drive (cardan)   (final drive),,,0.1531 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha PW 50,2002,"Minibike, cross"," 2.7  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",6.6:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,Air,,60 mm (2.4 inches),50 mm (2.0 inches),,,Expanding brake,,Expanding brake,37.0 kg (81.6 pounds),715 mm (28.1 inches),1245 mm (49.0 inches),575 mm (22.6 inches),855 mm (33.7 inches),,,,2.7 HP (2.0  kW)) @ 5500 RPM,3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 4500 RPM,,,,,,0.0730 HP/kg,"485 mm (19.1 inches) If adjustable, lowest setting.",,105 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650 S,2002,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",11.5:1,81.0 x 62.6 mm (3.2 x 2.5 inches),Carburettor,Liquid,6-speed,,,120/60-ZR17 ,160/60-ZR17 ,Dual disc,,Single disc,169.0 kg (372.6 pounds),1130 mm (44.5 inches),2045 mm (80.5 inches),740 mm (29.1 inches),1420 mm (55.9 inches),16.00 litres (4.23 US gallons),,,,,,4,Chain   (final drive),,,,"805 mm (31.7 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson VRSCA V-Rod,2002,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1130.0 ccm (68.95 cubic inches),"V2, four-stroke",11.3:1,100.0 x 72.0 mm (3.9 x 2.8 inches),Injection,Liquid,,,,,,Dual disc,292 mm (11.5 inches),Single disc,270.4 kg (596.1 pounds),,2376 mm (93.5 inches),,1713 mm (67.4 inches),14.00 litres (3.70 US gallons),,,115.0 HP (83.9  kW)) @ 8250 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 6300 RPM,,,Belt   (final drive),,,0.4253 HP/kg,"660 mm (26.0 inches) If adjustable, lowest setting.",,142 mm (5.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,,,,,,
Yamaha XT 600 E,2002,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),,Air,,225 mm (8.9 inches),200 mm (7.9 inches),90/90-21 54S ,120/90-17 64S ,Single disc,220 mm (8.7 inches),Single disc,160.0 kg (352.7 pounds),1205 mm (47.4 inches),2220 mm (87.4 inches),865 mm (34.1 inches),1440 mm (56.7 inches),,,,40.0 HP (29.2  kW)) @ 6250 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 5250 RPM,,,,,,0.2500 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),230 mm (9.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200,2002,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",,,,Liquid,5-speed,,,,,Dual disc,,Single disc,222.0 kg (489.4 pounds),,,,,,,Electric,122.0 HP (89.1  kW)),,,4,Chain   (final drive),,,0.5495 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 Brutale Serie Oro,2002,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,749.4 ccm (45.73 cubic inches),"In-line four, four-stroke",12.0:1,73.8 x 43.8 mm (2.9 x 1.7 inches),,Liquid,6-speed,118 mm (4.6 inches),120 mm (4.7 inches),120/65-ZR17 56W ,190/50-ZR17 73W ,Dual disc,210 mm (8.3 inches),Single disc,179.0 kg (394.6 pounds),,2026 mm (79.8 inches),820 mm (32.3 inches),1414 mm (55.7 inches),19.00 litres (5.02 US gallons),4.00 litres (1.06 US gallons),Electric,127.0 HP (92.7  kW)) @ 12500 RPM,77.5 Nm (7.9 kgf-m or 57.2 ft.lbs) @ 10500 RPM,250.0 km/h (155.3 mph),4,Chain   (final drive),,,0.7095 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 400 S,2002,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"V2, four-stroke",11.8:1,,,Liquid,6-speed,,,120/60-ZR17 55W ,160/60-ZR17 69W ,Dual disc,,Single disc,167.0 kg (368.2 pounds),1130 mm (44.5 inches),2040 mm (80.3 inches),740 mm (29.1 inches),1415 mm (55.7 inches),16.00 litres (4.23 US gallons),,,53.0 HP (38.7  kW)) @ 10500 RPM,41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 8000 RPM,,4,,,,0.3174 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille,2002,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",11.4:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection,Liquid,6-speed,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,187.0 kg (412.3 pounds),1170 mm (46.1 inches),2070 mm (81.5 inches),725 mm (28.5 inches),1415 mm (55.7 inches),18.00 litres (4.76 US gallons),4.00 litres (1.06 US gallons),,130.0 HP (94.9  kW)) @ 9500 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 7250 RPM,,4,Chain   (final drive),,,0.6952 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,,,,,,,,,,,,
Ducati 900 Sport,2002,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),Injection,Air,6-speed,120 mm (4.7 inches),136 mm (5.4 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,188.0 kg (414.5 pounds),1100 mm (43.3 inches),2030 mm (79.9 inches),,1395 mm (54.9 inches),16.00 litres (4.23 US gallons),4.00 litres (1.06 US gallons),Electric,80.0 HP (58.4  kW)) @ 7500 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 6500 RPM,,2,Chain   (final drive),,,0.4255 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 RS,2002,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",,101.0 x 70.5 mm (4.0 x 2.8 inches),Injection,Oil & air,6-speed,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,170/60-ZR17 ,Double disc,276 mm (10.9 inches),Single disc,246.0 kg (542.3 pounds),,,,1473 mm (58.0 inches),23.00 litres (6.08 US gallons),4.00 litres (1.06 US gallons),Electric,95.9 HP (70.0  kW)) @ 7500 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5750 RPM,215.0 km/h (133.6 mph),4,Shaft drive (cardan)   (final drive),Telelever,Central suspension strut,0.3898 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,Weight 251 kg with ABS.,"790 mm (31.1 inches) If adjustable, highest setting.",,,,,,,,,,,,,,
Honda X-Eleven,2002,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",11.0:1,79.0 x 58.0 mm (3.1 x 2.3 inches),Injection,,5-speed,120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 58W ,180/55-ZR17 73W ,Dual disc,256 mm (10.1 inches),Single disc,222.0 kg (489.4 pounds),1115 mm (43.9 inches),2145 mm (84.4 inches),750 mm (29.5 inches),1500 mm (59.1 inches),22.00 litres (5.81 US gallons),4.00 litres (1.06 US gallons),,137.0 HP (100.0  kW)) @ 9000 RPM,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 7000 RPM,,4,Chain   (final drive),,,0.6171 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
