Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Exhaust system,Dry weight,Power/weight ratio,Color options,Starter,Comments,Max RPM,Front suspension,Rear suspension,Ignition,Clutch,Frame type,Reserve fuel capacity,Torque,Front wheel travel,Rear wheel travel,Diameter,Seat height,Oil capacity,Electrical,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Lubrication system,Overall height,Overall length,Overall width,Wheelbase,Fuel consumption,Greenhouse gases,Alternate seat height,Ground clearance,1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight,Rake (fork angle),Trail,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,0-100 km/h (0-62 mph)
Benelli 125 T,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 7600 RPM,110.0 km/h (68.4 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,127.0 kg (280.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB1000C,1983,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",973.0 ccm (59.37 cubic inches),"In-line four, four-stroke",89.0 HP (65.0  kW)) @ 8000 RPM,196.3 km/h (122.0 mph),9.0:1,67.0 x 69.0 mm (2.6 x 2.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,10-speed,Shaft drive (cardan)   (final drive),110/90-18 ,140/90-16 ,Double disc,Single disc,276.7 kg (610.0 pounds),,Carburettor. 32mm Keihin,,,,"Black/silver
Brown/Copper",,,,telescopic fork,"swing arm, twin air/coil spring shocks",,,Multi plate wet,,60.7 Nm (6.2 kgf-m or 44.8 ft.lbs) @ 6500 RPM,160 mm (6.3 inches),99 mm (3.9 inches),295 mm (11.6 inches),"813 mm (32.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,Wet Sump,,,813 mm (32.0 inches),1626 mm (64.0 inches),,,,178 mm (7.0 inches),12.27 seconds,47.0,53.0,29.0°,99 mm (3.9 inches),,,7.00 seconds
Kawasaki Z 1300 (reduced effect),1983,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,217.0 km/h (134.8 mph),9.9:1,62.0 x 71.0 mm (2.4 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,322.0 kg (709.9 pounds),27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 354 T,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9500 RPM,150.0 km/h (93.2 mph),10.2:1,50.0 x 44.0 mm (2.0 x 1.7 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Dual disc,Single disc,206.0 kg (454.2 pounds),15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250,1983,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5200 RPM,130.0 km/h (80.8 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GR 650 X,1983,Prototype / concept model," 3.7  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 7200 RPM,165.0 km/h (102.5 mph),8.7:1,77.0 x 70.0 mm (3.0 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-19 ,130/90-16 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 125 LC,1983,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,126.0 km/h (78.3 mph),6.4:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,115.0 kg (253.5 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1983,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,193.0 km/h (119.9 mph),9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 LC YPVS,1983,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",58.0 HP (42.3  kW)) @ 9200 RPM,189.0 km/h (117.4 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),90/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 SL Pantah,1983,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",581.0 ccm (35.45 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 8500 RPM,195.0 km/h (121.2 mph),9.5:1,80.0 x 57.8 mm (3.1 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 RS,1983,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8500 RPM,146.0 km/h (90.7 mph),9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 500 Silver Wing (reduced effect),1983,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,125.0 km/h (77.7 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,235.0 kg (518.1 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini AMEX 250 J,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"V2, four-stroke",23.0 HP (16.8  kW)) @ 8800 RPM,141.0 km/h (87.6 mph),11.7:1,59.0 x 43.8 mm (2.3 x 1.7 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 250 E,1983,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8200 RPM,134.0 km/h (83.3 mph),10.5:1,60.0 x 44.2 mm (2.4 x 1.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD350B,1983,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",30.5 HP (22.3  kW)),,,64.0 x 54.0 mm (2.5 x 2.1 inches),,,Air,6-speed,Chain   (final drive),,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 Ténéré,1983,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,177.0 kg (390.2 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 E,1983,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,187.0 km/h (116.2 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),3,Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 LC,1983,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7000 RPM,109.0 km/h (67.7 mph),7.2:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,108.0 kg (238.1 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLX 1000-61,1983,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,159.0 km/h (98.8 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,244.0 kg (537.9 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 650 C (reduced effect),1983,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",673.0 ccm (41.07 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,170.0 km/h (105.6 mph),9.8:1,82.5 x 63.0 mm (3.2 x 2.5 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,218.0 kg (480.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SST 125,1983,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,104.0 km/h (64.6 mph),10.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Single disc,Expanding brake,116.0 kg (255.7 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 Camel,1983,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",38.0 HP (27.7  kW)) @ 7400 RPM,129.0 km/h (80.2 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 LTD Twin,1983,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,164.0 km/h (101.9 mph),8.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,130/90-16 ,Dual disc,Expanding brake,222.0 kg (489.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 65,1983,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,643.0 ccm (39.24 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6900 RPM,173.0 km/h (107.5 mph),10.0:1,80.0 x 64.0 mm (3.1 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,188.0 kg (414.5 pounds),15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 125 S,1983,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 9500 RPM,95.0 km/h (59.0 mph),9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,112.0 kg (246.9 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1100 Gold Wing De Luxe,1983,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"Four cylinder boxer, four-stroke",83.0 HP (60.6  kW)) @ 7500 RPM,195.0 km/h (121.2 mph),9.2:1,75.0 x 61.4 mm (3.0 x 2.4 inches),2,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-19 ,130/90-17 ,Dual disc,Single disc,330.0 kg (727.5 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 750 SE,1983,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,164.0 km/h (101.9 mph),8.7:1,83.0 x 69.2 mm (3.3 x 2.7 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Single disc,Expanding brake,227.0 kg (500.4 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SD Darmah,1983,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 7000 RPM,200.0 km/h (124.3 mph),9.5:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 CS ob one Racing,1983,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 10800 RPM,136.0 km/h (84.5 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,6-speed,Chain   (final drive),80/90-18 ,3.00-18 ,Dual disc,Single disc,110.0 kg (242.5 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RS,1983,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,193.0 km/h (119.9 mph),8.2:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Single disc,Single disc,247.0 kg (544.5 pounds),24.00 litres (6.34 US gallons),Carburettor. 2 x constant depression,,220.0 kg (485.0 pounds),0.3182 HP/kg,,Electric,,,Telescopic fork with hydraulic shock absorber.,Long swinging arm with adjustable strut.,,"Dry single plate, with diaphragm spring","Double sown tubs, dual cradle",,76.0 Nm (7.7 kgf-m or 56.1 ft.lbs),200 mm (7.9 inches),125 mm (4.9 inches),260 mm (10.2 inches),"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,2110 mm (83.1 inches),,1465 mm (57.7 inches),4.80 litres/100 km (20.8 km/l or 49.00 mpg),111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,165 mm (6.5 inches),,,,,,,,
"WSK 125 M06B3, engine model S01 Z3A Lux",1983,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 5300 RPM,85.0 km/h (52.8 mph),7.8:1,52.0 x 58.0 mm (2.0 x 2.3 inches),,Port control,Air,3-speed,Chain   (final drive),,,Expanding brake (drum brake). Full hub drum brake,Expanding brake (drum brake). Full hub drum brake,114.0 kg (251.3 pounds),12.50 litres (3.30 US gallons),Carburettor. G20 M2A  20 mm,"Single stainless steel pipe, or economy painted exhoust end pipe",98.0 kg (216.1 pounds),0.0816 HP/kg,"Black, Green, Orange, Red, Yellow, Blue or two-collored ex.: red-white",Kick,,5400,Forks,Dragged swinging arm,"Magneto - no baterry required, self powered",Wet three plate,Single steel craddle (pre 1971 double steel craddle,3.00 litres (0.79 US gallons),9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 4200 RPM,150 mm (5.9 inches),60 mm (2.4 inches),140 mm (5.5 inches),"766 mm (30.2 inches) If adjustable, lowest setting.",,,,,,,,,,,,,"Oil  and  petrol mixture 1:30, spark plug Bosch ´225",1000 mm (39.4 inches),2020 mm (79.5 inches),840 mm (33.1 inches),1281 mm (50.4 inches),2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,160 mm (6.3 inches),,45.0,55.0,,,,,
Suzuki DR 250,1983,Trial," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,100.0 km/h (62.1 mph),,,,,Oil & air,,Chain   (final drive),,,Single disc,,,,Carburettor,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 XL,1983,Naked bike," 2.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",349.0 ccm (21.30 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 9600 RPM,,10.3:1,66.0 x 51.0 mm (2.6 x 2.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Dual disc,Single disc,185.0 kg (407.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSB 1340 Low Rider,1983,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5200 RPM,155.0 km/h (96.3 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,289.0 kg (637.1 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KL 250,1983,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,111.0 km/h (69.0 mph),8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,132.0 kg (291.0 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic,1983,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5800 RPM,145.0 km/h (90.1 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MT 90-16 ,MT 90-16 ,Dual disc,Single disc,345.0 kg (760.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TR 6 Thunderbird,1983,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",648.0 ccm (39.54 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),9.0:1,76.0 x 71.5 mm (3.0 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TSX,1983,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,162.0 km/h (100.7 mph),8.0:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,200.0 kg (440.9 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 S 2,1983,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7000 RPM,208.0 km/h (129.2 mph),9.3:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,227.0 kg (500.4 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 650 (reduced effect),1983,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",673.0 ccm (41.07 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7000 RPM,165.0 km/h (102.5 mph),9.8:1,82.5 x 63.0 mm (3.2 x 2.5 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,249.0 kg (549.0 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 200 R,1983,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",195.0 ccm (11.90 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,110.0 km/h (68.4 mph),9.2:1,65.5 x 57.8 mm (2.6 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,114.0 kg (251.3 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
