Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Compression,Valves per cylinder,Fuel control,Fuel consumption,Greenhouse gases,Trail,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Factory warranty,Comments,Top speed,Wheels,Power/weight ratio,Electrical,Exhaust system,Carrying capacity,Seat,Instruments,Emission details,Reserve fuel capacity,Light,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front percentage of weight,Alternate seat height,Max RPM,1/4 mile (0.4 km),Oil filter,Battery
Keeway TX125 Enduro,2012,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,CDI,,Air,5-speed,Chain   (final drive),,,Steel,,,,,,100/80-17 ,130/80-17 ,Single disc,,Single disc,130.0 kg (286.6 pounds),,,,12.00 litres (3.17 US gallons),Orange/gray,Electric & kick,,10.7 HP (7.8  kW)) @ 8500 RPM,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs) @ 7500 RPM,9.0:1,,,,,,,1100 mm (43.3 inches),2085 mm (82.1 inches),775 mm (30.5 inches),,Skid plate. Chinese made bike.,90.0 km/h (55.9 mph),,0.0825 HP/kg,12V 6 Ah battery,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TU250X,2012,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",72.0 x 61.2 mm (2.8 x 2.4 inches),Injection,Electronic,Wet sump,Air,5-speed,Chain   (final drive),,"Chain, DID520V, 108 links",Diamond-shaped steel tube,,"Telescopic, coil spring, oil damped",,"Swingarm type, coil spring, oil damped",,90/90-18 ,110/90-18 ,Single disc,,Expanding brake (drum brake),,"770 mm (30.3 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1375 mm (54.1 inches),12.00 litres (3.17 US gallons),Grey,Electric,,,,9.0:1,2,Overhead Cams (OHC),2.98 litres/100 km (33.6 km/l or 78.93 mpg),69.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,148.0 kg (326.3 pounds),,2070 mm (81.5 inches),750 mm (29.5 inches),12 month unlimited mileage limited warranty.,,,,,,,,,,Muffler with a catalytic converter and O2 feedback system for cleaner exhaust emissions.,,,,,,,,,,,,,,,,,,,,
Yamaha YFZ450,2012,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",95.0 x 63.4 mm (3.7 x 2.5 inches),Carburettor. Mikuni  42mm BSR,DC - CDI,,Liquid,5-speed,Chain   (final drive),Wet multiplate,"2WD; sealed O-ring chain, eccentric adjustment",,,"Independent double wishbone, threaded preload adjustment, 9.1-in travel",,"Cast aluminum swing arm, threaded preload adjustment, 10.6-in travel",,21/7-10 ,20/10-9 ,Double disc. Hydraulic disc,173 mm (6.8 inches),Single disc. Hydraulic Disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",114 mm (4.5 inches),1280 mm (50.4 inches),9.84 litres (2.60 US gallons),"Black Metallic, White w/Custom Graphic)",Electric,Titanium valves,,,11.4:1,,Double Overhead Cams/Twin Cam (DOHC),,,,172.8 kg (381.0 pounds),,1839 mm (72.4 inches),1171 mm (46.1 inches),6 Month (Limited Factory Warranty),,,,,,,,,,,,Dual 30W Krypton multireflector headlights  and  3.9/0.5W LED brakelight,,,,,,,,,,,,,,,,,,
Kawasaki KLX 250S,2012,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",72.0 x 61.2 mm (2.8 x 2.4 inches),Carburettor. Keihin CVK34,,,Liquid,6-speed,Chain   (final drive),,,"Semi-double cradle, high-tensile steel",26.5°,43mm Inverted Cartridge Fork with 16-Way Compression Damping Adjustment / 10.0 in.,,"Uni-Trak  with Adjustable Preload, 16-Way Compression and Rebound Damping Adjustment / 9.1 in.",,80/100-21 ,100/100-18 ,Single disc,200 mm (7.9 inches),Single disc,,"889 mm (35.0 inches) If adjustable, lowest setting.",284 mm (11.2 inches),1430 mm (56.3 inches),7.57 litres (2.00 US gallons),"Lime Green, Red",Electric,,,,11.0:1,4,Double Overhead Cams/Twin Cam (DOHC),,,104 mm (4.1 inches),135.0 kg (297.7 pounds),1204 mm (47.4 inches),2200 mm (86.6 inches),820 mm (32.3 inches),12 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 SX,2012,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1043.0 ccm (63.64 cubic inches),"In-line four, four-stroke",77.0 x 56.0 mm (3.0 x 2.2 inches),Injection. 38 mm x 4 (Keihin) with oval sub-throttles ,Digital ,"Forced lubrication, wet sump",Liquid,6-speed,Chain   (final drive),"Wet mDouble disk, manual",Sealed chain,Aluminium twin-tube ,24.5°,41 mm inverted fork with stepless compression and rebound damping and spring preload adjustability,120 mm (4.7 inches),"Horizontal Back-link, gas-charged, with stepless rebound damping and cam-style spring preload adjustability",138 mm (5.4 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. Optional anti-lock braking,250 mm (9.8 inches),Single disc. Optional anti-lock braking,,"820 mm (32.3 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1445 mm (56.9 inches),19.00 litres (5.02 US gallons),"Green/black, grey/black",Electric,,136.1 HP (99.4  kW)) @ 9600 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 7800 RPM,11.8:1,4,Double Overhead Cams/Twin Cam (DOHC),,,102 mm (4.0 inches),228.0 kg (502.7 pounds),1170 mm (46.1 inches),2105 mm (82.9 inches),790 mm (31.1 inches),,ABS brakes adds 3 kg to the weight.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler Hiker 2.0 125 DD,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,Air,Automatic,Belt   (final drive),,Variomatic,,,Telescopic fork,,Hydraulically dampered strut (adjustable),,130/60-13 ,130/60-13 ,Single disc,180 mm (7.1 inches),Single disc,106.0 kg (233.7 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,1300 mm (51.2 inches),5.50 litres (1.45 US gallons),Silver,Electric & kick,,9.5 HP (6.9  kW)),,,,Overhead Cams (OHC),,,,,1140 mm (44.9 inches),1835 mm (72.2 inches),695 mm (27.4 inches),,From Germany.,88.5 km/h (55.0 mph),,0.0896 HP/kg,,Stainless steel exhaust pipe,Top box,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Vespa GTS 300,2012,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",75.0 x 63.0 mm (3.0 x 2.5 inches),Injection,Electronic by capacitive discharge (CDI),"Wet sump, chain-driven lobe pump",Liquid,Automatic,Belt   (final drive),Automatic dry centrifuge with damper,,Load-bearing sheet steel chassis,,"Single arm, dual-chamber hydraulic shock absorber",,Helical spring with adjustable 4-position pre-load.,,120/70-12 ,130/70-12 ,Single disc,200 mm (7.9 inches),Single disc,158.0 kg (348.3 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,,9.20 litres (2.43 US gallons),"Volcano Black, Gray, Bronze, Midnight Blue, Dragon Red ",Electric,,22.0 HP (16.1  kW)) @ 7750 RPM,22.3 Nm (2.3 kgf-m or 16.4 ft.lbs) @ 5000 RPM,,4,Single Overhead Cams (SOHC),3.51 litres/100 km (28.5 km/l or 67.01 mpg),81.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,730 mm (28.7 inches),2230 mm (87.8 inches),755 mm (29.7 inches),,,128.8 km/h (80.0 mph),,0.1392 HP/kg,,,,,,EPA and CARB,,,,,,,,,,,,,,,,,,,,
Kawasaki Prairie 360 4x4 Realtree APG HD,2012,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,362.0 ccm (22.09 cubic inches),"Single cylinder, four-stroke",80.0 x 72.0 mm (3.1 x 2.8 inches),Carburettor. Keihin CVK34,,,Air,,Shaft drive (cardan)   (final drive),,"Selectable four-wheel drive with Variable Front Differential Control, shaft",Double cradle steel,,MacPherson strut / 6.7 in.,,"Swingarm with single shock, preload adjustment / 7.1 in.",,25/8-12 ,25/10-12 ,Double disc,,Sealed multidisc,,"894 mm (35.2 inches) If adjustable, lowest setting.",236 mm (9.3 inches),1255 mm (49.4 inches),13.63 litres (3.60 US gallons),Realtree  APG  HD  camouflage,Electric,,,,8.3:1,,Single Overhead Cams (SOHC),,,,292.1 kg (643.9 pounds),1146 mm (45.1 inches),2065 mm (81.3 inches),1204 mm (47.4 inches),12 Months,,,,,,,,,,,,30W x 2 halogen,,,,,,,,,,,,,,,,,,
KTM 990 Supermoto T,2012,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",101.0 x 62.4 mm (4.0 x 2.5 inches),Injection. Keihin EFI,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Dry-sump lubrication with 2 rotor pumps,Liquid,6-speed,Chain   (final drive),Wet multi-disc clutch / hydraulically operated,17:41. Primary drive: 35:67.,"Tubular space frame made from chrome molybdenum steel, powder-coated",24.4°,WP Suspension Up Side Down 4860 ROMA PA,160 mm (6.3 inches),WP Suspension 4618 BAVP DCC,180 mm (7.1 inches),120/70-17 ,180/55-ZR17 ,"Double disc. ABS.Four piston fixed-caliper, radial bolted, brake",240 mm (9.4 inches),Single disc. ABS. Two-piston brake caliper; fixed brake disc,198.0 kg (436.5 pounds),"855 mm (33.7 inches) If adjustable, lowest setting.",195 mm (7.7 inches),1505 mm (59.3 inches),19.00 litres (5.02 US gallons),Black/orange,Electric,,114.0 HP (83.2  kW)) @ 4000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 7000 RPM,11.5:1,,Double Overhead Cams/Twin Cam (DOHC),,,109 mm (4.3 inches),,,,,,Also called KTM 990 SM T,,,0.5758 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa GTV 300,2012,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",75.0 x 63.0 mm (3.0 x 2.5 inches),Injection. Port injected Alfa/N type with closed loop lambda,,"Wet sump, chain-driven lobe pump",Air,Automatic,Belt   (final drive),Automatic dry centrifuge with damper,Automatic CVT with torque server,Load-bearing sheet steel chassis,,"Single arm, dual-chamber hydraulic shock absorber",,Helical spring with adjustable 4-position pre-load,,120/70-12 ,130/70-12 ,Single disc,200 mm (7.9 inches),Single disc,148.0 kg (326.3 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,1394 mm (54.9 inches),9.00 litres (2.38 US gallons),"Brown, Green",Electric,,21.2 HP (15.5  kW)) @ 7500 RPM,22.3 Nm (2.3 kgf-m or 16.4 ft.lbs) @ 5000 RPM,,4,Single Overhead Cams (SOHC),3.48 litres/100 km (28.7 km/l or 67.59 mpg),80.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1930 mm (76.0 inches),,,,,,0.1432 HP/kg,,,Front and rear rack,,,EPA and CARB,,,,,,,,,,,,,,,,,,,,
Victory Cross Roads,2012,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1737.1 ccm (106.00 cubic inches),"V2, four-stroke",101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,,,Oil & air,6-speed,Belt   (final drive),"Wet, multi-plate",Carbon Fiber Reinforced Belt. Primary drive: Gear drive with  torque compensator.,,29.0°,"Inverted cartridge telescopic fork, 43 mm diameter, 5.1 in / 130 mm travel",,"Single, mono-tube gas, cast aluminum with constant-rate linkage, 4.7 in / 120 mm travel, air adjustable",,130/70-R18 ,180/60-R16 ,Double disc. ABS,300 mm (11.8 inches),Single disc. ABS,337.9 kg (745.0 pounds),"667 mm (26.3 inches) If adjustable, lowest setting.",147 mm (5.8 inches),1669 mm (65.7 inches),21.95 litres (5.80 US gallons),"Solid Black, Solid Sunset Red",Electric,"50° V-Twin. Self-adjusting cam chains, hydraulic lifters.",97.0 HP (70.8  kW)),147.8 Nm (15.1 kgf-m or 109.0 ft.lbs),9.4:1,4,Single Overhead Cams (SOHC),,,142 mm (5.6 inches),,,2652 mm (104.4 inches),,,,,,0.2870 HP/kg,12 volts / 18 amp hours battery.,Split dual exhaust with crossover,,,,,,,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,
Rhino FLM-001 Hunter S ,2012,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"V2, four-stroke",,Carburettor. Mikuni,CDI,"Pressure Splashed, Rotot Cycloid",Air,5-speed,Chain   (final drive),Wet multidisk,,Softail Single Downtube,38.0°,"41mm Forks, triple tree",,,,200/50-18 ,90/90-21 ,Single disc,,Single disc,190.5 kg (420.0 pounds),"660 mm (26.0 inches) If adjustable, lowest setting.",,1778 mm (70.0 inches),14.38 litres (3.80 US gallons),Midnight Sapphire/silver. Tribal flame design.,,,17.0 HP (12.4  kW)) @ 8000 RPM,,10.0:1,,Single Overhead Cams (SOHC),,,,,,2642 mm (104.0 inches),,,"Triple Tree: 41mm Wide Glide, 5´ Rake Triple Tree, Hidden Fork Stops
Bars, 1´ OD Pullback Risers. ",,Rhino Alloy Wheels,0.0892 HP/kg,,2 OD Double Chopper Custom Exhausts,,,,,,,1.30 litres (1.37 US quarts),,,,,,,,,,,,,,,,,
Aprilia RXV 4.5,2012,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",452.0 ccm (27.58 cubic inches),"V2, four-stroke",,"Injection. Integrated electronic engine management system controlling ignition and fuel injection, with two power mappings. Throttle body: 38 mm.",,Dry sump with external oil tank. Separate gearbox lubrication.,Liquid,5-speed,Chain   (final drive),Cable operated multi-plate wet clutch.,Primary drive: Spur gears. Transmission ratio: 22/56.  Final drive: Chain. Transmission ratio: 15/50 (Z14 sprocket supplied).,Chrome-molybdenum steel perimeter frame with aluminium alloy vertical members. Lightweight rear frame.,27.0°,48 mm upside down fork with two adjustments.,,Aluminium swingarm with cast body and hydroformed members. Hydraulic monoshock with compression and rebound adjustment. ,,90/90-18 ,140/80-21 ,Single disc,240 mm (9.4 inches),Single disc,,"918 mm (36.1 inches) If adjustable, lowest setting.",396 mm (15.6 inches),1495 mm (58.9 inches),7.80 litres (2.06 US gallons),White,Electric,77° V twin. Titanium valves. ,,,,4,Single Overhead Cams (SOHC),,,,,,2222 mm (87.5 inches),800 mm (31.5 inches),,,,Black anodised aluminium alloy. Front: 1.60 x 21” Rear: 2.15 x 18” ,,340 W generator,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Mondial 125 ZNU,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,CDI,,Air,Automatic,Belt   (final drive),,,,,Hydraulic Front Fork,,Single Shock,,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),97.0 kg (213.8 pounds),,,1235 mm (48.6 inches),4.20 litres (1.11 US gallons),"Gray, black",Electric & kick,,,7.0 Nm (0.7 kgf-m or 5.2 ft.lbs) @ 5500 RPM,9.2:1,,Single Overhead Cams (SOHC),,,,,1090 mm (42.9 inches),1891 mm (74.4 inches),872 mm (34.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna Nuda 900R,2012,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",898.0 ccm (54.80 cubic inches),"Twin, four-stroke",84.0 x 84.0 mm (3.3 x 3.3 inches),"Injection. Electronic intake pipe injection / digital engine management, two engine mappings (switchable by customer)",,Dry sump,Liquid,6-speed,Chain   (final drive),"Multiple-disc clutch in oil bath, mechanically operated",,"Tubular steel trellis main frame and rear frame, removable passenger footpegs",24.5°,"Sachs Up Side Down fork, ø 48 mm, rebound and compression damping adjustable, spring preload mechanically adjustable",,"Cast aluminium dual swingarm, cantilever with Öhlins shock absorber, rebound and compression damping adjustable, spring preload mechanically adjustable, length adjustable (10 mm)",,120/70-17 ,180/55-17 ,Single disc. Brembo four-piston radial calipers  with sintered pads,,Single disc. Brembo two piston caliper,174.0 kg (383.6 pounds),"875 mm (34.4 inches) If adjustable, lowest setting.",,1495 mm (58.9 inches),13.00 litres (3.43 US gallons),Red/white,Electric,Modified BMW F 800 R engine,103.3 HP (75.4  kW)) @ 8500 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 7000 RPM,13.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,101 mm (4.0 inches),195.0 kg (429.9 pounds),1225 mm (48.2 inches),2190 mm (86.2 inches),895 mm (35.2 inches),,,,Cast aluminium wheel,0.5934 HP/kg,"14 Ah, maintenance free battery.",,,,,"Closed-loop 3-way catalytic converter, emission standard EU3 Performance",3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,
Ural M70 Solo,2012,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"Two cylinder boxer, four-stroke",78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. 2 Keihin L22 AA,Full electronic C.D.I.,,Air,4-speed,Shaft drive (cardan)   (final drive),"Dry, dual disk",,Double loop steel tubular frame,30.0°,40mm Marzocchi telescopic forks,124 mm (4.9 inches),"Double sided swing-arm with two Sachs hydraulic spring shock absorbers, 5x adjustable",79 mm (3.1 inches),3.50-18 ,3.50-18 ,Single disc,,Expanding brake (drum brake),325.0 kg (716.5 pounds),"495 mm (19.5 inches) If adjustable, lowest setting.",,,19.00 litres (5.02 US gallons),Olive,Electric & kick,,40.0 HP (29.2  kW)) @ 5600 RPM,51.5 Nm (5.3 kgf-m or 38.0 ft.lbs) @ 4000 RPM,,,Overhead Valves (OHV),,,66 mm (2.6 inches),,1020 mm (40.2 inches),2224 mm (87.6 inches),1630 mm (64.2 inches),"2-years parts  and  labor, unlimited mileage","Limited edition of 10 bikes. Made by Irbit Motorcycle Works (IMZ), Irbit, 250 km east of the Ural mountains in Siberia, Russia.",90.0 km/h (55.9 mph),"Front, rear, and sidecar 18in.",0.1231 HP/kg,"FAYTX20HL 12V, 20Amp/h battery. Denso, 55 Amp, 770 W alternator.",,,,,,3.03 litres (0.80 US gallons),,,,,,,,,,,,,,,,,,,
Victory High Ball,2012,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1737.1 ccm (106.00 cubic inches),"V2, four-stroke",101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,,,Oil & air,6-speed,Belt   (final drive),"Wet, multi-plate",Carbon Fiber Reinforced Belt. Primary drive: Gear drive with  torque compensator.,,31.7°,"Conventional telescopic fork, 43 mm diameter, 5.1 in / 130 mm travel",,"Single, mono-tube gas, cast aluminum with rising rate linkage, 3.0 in / 75 mm travel, preload adjustable spring",,130/90-H16 ,150/80-H16 ,Double disc. Floating rotor with 4-piston calipers,300 mm (11.8 inches),Single disc. Floating rotor with 2-piston caliper,298.9 kg (659.0 pounds),"635 mm (25.0 inches) If adjustable, lowest setting.",119 mm (4.7 inches),1646 mm (64.8 inches),17.03 litres (4.50 US gallons),Suede Black w/graphics,Electric,"50° V-Twin. Self-adjusting cam chains, hydraulic lifters.",97.0 HP (70.8  kW)),153.2 Nm (15.6 kgf-m or 113.0 ft.lbs),9.4:1,4,Single Overhead Cams (SOHC),,,,,,2350 mm (92.5 inches),,,,,Old-school lace design with white sidewalls,0.3245 HP/kg,12 volts / 18 amp hours battery.,Staggered slash-cut dual exhaust with crossover,,,,,,,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,
Yamaha Raptor 700R,2012,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,686.0 ccm (41.86 cubic inches),"Single cylinder, four-stroke",102.0 x 84.0 mm (4.0 x 3.3 inches),"Injection. Yamaha Fuel Injection (YFI) , 44mm",16-Bit ECU,,Liquid,5-speed,Chain   (final drive),,"2WD; sealed O-ring chain, eccentric adjustment",,,"Independent double wishbone w/piggy back High-/Lo-speed compression, rebound and threaded preload adjustment, 9.1-in travel",,"Cast aluminum swing arm w/rebound, High-/Lo-speed compression and threaded preload adjustment, 10.1-in travel",,21/7-10 ,20/10-9 ,Double disc,,Single disc,,"813 mm (32.0 inches) If adjustable, lowest setting.",112 mm (4.4 inches),1280 mm (50.4 inches),10.98 litres (2.90 US gallons),"Team Yamaha Blue/White, White w/Custom Graphics",Electric,,,,9.2:1,4,Single Overhead Cams (SOHC),,,,191.4 kg (422.0 pounds),1130 mm (44.5 inches),1844 mm (72.6 inches),1171 mm (46.1 inches),6 Month (Limited Factory Warranty),,,,,,,,,,,,Dual 30W Krypton multireflector headlights  and  3.9/0.5W LED brakelight,,,,,,,,,,,,,,,,,,
Sym Symphony SR 125,2012,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,Air,Automatic,Belt   (final drive),Auto centrifugal type,CVT,,,Telescopic fork,,Unit swing,,110/70-16 ,110/70-16 ,Single disc,226 mm (8.9 inches),Single disc,100.0 kg (220.5 pounds),,,1300 mm (51.2 inches),5.50 litres (1.45 US gallons),"White, Black, Red, Gray, Silver",Electric,,,,,,Single Overhead Cams (SOHC),,,,,1125 mm (44.3 inches),2000 mm (78.7 inches),690 mm (27.2 inches),,Made in Taiwan.,,,,,,,,,,,35/35W headlights,,,,,,,,,,,,,,,,,,
Benelli QattronoveX 50,2012,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,,Automatic oil injection,Air,Automatic,Belt   (final drive),Automatic centrifugal dry clutch,,Split single cradle frame in high tensile strength steel tube,,Hydraulic telescopic fork,,Floating engine with hydraulic rear dumper – 5 positions spring preload adjustments,,120/70-12 ,130/70-12 ,Single disc,180 mm (7.1 inches),Single disc,95.0 kg (209.4 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",,1275 mm (50.2 inches),6.00 litres (1.59 US gallons),"Black, red/black, black/white",Electric & kick,,,,7.0:1,,,,,,100.0 kg (220.5 pounds),,1780 mm (70.1 inches),710 mm (28.0 inches),,,,,,,With catalytic converter,,,,Euro 2,1.50 litres (0.40 US gallons),,,,,,,,,,,,,,,,,,,
Kymco People GT 200i,2012,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,205.0 ccm (12.51 cubic inches),"Single cylinder, four-stroke",66.0 x 66.0 mm (2.6 x 2.6 inches),Injection,Electric,,Liquid,Automatic,,,,Steel,,Telescopic forks,,Adjustable shocks,,110/70-16 ,140/70-16 ,Single disc,,Single disc,165.1 kg (364.0 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,1450 mm (57.1 inches),9.08 litres (2.40 US gallons),"Black, Silver",Electric,,,,,4,Single Overhead Cams (SOHC),,,,,,,,,,,Alloy wheels,,,,,,,,,,,,,,,,,,,,,,,,,,,
