Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Fuel system,Starter,Torque,Ignition,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Wheelbase,Color options,Max RPM,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Lubrication system,Frame type,Reserve fuel capacity,1/4 mile (0.4 km),Diameter,Ground clearance,0-100 km/h (0-62 mph),Oil capacity,Rake (fork angle),Trail,Comments,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Coolant,Chain size
Harley-Davidson XLH Sportster 883 De Luxe,1991,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MJ90-19 ,MT90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),149.0 km/h (92.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,1991,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 7500 RPM,9.0:1,81.0 x 72.0 mm (3.2 x 2.8 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/90-17 ,Dual disc,Single disc,237.0 kg (522.5 pounds),24.00 litres (6.34 US gallons),170.0 km/h (105.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 610 TE,1991,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,10.2:1,98.0 x 76.5 mm (3.9 x 3.0 inches),4,Overhead Cams (OHC),Liquid,6-speed,Chain   (final drive),90/90-21 ,140/90-18 ,Single disc,Single disc,132.0 kg (291.0 pounds),9.00 litres (2.38 US gallons),148.0 km/h (92.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 RT,1991,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,258.0 kg (568.8 pounds),21.00 litres (5.55 US gallons),174.0 km/h (108.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Elefant 900 i.e.,1991,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",72.0 HP (52.6  kW)) @ 8000 RPM,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-19 ,140/80-17 ,Single disc,Single disc,225.0 kg (496.0 pounds),24.00 litres (6.34 US gallons),182.0 km/h (113.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California III C,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6500 RPM,9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Dual disc,Single disc,263.0 kg (579.8 pounds),26.00 litres (6.87 US gallons),172.0 km/h (106.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki LS 650 Savage,1991,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5200 RPM,8.5:1,94.0 x 94.0 mm (3.7 x 3.7 inches),4,Overhead Cams (OHC),Air,4-speed,Belt   (final drive),100/90-19 ,140/80-15 ,Single disc,Expanding brake,171.0 kg (377.0 pounds),11.00 litres (2.91 US gallons),127.0 km/h (78.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLST 1340 Heritage Softail,1991,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT 90-16 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 K (reduced effect),1991,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,177.0 kg (390.2 pounds),13.00 litres (3.43 US gallons),133.0 km/h (82.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXST 1340 Softail,1991,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-19 ,MT 90-16 ,Single disc,Single disc,290.0 kg (639.3 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 907 i.e.,1991,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 8500 RPM,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Desmodromic valve control,Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,230.0 kg (507.1 pounds),18.00 litres (4.76 US gallons),212.0 km/h (131.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATK 604 MX,1991,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)),9.8:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),80/100-21 ,120/90-18 ,Single disc. 2-piston calipers,Single disc. Disk mounted on front-sprocket . 1 piston caliper,,17.41 litres (4.60 US gallons),,Carburettor. Mikuni TM 38 Flat Slide,Electric & kick,,CDI - Electric Advancing System,WP Adjustable USD,300 mm (11.8 inches),WP Multi-Adjuster Shock (Linkless),330 mm (13.0 inches),"950 mm (37.4 inches) If adjustable, lowest setting.",1473 mm (58.0 inches),White,,Wet plate,,,Supertrapp -Stainless-Steel,122.9 kg (271.0 pounds),0.3254 HP/kg,,1473 mm (58.0 inches),860 mm (33.9 inches),Dry Sump System,Nickel-Plated-Heat-Treated-Chromoly,,,140 mm (5.5 inches),343 mm (13.5 inches),,2.30 litres (2.43 US quarts),,,,,,,,,,,,,,,,,,,
Honda NTV 650 Revere (reduced effect #2),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,647.0 ccm (39.48 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,9.2:1,79.0 x 66.0 mm (3.1 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-17 ,150/70-17 ,Single disc,Single disc,208.0 kg (458.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 Intruder,1991,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 4800 RPM,9.3:1,94.0 x 98.0 mm (3.7 x 3.9 inches),3,Overhead Cams (OHC),Air,4-speed,Shaft drive (cardan)   (final drive),110/90-19 ,170/80-15 ,Single disc,Single disc,260.0 kg (573.2 pounds),13.00 litres (3.43 US gallons),167.0 km/h (103.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Springer Softail,1991,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,292.0 kg (643.7 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 SS,1991,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7750 RPM,9.0:1,88.0 x 61.5 mm (3.5 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Single disc,Single disc,191.0 kg (421.1 pounds),17.00 litres (4.49 US gallons),208.0 km/h (129.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 600 LC 4,1991,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,10.0:1,95.0 x 78.0 mm (3.7 x 3.1 inches),4,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),3.00-21 ,140/80-18 ,Single disc,Single disc,134.0 kg (295.4 pounds),9.00 litres (2.38 US gallons),162.0 km/h (100.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta ALP 240,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 5800 RPM,10.0:1,72.8 x 57.5 mm (2.9 x 2.3 inches),,Membrane,Air,6-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Single disc,Single disc,86.0 kg (189.6 pounds),5.50 litres (1.45 US gallons),85.0 km/h (52.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),22.00 litres (5.81 US gallons),145.0 km/h (90.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 125 VC,1991,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 7500 RPM,14.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),3.00-21 ,120/90-18 ,Single disc,Single disc,113.0 kg (249.1 pounds),8.00 litres (2.11 US gallons),105.0 km/h (65.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 F (reduced effect),1991,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10200 RPM,10.9:1,73.0 x 44.7 mm (2.9 x 1.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,150/70-17 ,Dual disc,Single disc,231.0 kg (509.3 pounds),20.00 litres (5.28 US gallons),227.0 km/h (141.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 550,1991,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/70-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),15.00 litres (3.96 US gallons),173.0 km/h (107.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1500-6 Gold Wing,1991,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5200 RPM,9.8:1,71.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Cams (OHC),Liquid,5-speed with reverse,Shaft drive (cardan)   (final drive),130/70-18 ,160/80-16 ,Dual disc,Single disc,387.0 kg (853.2 pounds),23.00 litres (6.08 US gallons),184.0 km/h (114.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZR 125,1991,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,,,,,Liquid,6-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,Wet Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia F1 Sport Pro Replica,1991,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,,2,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),,,Single disc,Single disc,,,,Carburettor. Dell´Ortho,Electric,,,,,,,,,,,,,,,150.0 kg (330.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 F,1991,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,9.6:1,68.5 x 60.5 mm (2.7 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),22.00 litres (5.81 US gallons),221.0 km/h (137.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 S,1991,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6200 RPM,9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,167.0 kg (368.2 pounds),14.00 litres (3.70 US gallons),134.0 km/h (83.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500,1991,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,198.0 kg (436.5 pounds),15.00 litres (3.96 US gallons),165.0 km/h (102.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 T,1991,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6200 RPM,9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,167.0 kg (368.2 pounds),14.00 litres (3.70 US gallons),134.0 km/h (83.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GS 360,1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,355.0 ccm (21.66 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,14.1:1,80.2 x 70.4 mm (3.2 x 2.8 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3.00-21 ,130/80-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 900 R,1991,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",115.0 HP (83.9  kW)) @ 9500 RPM,11.0:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 Z Ténéré,1991,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Single disc,186.0 kg (410.1 pounds),23.00 litres (6.08 US gallons),148.0 km/h (92.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 550 (reduced effect),1991,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/70-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),15.00 litres (3.96 US gallons),137.0 km/h (85.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 TS (with sidecar),1991,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,10.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,223.0 kg (491.6 pounds),17.00 litres (4.49 US gallons),100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 750 R,1991,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",121.0 HP (88.3  kW)) @ 10500 RPM,11.5:1,71.0 x 47.3 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Dual disc,Single disc,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 F,1991,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,10.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Double disc,Single disc,254.0 kg (560.0 pounds),21.00 litres (5.55 US gallons),,Carburettor. Keihin,Electric,,,"Telescopic fokr, air assisted.",,"Pro-link monoshock, 6-way preload.",,"780 mm (30.7 inches) If adjustable, lowest setting.",,"Red/white, red/black ",,,,,,235.0 kg (518.1 pounds),0.4255 HP/kg,1215 mm (47.8 inches),2235 mm (88.0 inches),740 mm (29.1 inches),,,,,276 mm (10.9 inches),,,3.80 litres (4.02 US quarts),,,,Honda GN4 10W-40,DOT 4,"NGK DPR9EA-9, NGK DPR9EIX-9",1000  +/- 100  RPM,120,17/42 (front/rear),36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),41 mm (1.6 inches),,YB14L-B2,,,,3.00 litres (0.79 US gallons),530
Suzuki DR 125,1991,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9600 RPM,9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),80/80-21 ,100/80-18 ,Single disc,Expanding brake,125.0 kg (275.6 pounds),13.50 litres (3.57 US gallons),102.0 km/h (63.4 mph),Carburettor. Mikuni,Kick,,,,,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1390 mm (54.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,1991,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,277.0 kg (610.7 pounds),22.00 litres (5.81 US gallons),225.0 km/h (139.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SS Super Sport,1991,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 7000 RPM,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Desmodromic valve control,Air,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,198.0 kg (436.5 pounds),17.50 litres (4.62 US gallons),213.0 km/h (132.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 400 R,1991,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"V4, four-stroke",61.0 HP (44.5  kW)) @ 12500 RPM,11.3:1,55.0 x 42.0 mm (2.2 x 1.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/60-17 ,150/60-18 ,Dual disc,Single disc,193.0 kg (425.5 pounds),15.00 litres (3.96 US gallons),205.0 km/h (127.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRT 1340 Sport Glide,1991,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MM 90-19 ,MT 90-16 ,Dual disc,Single disc,310.0 kg (683.4 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 750 (reduced effect),1991,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/70-17 ,Dual disc,Single disc,220.0 kg (485.0 pounds),17.00 litres (4.49 US gallons),170.0 km/h (105.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
