Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Alternate seat height,Starter,Max RPM,Fuel consumption,Greenhouse gases,Fuel capacity,Compression,Fuel control,0-100 km/h (0-62 mph),Bore x stroke,Fuel system,Front tire,Rear tire,Wheelbase,Reserve fuel capacity,Color options,Comments,Ignition,Driveline,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Wheels,"Weight incl. oil, gas, etc",Oil filter,Battery,Spark plugs,Belt teeth,Belt width,Lubrication system,Clutch,Frame type,1/4 mile (0.4 km),Ground clearance,Exhaust system,Oil capacity,Engine oil,Brake fluid,Coolant,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Electrical,Overall height,Overall width,Carrying capacity
Bajaj 125 Classic,1998,Scooter," 2.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",7.0 HP (5.1  kW)) @ 5800 RPM,,85.0 km/h (52.8 mph),,Air,4-speed,,,,94.0 kg (207.2 pounds),0.0745 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Sting 125,1998,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 7500 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6800 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,124.0 kg (273.4 pounds),0.1129 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 650 Ghost Legend,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6500 RPM,190.0 km/h (118.1 mph),4,Air,6-speed,Chain   (final drive),Dual disc,,185.0 kg (407.9 pounds),0.3784 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Leonardo 125,1998,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 8800 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs),,,Air,,,,,130.0 kg (286.6 pounds),0.0923 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Cruiser,1998,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 10750 RPM,16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 6000 RPM,,,,6-speed,,Single disc,,107.0 kg (235.9 pounds),0.0935 HP/kg,"732 mm (28.8 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Fun 300,1998,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",291.0 ccm (17.76 cubic inches),"Single cylinder, two-stroke",32.0 HP (23.4  kW)) @ 5500 RPM,29.5 Nm (3.0 kgf-m or 21.8 ft.lbs) @ 5200 RPM,,,Air,5-speed,,Single disc,Expanding brake,129.0 kg (284.4 pounds),0.2481 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italjet Formula 125,1998,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)),,,,,,,Single disc,Single disc,100.0 kg (220.5 pounds),0.1500 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1200 Sportster,1998,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 5200 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 3900 RPM,160.0 km/h (99.4 mph),2,Air,5-speed,Belt   (final drive),Single disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,223.0 kg (491.6 pounds),0.2646 HP/kg,"736 mm (29.0 inches) If adjustable, lowest setting.",,Electric,,5.88 litres/100 km (17.0 km/l or 40.00 mpg),136.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,12.50 litres (3.30 US gallons),9.0:1,Overhead Valves (OHV),,88.8 x 96.8 mm (3.5 x 3.8 inches),Carburettor,80/90-19 ,130/90-16 ,,,,,Digital,,,,"39mm Telescopic Showa forks, preload , compression and rebound adjustable.",,"Dual Showa shocks, preload , compression and rebound adjustable.",,292 mm (11.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 250,1998,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,130.0 kg (286.6 pounds),,"695 mm (27.4 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 A Royal Star,1998,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",74.0 HP (54.0  kW)) @ 5000 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3500 RPM,180.0 km/h (111.8 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,305.0 kg (672.4 pounds),0.2426 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Mito 125,1998,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 10400 RPM,12.5 Nm (1.3 kgf-m or 9.2 ft.lbs) @ 7750 RPM,,,Liquid,7-speed,Chain   (final drive),Single disc,Single disc,129.0 kg (284.4 pounds),0.1163 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,1998,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 9800 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 8500 RPM,195.0 km/h (121.2 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,176.0 kg (388.0 pounds),0.3409 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 SE,1998,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",29.0 HP (21.2  kW)) @ 7600 RPM,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 6200 RPM,,,Air,6-speed,Chain   (final drive),Single disc,Single disc,130.0 kg (286.6 pounds),0.2231 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 F,1998,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",92.0 HP (67.2  kW)) @ 10500 RPM,64.7 Nm (6.6 kgf-m or 47.7 ft.lbs) @ 9500 RPM,220.0 km/h (136.7 mph),4,Air,6-speed,Chain   (final drive),Dual disc,Single disc,200.0 kg (440.9 pounds),0.4600 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Sport 1100 Injection,1998,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 6000 RPM,230.0 km/h (142.9 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),,,221.0 kg (487.2 pounds),0.4072 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 50,1998,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,,,Liquid,6-speed,,Single disc,Single disc,90.5 kg (199.5 pounds),,,,,,,,12.20 litres (3.22 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Fat Boy,1998,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,,284.0 kg (626.1 pounds),0.1972 HP/kg,"654 mm (25.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs ZX 125,1998,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7750 RPM,14.0 Nm (1.4 kgf-m or 10.3 ft.lbs),,,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,108.0 kg (238.1 pounds),0.1389 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota YB11,1998,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",148.0 HP (108.0  kW)) @ 10200 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,275.0 km/h (170.9 mph),5,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,197.0 kg (434.3 pounds),0.7513 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 85,1998,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",85.0 ccm (5.19 cubic inches),"In-line four, four-stroke",,,,,Oil & air,,Chain   (final drive),,,,,,,,,,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,fmf,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Super Glide,1998,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 2350 RPM,165.0 km/h (102.5 mph),2,Air,5-speed,Belt   (final drive),Single disc,,271.0 kg (597.5 pounds),0.2066 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 Monster,1998,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 7500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6500 RPM,185.0 km/h (115.0 mph),2,Air,5-speed,Chain   (final drive),Dual disc,Single disc,178.0 kg (392.4 pounds),0.3483 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 400 EGS-E,1998,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)),,150.0 km/h (93.2 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,132.0 kg (291.0 pounds),0.3182 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 400 E,1998,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 9000 RPM,,,,,6-speed,Chain   (final drive),Single disc,Single disc,109.0 kg (240.3 pounds),0.3761 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 1100 California EV,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",78.0 HP (56.9  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,180.0 km/h (111.8 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,254.0 kg (560.0 pounds),0.3071 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Road King Classic,1998,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 5000 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 3000 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),Dual disc,,314.0 kg (692.3 pounds),0.1911 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Ippogrifo V7,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6200 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3200 RPM,,2,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,,182.0 kg (401.2 pounds),0.2637 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 S Bandit,1998,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),205.0 km/h (127.4 mph),4,Air,6-speed,Chain   (final drive),Dual disc,Single disc,198.0 kg (436.5 pounds),0.3939 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T509 Speed Triple,1998,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",105.0 HP (76.6  kW)) @ 9300 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 7600 RPM,225.0 km/h (139.8 mph),3,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,196.0 kg (432.1 pounds),0.5357 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 125,1998,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 8500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,,109.0 kg (240.3 pounds),0.1101 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CG 125,1998,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,,,Air,5-speed,Chain   (final drive),,,107.0 kg (235.9 pounds),0.1028 HP/kg,"771 mm (30.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XC 125 TR Cygnus,1998,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 7500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 6000 RPM,,,Air,,,Single disc,,103.0 kg (227.1 pounds),0.0874 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 Drag Star,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",40.0 HP (29.2  kW)) @ 6500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 3000 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,,214.0 kg (471.8 pounds),0.1869 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan-European ABS,1998,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 6000 RPM,220.0 km/h (136.7 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,,287.0 kg (632.7 pounds),0.3484 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 610 Enduro,1998,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",,,,,,6-speed,Chain   (final drive),Single disc,Single disc,117.0 kg (257.9 pounds),,"885 mm (34.8 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 800 GL,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,,,,Liquid,5-speed,,Single disc,,204.0 kg (449.7 pounds),0.2941 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 S Carenéé,1998,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"Twin, four-stroke",85.0 HP (62.0  kW)) @ 9200 RPM,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 7200 RPM,200.0 km/h (124.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,,185.0 kg (407.9 pounds),0.4595 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 250,1998,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, two-stroke",69.0 HP (50.4  kW)) @ 11800 RPM,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 10750 RPM,205.0 km/h (127.4 mph),,Liquid,6-speed,Chain   (final drive),Double disc,Single disc,141.0 kg (310.9 pounds),0.4894 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,56.0 x 50.6 mm (2.2 x 2.0 inches),Carburettor. Mikuni,120/60-17 ,150/60-17 ,1370 mm (53.9 inches),,,,,,,,Inverted fork,,Monoshock,,296 mm (11.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 SPS,1998,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",104.0 HP (75.9  kW)) @ 11000 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 8500 RPM,245.0 km/h (152.2 mph),4,,6-speed,Chain   (final drive),Dual disc,Single disc,194.0 kg (427.7 pounds),0.5361 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NT 650 V Deauville,1998,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 8000 RPM,55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 6000 RPM,,3,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,223.0 kg (491.6 pounds),0.2511 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 600 R Thundercat,1998,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 9500 RPM,255.0 km/h (158.4 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,187.0 kg (412.3 pounds),0.5348 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet,1998,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5220 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 3000 RPM,,,Air,4-speed,Chain   (final drive),,,168.0 kg (370.4 pounds),0.1310 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota YB9 SR,1998,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 12500 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 10000 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,173.0 kg (381.4 pounds),0.5780 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1100 Virago,1998,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 6000 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 3000 RPM,180.0 km/h (111.8 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,222.0 kg (489.4 pounds),0.2793 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Classic 125,1998,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 4500 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,,145.0 kg (319.7 pounds),0.0759 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
