Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Instruments,Comments,Driveline,Carrying capacity,Wheels,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,"Weight incl. oil, gas, etc",Oil capacity,Light,Top speed,Emission details,Factory warranty,Reserve fuel capacity,Seat,Electrical,0-100 km/h (0-62 mph),Alternate seat height,Max RPM,Modifications compared to previous model,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Engine oil,Chain size,1/4 mile (0.4 km),Chain links,Sprockets
Arctic Cat 450,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,443.0 ccm (27.03 cubic inches),"Single cylinder, four-stroke",,,,89.0 x 71.2 mm (3.5 x 2.8 inches),,Injection,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,,Double A-Arm,,Double A-Arm,,25/8-12 ,25/10-12 ,Single disc. Hydraulic. ,,Single disc. Hydraulic. ,299.4 kg (660.0 pounds),,,1219 mm (48.0 inches),2154 mm (84.8 inches),1207 mm (47.5 inches),279 mm (11.0 inches),1270 mm (50.0 inches),21.57 litres (5.70 US gallons),"Olive, red",Electric,Digital/analog,"Powder-Coated Steel Wheels, Rear 2-Inch Receiver, Kenda Pathfinder Tires.","2/4 WD Electric . Automatic CVT with EBS, Hi/Lo Range  and  Reverse",Front and Rear Steel Racks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway RKV 150,2014,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, four-stroke",11.9 HP (8.7  kW)) @ 8000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6000 RPM,9.2:1,57.0 x 58.0 mm (2.2 x 2.3 inches),2,Carburettor,Single Overhead Cams (SOHC),,Pressure splash,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",Straddle type,Telescopic forks,111 mm (4.4 inches),Telescopic coil spring oil damped,60 mm (2.4 inches),100/80-17 ,130/70-17 ,Single disc,240 mm (9.4 inches),Single disc,123.0 kg (271.2 pounds),0.0971 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1060 mm (41.7 inches),2090 mm (82.3 inches),830 mm (32.7 inches),190 mm (7.5 inches),1330 mm (52.4 inches),17.00 litres (4.49 US gallons),Black,Electric,Analogue/digital,"Keeway is the American and European brand name of Qianjiang, China.",,,,,,,,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KVF650 4x4,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,633.0 ccm (38.63 cubic inches),"V2, four-stroke",46.5 HP (34.0  kW)) @ 7500 RPM,51.4 Nm (5.2 kgf-m or 37.9 ft.lbs) @ 5250 RPM,9.9:1,80.0 x 63.0 mm (3.1 x 2.5 inches),4,"Carburettor. Keihin CVKR-34, 2 carburetors",,Digital DC-CDI,,Liquid,,Shaft drive (cardan)   (final drive),,Double tubular,MacPherson strut,,Independent,,25/8-12 ,25/10-12 ,Double disc. Two-piston calipers. ,200 mm (7.9 inches),Sealed multidisc,273.0 kg (601.9 pounds),0.1704 HP/kg,,1235 mm (48.6 inches),2195 mm (86.4 inches),1165 mm (45.9 inches),245 mm (9.6 inches),1285 mm (50.6 inches),20.50 litres (5.42 US gallons),Black,Electric,,,"2WD/4WD, shaft",Front and rear rack,,Reed valve. ,,,,,,298.0 kg (657.0 pounds),,,,,,,,Starting battery.,,,,,,,,,,,,,,,,,,,,,
BMW F 800 GT,2014,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",798.0 ccm (48.69 cubic inches),"Twin, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 5800 RPM,12.0:1,82.0 x 75.6 mm (3.2 x 3.0 inches),4,"Injection. Electronic intake pipe injection, digital engine management (BMS-K+)",Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Liquid,6-speed,Belt   (final drive),"Multiple-disc clutch in oil bath, mechanically operated","Bridge-type frame, cast aluminium, load-bearing engine","Telescopic fork, 43 mm",125 mm (4.9 inches),"Cast aluminium single sided swing arm with eccentric adjustment for rear axle, central spring strut, spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",125 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Floating discs. Four-piston calipers. ,265 mm (10.4 inches),Single disc. Floating disc. Single-piston caliper. ,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1248 mm (49.1 inches),2156 mm (84.9 inches),902 mm (35.5 inches),,1514 mm (59.6 inches),15.00 litres (3.96 US gallons),"Orange, white, grey",Electric,,,Belt drive with shock damper,,Cast aluminium wheels,,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Complete Stainless Steel Exhaust System,25.8°,95 mm (3.7 inches),213.0 kg (469.6 pounds),,,,"Closed-loop 3-way catalytic converter, emission standard EU-3",,3.00 litres (0.79 US gallons),,"12 V / 12 Ah, maintenance-free battery.",,,,,,,,,,,,,,,,,,,,,
Honda CRF250L,2014,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.6 ccm (15.23 cubic inches),"Single cylinder, four-stroke",22.8 HP (16.6  kW)) @ 8500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 7000 RPM,10.7:1,76.0 x 55.0 mm (3.0 x 2.2 inches),,"Injection. PGM-FI, 36mm throttle body",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with electronic advance,,Liquid,6-speed,Chain   (final drive),Wet multiplate with coil springs,,43mm inverted fork,61 mm (2.4 inches),Pro-Link® single shock with spring; 9.4 inches travel,61 mm (2.4 inches),3.00-21 ,120/80-18 ,Double disc. Two-piston calipers. ,220 mm (8.7 inches),Single disc,,,"881 mm (34.7 inches) If adjustable, lowest setting.",1195 mm (47.0 inches),2195 mm (86.4 inches),815 mm (32.1 inches),254 mm (10.0 inches),1445 mm (56.9 inches),7.57 litres (2.00 US gallons),Red,Electric,,Model ID: CRF250L,#520 chain; 14T/40T,,,,3.22 litres/100 km (31.1 km/l or 73.05 mpg),74.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,27.0°,113 mm (4.4 inches),145.2 kg (320.0 pounds),1.80 litres (1.9 US quarts),,,,One year. Unlimited milage. Transferable.,,,12V 6Ah (10HR) battery.,,,,,,,,,,,,,,,,,,,,,
Honda CB500X,2014,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",471.0 ccm (28.74 cubic inches),"Twin, four-stroke",46.9 HP (34.3  kW)) @ 8500 RPM,43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 7000 RPM,10.7:1,67.0 x 66.8 mm (2.6 x 2.6 inches),4,Injection. PGM-FI with 34mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with electronic advance,,Liquid,6-speed,Chain   (final drive),Wet multiplate,,41mm fork,140 mm (5.5 inches),Pro-Link single shock with nine-position spring preload adjustability,119 mm (4.7 inches),120/70-17 ,160/60-17 ,Double disc. Wave disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Wave disc. ,178.0 kg (392.4 pounds),0.2637 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1262 mm (49.7 inches),2096 mm (82.5 inches),822 mm (32.4 inches),165 mm (6.5 inches),1421 mm (55.9 inches),17.30 litres (4.57 US gallons),Pearl White,,"Digital Speedometer, Digital Bar Graph Tachometer, Dual Trip Meters, Digital Fuel Level Gauge  and  Fuel Consumption Gauge, Digital Clock",Model ID: CB500X,O-ring-sealed chain,,,,,,,26.5°,109 mm (4.3 inches),195.0 kg (430.0 pounds),3.20 litres (3.38 US quarts),,,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Maxsym 600i ABS,2014,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",598.0 ccm (36.49 cubic inches),"Single cylinder, four-stroke",,,,,4,Injection. EFI,,,,Liquid,,,,,"Telescopic Fork, 41mm",,Unit Swing with 5-way preload,,120/70-15 ,160/60-14 ,Double disc. ABS,275 mm (10.8 inches),Single disc. ABS,228.0 kg (502.7 pounds),,,1400 mm (55.1 inches),2700 mm (106.3 inches),805 mm (31.7 inches),,1570 mm (61.8 inches),15.00 litres (3.96 US gallons),White,Electric,Digital/analogue,Windscreen. Made in Taiwan.,,,,Electroplated ceramic cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym GTS Joymax 125i evo,2014,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 9000 RPM,11.1 Nm (1.1 kgf-m or 8.2 ft.lbs) @ 7500 RPM,,,4,Injection. EFI ,Overhead Cams (OHC),,,Liquid,Automatic,Belt   (final drive),,"Steel, pipe underbone",Telescopic fork,,Unit Swing Arm With 5-way Preload,,100/80-12 ,130/70-12 ,Single disc,220 mm (8.7 inches),Single disc,167.0 kg (368.2 pounds),0.0775 HP/kg,,1395 mm (54.9 inches),2165 mm (85.2 inches),755 mm (29.7 inches),,1495 mm (58.9 inches),12.00 litres (3.17 US gallons),"White, silver, gray, dark grey, black",Electric & kick,,Made in Taiwan,CVT,,Aluminium,Electroplated ceramic cylinder,,,,,,,,12V 55W / 60W headlights,,Euro 3,,,,,,,,,,,,,,,,,,,,,,,,,
Polaris Scrambler XP 850,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,850.0 ccm (51.87 cubic inches),"Twin, four-stroke",,,,,,Injection. EFI,Single Overhead Cams (SOHC),,,Liquid,Automatic,Shaft drive (cardan)   (final drive),,,Dual A-Arm 9 in (22.9 cm) Travel,,"Dual A-Arm, Rolled 10.25 in (26 cm) Travel",,26/8-14 ,26/10-14 ,Single disc,,Single disc,338.0 kg (745.2 pounds),,"940 mm (37.0 inches) If adjustable, lowest setting.",,2090 mm (82.3 inches),,305 mm (12.0 inches),1346 mm (53.0 inches),19.87 litres (5.25 US gallons),"Red, blue",Electric,,On-Demand True AWD/2WD. Optional EPS.,Automatic PVT P/R/N/L/H; Shaft,,Matte Black 8 spoke Cast Aluminum. Maxxis tires.,HO (high ouput) engine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1100,2014,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1140.0 ccm (69.56 cubic inches),"In-line four, four-stroke",88.5 HP (64.6  kW)) @ 7500 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 5000 RPM,9.5:1,73.5 x 67.2 mm (2.9 x 2.6 inches),,Injection. PGM-FI electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Digital transistorized with electronic advance,Wet sump,Oil & air,6-speed,Chain   (final drive),Multi-plate wet clutch,Type Double steel cradle,41mm fork with spring preload adjustability,106 mm (4.2 inches),Dual shocks with spring preload adjustability,114 mm (4.5 inches),110/80-18 ,140/70-18 ,Double disc. Floating discs. Four-piston calipers. ,256 mm (10.1 inches),Single disc. Single-piston.,247.0 kg (544.5 pounds),0.3583 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,2195 mm (86.4 inches),,125 mm (4.9 inches),1490 mm (58.7 inches),14.60 litres (3.86 US gallons),,Electric,"Fuel gauge, instant fuel consumption, remaining range, clock, new gear position indicator.",Model ID: CB1100,,,,,5.41 litres/100 km (18.5 km/l or 43.48 mpg),125.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,27.0°,114 mm (4.5 inches),247.0 kg (544.5 pounds),4.90 litres (5.18 US quarts),,,Meets current EPA standards. California version meets current CARB standards and may differ slightly due to emissions equipment.,One year. Unlimited milage. Transferable.,3.50 litres (0.92 US gallons),,YTZ14S WET 12V-11.2Ah battery.,,,,,,DOT 4,,,NGK LMAR8A-95 ,,,,,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),41 mm (1.6 inches),SAE 10W-30,,,,
KTM 200 XC-W,2014,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",193.0 ccm (11.78 cubic inches),"Single cylinder, two-stroke",,,,64.0 x 60.0 mm (2.5 x 2.4 inches),,,,"Contactless controlled fully electronic ignition with digital ignition adjustment, type Kokusan",,Liquid,6-speed,Chain   (final drive),Multidisc clutch in oil bath/hydraulically activated,Central tube frame made of chrome molybdenum steel tubing,WP  Suspension Up Side Down 4860 MXMA PA,300 mm (11.8 inches),WP  Suspension PDS 5018 DCC,335 mm (13.2 inches),,,Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,99.5 kg (219.4 pounds),,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,355 mm (14.0 inches),1471 mm (57.9 inches),10.00 litres (2.64 US gallons),Orange/black,Electric & kick,,,5/8 x 1/4,,,Reed intake. ,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 800 GS Adventure Travel,2014,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",798.0 ccm (48.69 cubic inches),"Twin, four-stroke",85.0 HP (62.0  kW)) @ 7500 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 5750 RPM,12.0:1,82.0 x 75.6 mm (3.2 x 3.0 inches),4,"Injection. Electronic fuel injection, BMS-K+ electronic engine management",Double Overhead Cams/Twin Cam (DOHC),,Dry sump,Liquid,6-speed,Chain   (final drive),"Wet multidisc clutch, mechanically operated",Tubular steel space frame with load-bearing engine,"Upside-down fork, stanchion diameter 43 mm",230 mm (9.1 inches),"Wrought aluminium swing-arm, directly hinged WAD central spring strut, hydraulically adjustable suspension height, adjustable rebound damping",215 mm (8.5 inches),90/90-V ,150/70-V17 ,Double disc. ABS. Floating discs. Two-piston calipers. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Single-piston caliper. ,191.0 kg (421.1 pounds),0.4450 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),2305 mm (90.7 inches),925 mm (36.4 inches),,1578 mm (62.1 inches),24.00 litres (6.34 US gallons),"Red, sand",Electric,,,Endless O-ring chain with cush damper at rear wheel hub,,Spoked,,4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,26.0°,117 mm (4.6 inches),229.0 kg (504.9 pounds),,,193.1 km/h (120.0 mph),"Regulated three-way catalytic converter, compliant with EU3 emission standard",,4.00 litres (1.06 US gallons),,"12 V/14 Ah, maintenance-free battery.",,,,,,,,,,,,,,,,,,,,,
KTM 1290 Superduke PP,2014,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1299.0 ccm (79.26 cubic inches),"V2, four-stroke",180.0 HP (131.4  kW)),,,108.0 x 71.0 mm (4.3 x 2.8 inches),,Injection,,Ride-by-wire,Forced oil lubrication with 3 rotor pumps ,Liquid,6-speed,Chain   (final drive),,Tubular space frame,WP Suspension Up Side Down ,,WP Suspension Monoshock ,,,,Double disc. Radially mounted four-piston brake calipers ,240 mm (9.4 inches),Single disc. Two-piston brake caliper; fixed brake disc ,190.0 kg (418.9 pounds),0.9474 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,,,140 mm (5.5 inches),1482 mm (58.3 inches),18.00 litres (4.76 US gallons),"Orange, black",,,Super Duke with PP Tuning racing part kit.,,,,75° V arrangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF250R,2014,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",51.4 HP (37.5  kW)) @ 8500 RPM,47.7 Nm (4.9 kgf-m or 35.2 ft.lbs) @ 6500 RPM,13.5:1,76.8 x 53.8 mm (3.0 x 2.1 inches),,"Injection. Dual-Timing Programmed Fuel Injection (PGM-FI), 46mm throttle body",Single Overhead Cams (SOHC),Full transistor with electronic advance,,Liquid,5-speed,Chain   (final drive),Multi plate wet clutch,,48mm inverted Showa cartridge fork with 16-position rebound and 16-position compression damping adjustability,61 mm (2.4 inches),"Pro-Link® Showa single shock with spring preload, 17-position rebound damping adjustability, and compression-damping adjustment separated into low-speed (13 positions) and high-speed (3.5 turns); 12.3 inches travel",61 mm (2.4 inches),80/100-21 ,100/90-19 ,Double disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc,,,"950 mm (37.4 inches) If adjustable, lowest setting.",1271 mm (50.0 inches),2191 mm (86.3 inches),827 mm (32.6 inches),323 mm (12.7 inches),1488 mm (58.6 inches),6.28 litres (1.66 US gallons),Red,Kick,,Model ID: CRF250R,#520 Chain; 13T/49T,,,,,,,27.0°,118 mm (4.6 inches),104.8 kg (231.0 pounds),1.80 litres (1.9 US quarts),,,,,,,12V 6Ah (10HR) battery.,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California 1400 Custom,2014,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1380.0 ccm (84.21 cubic inches),"V2, four-stroke",95.2 HP (69.5  kW)) @ 6500 RPM,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 2750 RPM,,,2,Injection,,Ride by Wire with integral management of 3 engine maps,,Oil & air,6-speed,Shaft drive (cardan)   (final drive),,"Steel tubing, closed double cradle with elastic-kinematic engine mounting system to isolate vibrations.",46mm telescopic fork ,120 mm (4.7 inches),Dual shocks adjustable spring preload ,110 mm (4.3 inches),130/70-R18 ,200/60-R16 ,"Double disc. ABS. Stainless steel floating discs, 4-piston Brembo radial calipers ",282 mm (11.1 inches),"Single disc. ABS. Stainless steel fixed disc, 2-piston Brembo floating caliper .",,,"740 mm (29.1 inches) If adjustable, lowest setting.",,2445 mm (96.3 inches),1030 mm (40.6 inches),165 mm (6.5 inches),1665 mm (65.6 inches),20.50 litres (5.42 US gallons),"Black, grey",Electric,,,Double cardan joint and fixed bevel gear seat,,Aluminium alloy,90° V-twin,,,"Stainless steel, 2-into-2; three-way catalytic converter",32.0°,,318.0 kg (701.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Intruder C800B,2014,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",52.3 HP (38.2  kW)) @ 6000 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 3200 RPM,9.4:1,83.0 x 74.4 mm (3.3 x 2.9 inches),,Injection,Single Overhead Cams (SOHC),Electronic ignition,Wet Sump,Liquid,5-speed,Shaft drive (cardan)   (final drive),,Steel,"Telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,130/90-M16 ,170/80-M15 ,Single disc,,Expanding brake (drum brake),,,"700 mm (27.6 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2500 mm (98.4 inches),955 mm (37.6 inches),165 mm (6.5 inches),1655 mm (65.2 inches),15.50 litres (4.10 US gallons),Glass Sparkle Black,Electric,,,,,,45 degree V-twin,,,Matt Black Staggered Dual Exhausts,,,277.0 kg (610.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 250 ST,2014,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.7 ccm (15.24 cubic inches),"Single cylinder, two-stroke",,,,72.8 x 60.0 mm (2.9 x 2.4 inches),,Carburettor. Dell´Orto PHBL26BS,,Digital Hidria with two power curves,2% oil mixture,,5-speed,Chain   (final drive),Hydraulically activated multidisc in oil bath,Tubular section chrome-moly,Tech Ø 39 mm hydraulic telescopic fork,165 mm (6.5 inches),Progressive link system with single Olle adjustable shock absorber.,175 mm (6.9 inches),,,Single disc. Hydraulically activated Formula floating disc,145 mm (5.7 inches),Single disc. Hydraulically activated Formula floating disc,68.0 kg (149.9 pounds),,"645 mm (25.4 inches) If adjustable, lowest setting.",,,,305 mm (12.0 inches),1322 mm (52.0 inches),2.90 litres (0.77 US gallons),Yellow/black/blue/white,Kick,,Spanish brand.,Sequential gearbox with security selector system to prevent false shifts. Primary gear drive chain secondary drive,,"Morad graphit anodized aluminum rim and aluminum hub, steel spokes with Michelin tube-type tire",Nikasil coated cylinder,,,Steel header pipe with an integrated aluminum muffler,,,,,,,,,,,,,,,"New exhaust with new ignition management board, New engine control unit mapping, New fuel supply system, New graphics kit.",,,,,,,,,,,,,,,,,
Victory Cross Country Factory Custom,2014,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1737.1 ccm (106.00 cubic inches),"V2, four-stroke",,,9.4:1,101.0 x 108.0 mm (4.0 x 4.3 inches),4,Injection. Electronic Fuel Injection with dual 45mm throttle body,Single Overhead Cams (SOHC),,,Oil & air,6-speed,Belt   (final drive),"Wet, multi-plate",,"Inverted cartridge telescopic fork, 43 mm diameter, 5.1 in / 130 mm travel",,"Single, mono-tube gas, cast aluminum with constant rate linkage, 4.7 in / 120 mm travel, air adjustable",,130/70-R18 ,180/60-R16 ,Double disc. ABS,300 mm (11.8 inches),Single disc. ABS,347.0 kg (765.0 pounds),,"667 mm (26.3 inches) If adjustable, lowest setting.",,2652 mm (104.4 inches),,147 mm (5.8 inches),1669 mm (65.7 inches),21.95 litres (5.80 US gallons),Custom colors,Electric,,Small windscreen,Carbon Fiber Reinforced Belt. Primary drive: Gear drive with  torque compensator.,Saddle bags. 17.4 gallons of storage space. Optional color-matched Lock  and  Ride® Trunk.,130/70R18 Dunlop Elite 3,"Self-adjusting cam chains, hydraulic lifters",,,Split dual exhaust with crossover,29.0°,142 mm (5.6 inches),,4.70 litres (4.97 US quarts),,,,,,2-up seating,12 volts / 18 amp hours battery.,,,,,,,,,,,,,,,,,,,,,
