Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Diameter,Dry weight,Power/weight ratio,Oil capacity,Modifications compared to previous model,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Coolant,Comments,Front percentage of weight,Rear percentage of weight,Electrical
Kawasaki ZL 600,1986,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",74.0 HP (54.0  kW)) @ 10500 RPM,192.0 km/h (119.3 mph),11.0:1,60.0 x 52.4 mm (2.4 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,150/80-15 ,Single disc,Expanding brake,209.0 kg (460.8 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 750 F,1986,Scooter," 2.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",90.0 HP (65.7  kW)) @ 10000 RPM,216.0 km/h (134.2 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,248.0 kg (546.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3112 Klassik,1986,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,140.0 km/h (87.0 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,3.50-18 ,Single disc,Expanding brake,144.0 kg (317.5 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETX 600 Tuareg,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 6800 RPM,155.0 km/h (96.3 mph),9.4:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Single disc,189.0 kg (416.7 pounds),30.00 litres (7.93 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 350 HWE,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,130.0 km/h (80.8 mph),9.2:1,79.5 x 70.0 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-21 ,4.50-18 ,Single disc,Expanding brake,132.0 kg (291.0 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 125,1986,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",34.0 HP (24.8  kW)) @ 10750 RPM,130.0 km/h (80.8 mph),14.5:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,91.0 kg (200.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 700 CS,1986,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",699.0 ccm (42.65 cubic inches),"V2, four-stroke",,202.1 km/h (125.6 mph),,,,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,11.92 litres (3.15 US gallons),,,,,9500,Carburettor,,,wet plate,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75,1986,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,200.0 km/h (124.3 mph),11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Type 638.5 (with sidecar),1986,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),10.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,225.0 kg (496.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 E (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,491.0 ccm (29.96 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,137.0 km/h (85.1 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),3,Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 450 L,1986,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,164.0 km/h (101.9 mph),9.0:1,71.0 x 56.6 mm (2.8 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.60-16 ,Single disc,Expanding brake,183.0 kg (403.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 ES,1986,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9500 RPM,210.0 km/h (130.5 mph),9.6:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-16 ,120/90-17 ,Dual disc,Single disc,238.0 kg (524.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 600 R (reduced effect),1986,Sport," 2.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,178.0 km/h (110.6 mph),11.0:1,60.0 x 52.4 mm (2.4 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,217.0 kg (478.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 DOHC,1986,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9500 RPM,168.0 km/h (104.4 mph),9.7:1,69.0 x 53.4 mm (2.7 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,187.0 kg (412.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 GS Enduro Sport,1986,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",273.0 ccm (16.66 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),15.0:1,71.0 x 69.0 mm (2.8 x 2.7 inches),,Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,117.0 kg (257.9 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 750 F,1986,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",91.0 HP (66.4  kW)) @ 9500 RPM,211.0 km/h (131.1 mph),9.3:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/90-16 ,130/80-18 ,Dual disc,Single disc,241.0 kg (531.3 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch 600 HWE,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7700 RPM,140.0 km/h (87.0 mph),9.8:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-21 ,4.50-18 ,Single disc,Expanding brake,132.0 kg (291.0 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F (reduced effect),1986,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,235.0 km/h (146.0 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 ,130/80-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia 250 Tuareg,1986,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",47.0 HP (34.3  kW)) @ 8000 RPM,136.0 km/h (84.5 mph),14.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),,Rotary valves,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.25-18 ,Single disc,Expanding brake,127.0 kg (280.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 900 R (reduced effect),1986,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,240.0 km/h (149.1 mph),11.0:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GME 250,1986,Cross / motocross," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",47.0 HP (34.3  kW)) @ 8000 RPM,,14.7:1,67.0 x 70.0 mm (2.6 x 2.8 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Expanding brake,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 125 HF,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",9.8 HP (7.2  kW)) @ 10000 RPM,100.0 km/h (62.1 mph),15.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Expanding brake,Expanding brake,100.0 kg (220.5 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 125 WR,1986,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8500 RPM,95.0 km/h (59.0 mph),14.6:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Expanding brake,Expanding brake,98.0 kg (216.1 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650 Turbo,1986,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,203.0 km/h (126.1 mph),8.5:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,262.0 kg (577.6 pounds),19.00 litres (5.02 US gallons),,,,,,Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1986,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 N (reduced effect),1986,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,141.0 km/h (87.6 mph),9.1:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,189.0 kg (416.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1200 DX Gold Wing,1986,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1181.0 ccm (72.06 cubic inches),"Four cylinder boxer, four-stroke",94.0 HP (68.6  kW)) @ 7000 RPM,240.0 km/h (149.1 mph),9.0:1,75.5 x 66.0 mm (3.0 x 2.6 inches),2,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),130/90-16 ,150/90-15 ,Double disc. 2-piston caliper,Single disc. 2-piston caliper,333.0 kg (734.1 pounds),22.00 litres (5.81 US gallons),62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 7250 RPM,,,,,Carburettor. Keihin,,,,5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,30.0°,120 mm (4.7 inches),Telescopic fork,140 mm (5.5 inches),"Dual shocks, adjustable",100 mm (3.9 inches),"780 mm (30.7 inches) If adjustable, lowest setting.",,,2355 mm (92.7 inches),,,1610 mm (63.4 inches),,,Electric,296 mm (11.7 inches),,,,,,,,,,,,,,,,,,,,,
Honda XL 600 RM (reduced effect),1986,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,135.0 km/h (83.9 mph),8.8:1,97.0 x 80.0 mm (3.8 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Expanding brake,169.0 kg (372.6 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico GME 250 (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,100.0 km/h (62.1 mph),14.7:1,67.0 x 70.0 mm (2.6 x 2.8 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.10-18 ,Single disc,Expanding brake,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 4,1986,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,125.0 km/h (77.7 mph),9.5:1,62.0 x 58.0 mm (2.4 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,180.0 kg (396.8 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Evolution De Luxe,1986,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6000 RPM,149.0 km/h (92.6 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 650 E (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,175.0 km/h (108.7 mph),9.5:1,60.0 x 58.0 mm (2.4 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 K 2,1986,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,141.0 km/h (87.6 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,3.50-18 ,Dual disc,Single disc,160.0 kg (352.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100 (reduced effect),1986,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8750 RPM,240.0 km/h (149.1 mph),9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100 (reduced effect),1986,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,228.0 km/h (141.7 mph),10.0:1,76.0 x 58.0 mm (3.0 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/80-18 ,150/70-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia TX 311 M,1986,Trial,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6400 RPM,125.0 km/h (77.7 mph),8.5:1,76.0 x 61.0 mm (3.0 x 2.4 inches),,Rotary valves,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Single disc,Expanding brake,85.0 kg (187.4 pounds),6.50 litres (1.72 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 501 Camel,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,507.0 ccm (30.94 cubic inches),"V2, four-stroke",43.0 HP (31.4  kW)) @ 8500 RPM,150.0 km/h (93.2 mph),11.5:1,71.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Single disc,154.0 kg (339.5 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 M 6 ob one,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 11000 RPM,140.0 km/h (87.0 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Single disc,116.0 kg (255.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1100 Evolution De Luxe,1986,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1101.0 ccm (67.18 cubic inches),"V2, four-stroke",54.0 HP (39.4  kW)) @ 6000 RPM,165.0 km/h (102.5 mph),9.0:1,85.1 x 96.8 mm (3.4 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250,1986,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,143.0 km/h (88.9 mph),11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG 500 Gamma,1986,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"In-line four, two-stroke",95.0 HP (69.3  kW)) @ 9500 RPM,228.0 km/h (141.7 mph),7.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Rotary valves,Liquid,6-speed,Chain   (final drive),110/90-16 ,120/90-17 ,Dual disc,Single disc,181.0 kg (399.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Alazzurra (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8400 RPM,175.0 km/h (108.7 mph),10.0:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100190-18 ,110/90-18 ,Dual disc,Single disc,207.0 kg (456.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
