Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Starter,Rear brakes,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Frame type,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Comments,Exhaust system,Rear wheel travel,Chain links,Sprockets,Lubrication system,Clutch,Overall height,Overall width,Max RPM,Rake (fork angle),Trail,Engine details,Modifications compared to previous model,Alternate seat height,Electrical,Battery,Oil filter,Belt teeth,Belt width,Pulley teeth,Light
Moto Guzzi California 1100 F,1997,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 6400 RPM,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs) @ 5000 RPM,180.0 km/h (111.8 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,245.0 kg (540.1 pounds),0.3061 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell M2 Cyclone,1997,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)),107.0 Nm (10.9 kgf-m or 78.9 ft.lbs),200.0 km/h (124.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,197.0 kg (434.3 pounds),0.4365 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 1100,1997,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 10500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 8500 RPM,285.0 km/h (177.1 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,233.0 kg (513.7 pounds),0.6438 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Saxon Country 500,1997,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7200 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 6500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,149.0 kg (328.5 pounds),0.2282 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C Shadow,1997,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",39.0 HP (28.5  kW)),49.0 Nm (5.0 kgf-m or 36.1 ft.lbs),160.0 km/h (99.4 mph),3,Liquid,5-speed,Chain   (final drive),Single disc,200.0 kg (440.9 pounds),0.1950 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs SR 125,1997,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),,10.0 HP (7.3  kW)),11.0 Nm (1.1 kgf-m or 8.1 ft.lbs),,,,,,Single disc,106.0 kg (233.7 pounds),0.0943 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVZ 1300 A Royal Star,1997,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1294.0 ccm (78.96 cubic inches),"V4, four-stroke",74.0 HP (54.0  kW)) @ 4750 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 3500 RPM,180.0 km/h (111.8 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,305.0 kg (672.4 pounds),0.2426 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Sport 1100 Injection,1997,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 6000 RPM,230.0 km/h (142.9 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,221.0 kg (487.2 pounds),0.4072 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Roadster 125,1997,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),,,,Liquid,6-speed,Chain   (final drive),Single disc,125.0 kg (275.6 pounds),0.1200 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simson Condor 125,1997,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),,12.0 HP (8.8  kW)),13.0 Nm (1.3 kgf-m or 9.6 ft.lbs),,,,6-speed,Chain   (final drive),Single disc,109.0 kg (240.3 pounds),0.1101 HP/kg,"900 mm (35.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell S1 Lightning,1997,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)),107.0 Nm (10.9 kgf-m or 78.9 ft.lbs),200.0 km/h (124.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,193.0 kg (425.5 pounds),0.4456 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 R,1997,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)),77.0 Nm (7.9 kgf-m or 56.8 ft.lbs),190.0 km/h (118.1 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),,214.0 kg (471.8 pounds),0.3271 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 Monster Solo,1997,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,904.0 ccm (55.16 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)) @ 7000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6400 RPM,195.0 km/h (121.2 mph),2,Air,6-speed,Chain   (final drive),Dual disc,196.0 kg (432.1 pounds),0.3827 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Caballero,1997,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7000 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 5800 RPM,,,Liquid,6-speed,Chain   (final drive),Single disc,92.0 kg (202.8 pounds),0.1630 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750,1997,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",128.0 HP (93.4  kW)) @ 12000 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 10000 RPM,265.0 km/h (164.7 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,186.0 kg (410.1 pounds),0.6882 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VZ 800 Marauder,1997,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 4000 RPM,,4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,209.0 kg (460.8 pounds),0.2392 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200 ABS,1997,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 8500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 7500 RPM,230.0 km/h (142.9 mph),4,Air,5-speed,Chain   (final drive),Dual disc,221.0 kg (487.2 pounds),0.5656 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Custom,1997,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)),16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 6000 RPM,,,,5-speed,,Single disc,121.0 kg (266.8 pounds),0.0909 HP/kg,"732 mm (28.8 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 S Virago,1997,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",44.0 HP (32.1  kW)),48.0 Nm (4.9 kgf-m or 35.4 ft.lbs),160.0 km/h (99.4 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,182.0 kg (401.2 pounds),0.2418 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM LC4 EGS,1997,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",609.0 ccm (37.16 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,,160.0 km/h (99.4 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,139.0 kg (306.4 pounds),0.3597 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",Kick,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Classic 300,1997,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",291.0 ccm (17.76 cubic inches),"Single cylinder, two-stroke",23.0 HP (16.8  kW)) @ 5500 RPM,30.0 Nm (3.1 kgf-m or 22.1 ft.lbs) @ 5200 RPM,135.0 km/h (83.9 mph),,Air,5-speed,Chain   (final drive),Single disc,128.5 kg (283.3 pounds),0.1790 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C2 Shadow ACE,1997,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)),90.0 Nm (9.2 kgf-m or 66.4 ft.lbs),160.0 km/h (99.4 mph),3,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,260.0 kg (573.2 pounds),0.1923 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VX 800,1997,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)),69.0 Nm (7.0 kgf-m or 50.9 ft.lbs),,4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,221.0 kg (487.2 pounds),0.2715 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple T509,1997,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",108.0 HP (78.8  kW)),85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 7600 RPM,,4,Liquid,6-speed,Chain   (final drive),,196.0 kg (432.1 pounds),0.5510 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-5,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)),46.0 Nm (4.7 kgf-m or 33.9 ft.lbs),185.0 km/h (115.0 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,174.0 kg (383.6 pounds),0.2874 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 250 Master - Tempo,1997,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",26.0 HP (19.0  kW)) @ 7000 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,,5-speed,Chain   (final drive),Single disc,135.0 kg (297.6 pounds),0.1926 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-9R Ninja,1997,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",141.0 HP (102.9  kW)) @ 10500 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 9000 RPM,280.0 km/h (174.0 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,218.0 kg (480.6 pounds),0.6468 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 R,1997,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 7000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6500 RPM,,,,6-speed,Chain   (final drive),Single disc,109.0 kg (240.3 pounds),0.1101 HP/kg,"900 mm (35.4 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S Diversion,1997,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),190.0 km/h (118.1 mph),2,,6-speed,Chain   (final drive),Single disc,193.0 kg (425.5 pounds),0.3161 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,1997,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)),55.0 Nm (5.6 kgf-m or 40.6 ft.lbs),165.0 km/h (102.5 mph),4,Air,5-speed,Chain   (final drive),Single disc,167.0 kg (368.2 pounds),0.2635 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-6R Ninja,1997,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",105.0 HP (76.6  kW)) @ 12500 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 10000 RPM,260.0 km/h (161.6 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,182.0 kg (401.2 pounds),0.5769 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 883 Sportster Hugger,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 2500 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),Single disc,220.0 kg (485.0 pounds),0.2182 HP/kg,"688 mm (27.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 350 SE,1997,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",30.0 HP (21.9  kW)) @ 7600 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 6200 RPM,,,,6-speed,Chain   (final drive),Single disc,135.0 kg (297.6 pounds),0.2222 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 750 Virago,1997,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",54.0 HP (39.4  kW)) @ 7000 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 6000 RPM,175.0 km/h (108.7 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,220.0 kg (485.0 pounds),0.2455 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 610 Enduro,1997,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,,,4,Liquid,6-speed,Chain   (final drive),Single disc,132.0 kg (291.0 pounds),0.3636 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda RVF 750 - RC 45,1997,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",120.0 HP (87.6  kW)),74.0 Nm (7.5 kgf-m or 54.6 ft.lbs),,4,Liquid,6-speed,Chain   (final drive),Dual disc,209.0 kg (460.8 pounds),0.5742 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Style,1997,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",344.0 ccm (20.99 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,120.0 km/h (74.6 mph),,Air,4-speed,Chain   (final drive),Single disc,149.0 kg (328.5 pounds),0.1544 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500,1997,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 7500 RPM,36.0 Nm (3.7 kgf-m or 26.6 ft.lbs) @ 3000 RPM,,,,6-speed,,Single disc,178.0 kg (392.4 pounds),0.1910 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint 900,1997,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,225.0 km/h (139.8 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,215.0 kg (474.0 pounds),0.4558 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 600 E,1997,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",55.0 HP (40.1  kW)) @ 9000 RPM,,,4,Liquid,6-speed,Chain   (final drive),Single disc,110.0 kg (242.5 pounds),0.5000 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 R,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",80.0 HP (58.4  kW)) @ 6750 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5250 RPM,200.0 km/h (124.3 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,214.0 kg (471.8 pounds),0.3738 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,
Sachs ZX 125,1997,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7750 RPM,14.0 Nm (1.4 kgf-m or 10.3 ft.lbs) @ 8000 RPM,,,,6-speed,Chain   (final drive),Single disc,108.0 kg (238.1 pounds),0.1389 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Ippogrifo V7,1997,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",750.0 ccm (45.77 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 7500 RPM,70.0 Nm (7.1 kgf-m or 51.6 ft.lbs) @ 5500 RPM,,,Air,6-speed,Shaft drive (cardan)   (final drive),,180.0 kg (396.8 pounds),0.3222 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 N,1997,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),190.0 km/h (118.1 mph),2,,6-speed,Chain   (final drive),Single disc,190.0 kg (418.9 pounds),0.3211 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 SS,1997,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",66.0 HP (48.2  kW)) @ 8500 RPM,,200.0 km/h (124.3 mph),2,Air,5-speed,Chain   (final drive),Dual disc,176.0 kg (388.0 pounds),0.3750 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
