Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Carrying capacity,Comments,Top speed,Clutch,Fuel consumption,Greenhouse gases,Instruments,Factory warranty,Engine details,Compression,Bore x stroke,Valves per cylinder,Ignition,Lubrication system,Exhaust system,Front wheel travel,Rear wheel travel,Dry weight,Torque,Power/weight ratio,Oil capacity,"Weight incl. oil, gas, etc",Rake (fork angle),Trail,Light,Reserve fuel capacity,Seat,Emission details,Modifications compared to previous model,Front percentage of weight,Max RPM,Alternate seat height,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Rear percentage of weight,Chain size,Chain links,Sprockets,Coolant,1/4 mile (0.4 km)
Lem RX 150 Racing,2011,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",13.5 HP (9.9  kW)),Carburettor. Mikuni,,Air,4-speed,Chain   (final drive),Straight teeth gears primary drive.,Oval steel tube frame,"Marsocchi Upside-Down Fork, adjustable","Paioli hydraulic monoshock, adjustable",70/100-14 ,80/100-12 ,Single disc,220 mm (8.7 inches),Single disc,Spoke wheels,"729 mm (28.7 inches) If adjustable, lowest setting.",,1670 mm (65.8 inches),,286 mm (11.2 inches),1190 mm (46.9 inches),2.01 litres (0.53 US gallons),,,,,,,,,,,,Aluminium cylinder,,,,CDI,,,179 mm (7.1 inches),65 mm (2.6 inches),60.0 kg (132.3 pounds),,0.2250 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polaris Sportsman XP 850 EPS,2011,ATV," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",850.0 ccm (51.87 cubic inches),"Single cylinder, four-stroke",70.0 HP (51.1  kW)),Injection. EFI,Single Overhead Cams (SOHC),Liquid,Automatic,Shaft drive (cardan)   (final drive),On-Demand True AWD/2WD,,Dual A-Arm 9 in. (22.9 cm) Travel,"Dual A-Arm, Rolled 10.25 in. (26 cm) Travel",26/8-14 ,26/10-14 ,Single disc,,Expanding brake (drum brake),Cast Aluminum,"940 mm (37.0 inches) If adjustable, lowest setting.",,2115 mm (83.3 inches),,305 mm (12.0 inches),1346 mm (53.0 inches),17.03 litres (4.50 US gallons),"Black, Red, Green",Electric,,,,,,,,,,,,,,,,,,,355.2 kg (783.0 pounds),,0.1971 HP/kg,,,,,"Triple 50w High Beam, Dual 50w Low Beam Headlights; Dual Brakelights/Taillights",,,,,,,,,,,,,,,,,,,,,,,
Ducati Streetfighter,2011,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",155.0 HP (113.1  kW)) @ 9500 RPM,"Injection. Marelli electronic fuel injection,  elliptical throttle bodies",Desmodromic valve control,Liquid,6-speed,Chain   (final drive),Chain; Front sprocket 15; Rear sprocket 38,Tubular steel Trellis frame in ALS 450,Showa 43mm fully adjustable usd forks,Progressive linkage with fully adjustable Showa monoshock. Aluminium single-sided swingarm,120/70-ZR17 ,190/55-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,10-spoke in light alloy wheels 3.50 x 17 ,"840 mm (33.1 inches) If adjustable, lowest setting.",,,,,1475 mm (58.1 inches),16.50 litres (4.36 US gallons),Red (racing black/graphite grey),Electric,,,,,Dry multiplate with hydraulic control,,,,2 years unlimited mileage,,12.5:1,104.0 x 64.7 mm (4.1 x 2.5 inches),4,,,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin stainless steel mufflers,,,169.0 kg (372.6 pounds),115.3 Nm (11.8 kgf-m or 85.0 ft.lbs) @ 9500 RPM,0.9172 HP/kg,,,25.6°,,,,,Follows the US Federal Regulation,,,,,,,,,,,,,,,,,,,,
Boss Hoss BHC-9 ZZ4 Trike,2011,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,5700.0 ccm (347.81 cubic inches),"V8, four-stroke",355.0 HP (259.1  kW)) @ 5250 RPM,Injection. Holly 680 cfm Throttle Body,Double Overhead Cams/Twin Cam (DOHC),Liquid,Automatic,Shaft drive (cardan)   (final drive),3-speed automatic transmission with reverse.,Chrome-molly tubing and investment cast heat-treated 4130 alloy neck,63mm inverted forks,"Dual 17´ coilover shocks, single 17.5 inch rebound damper",130/90-16 ,275/60-R15 ,Double disc. Dual 4-piston calipers,,Single disc. 4-piston calipers,,"737 mm (29.0 inches) If adjustable, lowest setting.",,2921 mm (115.0 inches),1524 mm (60.0 inches),165 mm (6.5 inches),2070 mm (81.5 inches),32.17 litres (8.50 US gallons),"Red, blue, yellow",,,,Three wheel bike. ,,,,,"Lectronic Speedo, odometer, tripmeter, volts, water temp., oil pressure, fuel gauge",12 months unlimited miles,,,,,,,2.5´ with dual mufflers,89 mm (3.5 inches),,"680.4 kg (1,500.0 pounds)",549.2 Nm (56.0 kgf-m or 405.1 ft.lbs) @ 4200 RPM,0.5218 HP/kg,,"705.0 kg (1,554.3 pounds)",35.0°,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBF600N ABS,2011,Naked bike," 2.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.3 ccm (36.57 cubic inches),"In-line four, four-stroke",76.4 HP (55.8  kW)) @ 10500 RPM,Injection. PGM-FI ,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,,O-ring sealed chain ,,"41mm telescopic fork, 120mm axle travel ","Monoshock damper with 7-step adjustable preload, 125mm axle travel ",120/70-ZR17 ,160/60-ZR17 ,Double disc. Anti-lock braking,240 mm (9.4 inches),Single disc. Anti-lock braking,U-section twin 6-spoke cast aluminium,"785 mm (30.9 inches) If adjustable, lowest setting.",,2160 mm (85.0 inches),765 mm (30.1 inches),130 mm (5.1 inches),1490 mm (58.7 inches),20.00 litres (5.28 US gallons),"Black, white, gold",Electric,,,,,,,,,,,11.6:1,67.0 x 42.5 mm (2.6 x 1.7 inches),4,Computer-controlled digital transistorised with electronic advance ,,,,,213.0 kg (469.6 pounds),59.0 Nm (6.0 kgf-m or 43.5 ft.lbs) @ 8250 RPM,0.3589 HP/kg,,230.0 kg (507.1 pounds),,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,
Sym Quad Lander 200,2011,ATV," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",171.2 ccm (10.45 cubic inches),"Single cylinder, four-stroke",,Carburettor,Single Overhead Cams (SOHC),Liquid,Automatic,Chain   (final drive),Automatic CVT with reverse,Steel,"Idependent, Single A-arm",Unit Swing Arm,21/7-10 ,22/10-10 ,Double disc. Hydraulic,190 mm (7.5 inches),Single disc. With parking,,,1135 mm (44.7 inches),1765 mm (69.5 inches),1040 mm (40.9 inches),,1115 mm (43.9 inches),8.00 litres (2.11 US gallons),"Green, blue, yellow",Electric & kick,12 Volt,,ATV made in Taiwan.,,,,,,,Electroplated ceramic cylinder,,,4,CDI,,,,,199.0 kg (438.7 pounds),,,,,,,,,,Euro 2,,,,,,,,,,,,,,,,,,,,
Honda Zoomer,2011,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",4.0 HP (2.9  kW)) @ 7500 RPM,Injection. PGM-FI electronic fuel injection ,Single Overhead Cams (SOHC),Liquid,Automatic,Belt   (final drive),V-Matic belt drive ,,"27mm telescopic fork, 49mm axle travel ","Unit swingarm, 65mm axle travel ",120/90-10 ,130/90-10 ,Expanding brake (drum brake),95 mm (3.7 inches),Expanding brake (drum brake),Pressed Steel 10 x MT3.00,"735 mm (28.9 inches) If adjustable, lowest setting.",1025 mm (40.4 inches),1860 mm (73.2 inches),735 mm (28.9 inches),145 mm (5.7 inches),1265 mm (49.8 inches),5.00 litres (1.32 US gallons),"Red, yellow, black, silver",Electric & kick,,,,,,,,,,,12.0:1,38.0 x 44.0 mm (1.5 x 1.7 inches),,Digital transistorised with electronic advance ,,,,,84.0 kg (185.2 pounds),4.5 Nm (0.5 kgf-m or 3.3 ft.lbs) @ 5000 RPM,0.0476 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Hypermotard 1100 Evo SP,2011,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1078.0 ccm (65.78 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 7500 RPM,"Injection. Siemens electronic fuel injection, 45mm throttle body",Desmodromic valve control,Air,6-speed,Chain   (final drive),"Chain, Front sprocket 15, Rear sprocket 41",Tubular steel Trellis frame,Marzocchi 50mm fully adjustable usd forks with DLC,Progressive linkage with fully adjustable Ã–hlins monoshock. Aluminium single-sided swingarm,120/70-17 ,180/55-17 ,Double disc,245 mm (9.6 inches),Single disc,,"875 mm (34.4 inches) If adjustable, lowest setting.",,,,,1465 mm (57.7 inches),12.40 litres (3.28 US gallons),"Corse red (red/black), Corse white (red/black)",Electric,,,,,Dry multiplate with hydraulic control,,,Digital unit with displays for,2 years unlimited mileage,,11.3:1,98.0 x 71.5 mm (3.9 x 2.8 inches),,,,Lightweight 2-1-2 system with catalytic converter with twin lambda probes.,165 mm (6.5 inches),141 mm (5.6 inches),,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 10500 RPM,,,,24.0°,,,,,Follows the US Federal Regulation,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1700 Classic Tourer,2011,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1700.0 ccm (103.73 cubic inches),"V2, four-stroke",72.4 HP (52.9  kW)) @ 5000 RPM,Injection,Single Overhead Cams (SOHC),Liquid,,Belt   (final drive),,"Double-cradle, steel ",43 mm telescopic fork,Swingarm with twin air-assisted shocks 4-way,130/90-16 ,170/70-16 ,Double disc. Anti-locking brakes (ABS),300 mm (11.8 inches),Single disc,,"730 mm (28.7 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),2500 mm (98.4 inches),1025 mm (40.4 inches),140 mm (5.5 inches),1665 mm (65.6 inches),20.00 litres (5.28 US gallons),,Electric,,,,,"Wet mDouble disk, manual",,,,,,9.5:1,102.0 x 104.0 mm (4.0 x 4.1 inches),4,Digital,"Forced lubrication, semi-dry sump",,,,360.0 kg (793.7 pounds),136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 2759 RPM,0.2012 HP/kg,4.00 litres (4.23 US quarts),382.0 kg (842.2 pounds),30.0°,,,,,,,,,,,,,,,,,,,,,,,,,
Cobra CX50 Card,2011,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,Single Overhead Cams (SOHC),Liquid,1-speed,,,Twin Spar Oval HSLA,Cobra 30mm USD,CARD Fully Adjustable (High and Low Speed),2.50-12 ,2.75-10 ,Single disc,140 mm (5.5 inches),Single disc,,"680 mm (26.8 inches) If adjustable, lowest setting.",,,,245 mm (9.6 inches),990 mm (39.0 inches),,Yellow/blue/black.,Kick,,,,,Cobra 3Gx 3-Shoe,,,,,Case Reed / V-Force® Reed Valve,,39.0 x 41.7 mm (1.5 x 1.6 inches),,,Mixture lubrication,Tuned pipe and silencer,210 mm (8.3 inches),270 mm (10.6 inches),42.0 kg (92.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT125,2011,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",14.2 HP (10.4  kW)) @ 10500 RPM,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Oil & air,5-speed,Chain   (final drive),,,Conventional fork,Swing arm with Hyeraulic Double shock absorber,110/70-17 ,150/70-17 ,Single disc,,Single disc,,"795 mm (31.3 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2080 mm (81.9 inches),760 mm (29.9 inches),130 mm (5.1 inches),1445 mm (56.9 inches),17.00 litres (4.49 US gallons),"Black, white, red",Electric,,,Made in South Korea.,110.0 km/h (68.4 mph),,,,,24 months,,11.3:1,44.0 x 41.0 mm (1.7 x 1.6 inches),4,CDI, Wet sump,,,,167.0 kg (368.2 pounds),10.2 Nm (1.0 kgf-m or 7.5 ft.lbs) @ 9750 RPM,0.0850 HP/kg,,,,,,2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,
Tauris Avenida 125 4T,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",7.9 HP (5.8  kW)) @ 6500 RPM,Carburettor,,Air,Automatic,Belt   (final drive),,,Conventional fork,Twin shocks,100/80-16 ,100/80-16 ,Single disc,,Single disc,5-spoke wheels,"800 mm (31.5 inches) If adjustable, lowest setting.",1190 mm (46.9 inches),2180 mm (85.8 inches),706 mm (27.8 inches),,,6.80 litres (1.80 US gallons),"Grey, black, brown",Electric & kick,12 Volt 4 Ah battery,,,,,,,,,,,,,CDI,,,,,125.0 kg (275.6 pounds),,0.0633 HP/kg,0.90 litres (0.95 US quarts),,,,,,2-person seat,,,,,,,,,,,,,,,,,,,,,
Modenas Dinamik,2011,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",118.0 ccm (7.20 cubic inches),"Single cylinder, two-stroke",,Carburettor. Mikuni VM22,,Air,6-speed,Belt   (final drive),,,Telescopic,"Swing Arm, Mono-shock",,,Single disc,,Single disc,,,,,,,,4.60 litres (1.22 US gallons),"Red, blue",Kick,,,Malaysian bike.,,"Wet, multi disc",,,,,,7.3:1,54.0 x 51.8 mm (2.1 x 2.0 inches),,DC-CDI,Force feed lubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT 280 Pro,2011,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,272.2 ccm (16.61 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell´Orto PHBL26BS - Intake by reed valve,,Liquid,6-speed,Chain   (final drive),,Chrom-Molybdenum tubular frame,Marzocchi 40 mm Aluminium Right-Sight-Up,Progressive linkage system. Sachs hydraulic mono shock absorber,2.75-21 ,4.00-18 ,"Single disc. Floating disk, 4-piston caliper",150 mm (5.9 inches),Single disc. 2-piston caliper,,"650 mm (25.6 inches) If adjustable, lowest setting.",,2045 mm (80.5 inches),,,1340 mm (52.8 inches),2.50 litres (0.66 US gallons),Red/grey/white,Kick,,,,,"Multidisc, hydraulically-operated",,,,,,,76.0 x 60.0 mm (3.0 x 2.4 inches),,CDI digital magnetic flywheel,,,177 mm (7.0 inches),,67.0 kg (147.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polaris Sportsman 550,2011,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,549.0 ccm (33.50 cubic inches),"Single cylinder, four-stroke",,Injection. Electronic Fuel Injection,Single Overhead Cams (SOHC),Liquid,Automatic,Shaft drive (cardan)   (final drive),On-Demand True AWD/2WD,,Dual A-Arm 9 in. (22.9 cm) Travel,"Dual A-Arm, Rolled 10.25 in. (26 cm) Travel",26/8-14 ,26/10-14 ,Single disc,,Expanding brake (drum brake),Stamped Steel,"940 mm (37.0 inches) If adjustable, lowest setting.",,2115 mm (83.3 inches),,305 mm (12.0 inches),1346 mm (53.0 inches),19.87 litres (5.25 US gallons),"Indy Red, Sage Green, Polaris Pursuit Camo",Electric,,Front/rear rack capacity 120 lb (55 kg) / 240 lb (110 kg),,,,,,"Analog Speedometer, Digital Odometer, Tachometer, Two Tripmeters, Hour Meter, Clock, Service Indicator, Diagnostic Indicator, Gear Indicator, Fuel Gauge, AWD Indicator, Hi-Temp/Low-Batt Lights, DC Outlet",,,,,4,,,,,,329.3 kg (726.0 pounds),,,,,,,"Triple 50w High Beam, Dual 50w Low Beam Headlights; Dual Brakelights/Taillights",,,,,,,,,,,,,,,,,,,,,,,
Yamaha MT-01,2011,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1670.0 ccm (101.90 cubic inches),"V2, four-stroke",88.9 HP (64.9  kW)) @ 4750 RPM,Injection. Electronic Fuel Injection,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),"Constant Mesh, 5-speed","Alu CF-die cast, double cradle",Telescopic forks,Swing arm (link suspension),120/70-ZR17 ,190/50-ZR17 ,Double disc,267 mm (10.5 inches),Single disc,,"825 mm (32.5 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),2185 mm (86.0 inches),800 mm (31.5 inches),145 mm (5.7 inches),1525 mm (60.0 inches),15.00 litres (3.96 US gallons),,Electric,,,,,"Wet, multiple-disc",,,,,,8.4:1,97.0 x 113.0 mm (3.8 x 4.4 inches),4,TCI,Dry sump,,120 mm (4.7 inches),117 mm (4.6 inches),246.0 kg (542.3 pounds),150.3 Nm (15.3 kgf-m or 110.9 ft.lbs) @ 3750 RPM,0.3614 HP/kg,5.00 litres (5.28 US quarts),265.0 kg (584.2 pounds),,103 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Aspes Vega Hybrid 125,2011,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",6.9 HP (5.0  kW)) @ 7500 RPM,Carburettor,,Air,Automatic,Belt   (final drive),,,,,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),,,1105 mm (43.5 inches),1775 mm (69.9 inches),670 mm (26.4 inches),,1290 mm (50.8 inches),5.50 litres (1.45 US gallons),"Pearl White, Silver Gray, Black, Europe Green, Purplish Red, Dark Blue",Electric,,,Hybrid with addition 48V 1000 W DC brushless electric engine. 48V - 24Ah (C-LiFePO4 Lithium phosphate) battery. Automatically switches from electric to gasoline over 20 km/h.,75.0 km/h (46.6 mph),,,,,,,9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,CDI,,,,,111.0 kg (244.7 pounds),,0.0623 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Vegas Jackpot,2011,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1731.0 ccm (105.63 cubic inches),"V2, four-stroke",,Injection. Electronic Fuel Injection with dual 45mm throttle body,Single Overhead Cams (SOHC),Air,6-speed,Belt   (final drive),Carbon Fiber Reinforced Belt. Primary Drive:	Gear drive with torque compensator,,"Conventional telescopic fork, 43 mm diameter,","Single, mono-tube gas, cast aluminum with rising-rate linkage, preload adjustable spring",90/90-21 ,250/40-R18 ,Single disc,300 mm (11.8 inches),Single disc,,"653 mm (25.7 inches) If adjustable, lowest setting.",,2436 mm (95.9 inches),,135 mm (5.3 inches),1684 mm (66.3 inches),17.03 litres (4.50 US gallons),"Pearl White  and  Black w/ Extreme Graphics, Black  and  Indy Red w/ Extreme Graphics, Solid Black",,,,,,"Wet, multi-plate",,,,,"Single overhead camshafts with 4 valves per cylinder, self-adjusting cam chains, hydraulic lifters",9.4:1,101.0 x 108.0 mm (4.0 x 4.3 inches),,,,Staggered slash-cut dual exhaust with crossover,130 mm (5.1 inches),76 mm (3.0 inches),296.0 kg (652.6 pounds),,,5.00 litres (5.28 US quarts),,32.9°,126 mm (5.0 inches),,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Royal Star Venture S,2011,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1294.7 ccm (79.00 cubic inches),"V4, four-stroke",97.0 HP (70.8  kW)) @ 6000 RPM,Carburettor. (4) 32mm Mikuni CV,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,Telescopic fork,Single shock,150/80-16 ,150/90-15 ,Double disc,320 mm (12.6 inches),Single disc,7-spoke cast,"749 mm (29.5 inches) If adjustable, lowest setting.",1565 mm (61.6 inches),2654 mm (104.5 inches),899 mm (35.4 inches),,1704 mm (67.1 inches),22.71 litres (6.00 US gallons),Impact Blue/Deep Blue,,,15-gallon trunk and a pair of color-matched 9.3-gallon sidebags,,,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,5 Year (Limited Factory Warranty),Single-axis internal counterbalancer reduces engine vibration.,10.0:1,79.0 x 66.0 mm (3.1 x 2.6 inches),4,TCI: Transistor Controlled Ignition,,,140 mm (5.5 inches),104 mm (4.1 inches),,120.7 Nm (12.3 kgf-m or 89.0 ft.lbs) @ 4750 RPM,,,394.2 kg (869.0 pounds),,,,,"Ergonomically designed bucket-type seats with plush, wraparound passenger backrest ",,,,,,,,,,,,,,,,,,,,,
Vespa S 125,2011,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.3 HP (7.5  kW)) @ 8250 RPM,Carburettor,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),,,Single arm with helical spring and dual effect hydraulic single shock absorber,Coil spring and dual effect single shock absorber,110/70-11 ,120/70-10 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,"785 mm (30.9 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),1770 mm (69.7 inches),740 mm (29.1 inches),,,8.60 litres (2.27 US gallons),"Black Shine, Montebianco, Taormina",Electric & kick,,,,,Automatic twist and go,2.60 litres/100 km (38.5 km/l or 90.47 mpg),60.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Leader engine,,62.5 x 48.5 mm (2.5 x 1.9 inches),2,,,,,,,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 7250 RPM,,,114.0 kg (251.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT1300CR ABS,2011,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1312.0 ccm (80.06 cubic inches),"V2, four-stroke",,Injection. Electronic fuel injection (PGM-FI),Overhead Cams (OHC),Liquid,5-speed,,,,Telescopic fork,Swing arm,140/80-17M ,170/80-15M ,Single disc,,Single disc. Optional ABS,,"680 mm (26.8 inches) If adjustable, lowest setting.",1085 mm (42.7 inches),2650 mm (104.3 inches),970 mm (38.2 inches),130 mm (5.1 inches),1785 mm (70.3 inches),16.00 litres (4.23 US gallons),"Red, black",Electric,,,,,Wet multi-plate coil spring,,,,,,,89.5 x 104.5 mm (3.5 x 4.1 inches),3,transistor type,,,,,315.0 kg (694.5 pounds),103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 2750 RPM,,,330.0 kg (727.5 pounds),,,,,2 person seat,,,,,,,,,,,,,,,,,,,,,
