Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Color options,Starter,Clutch,Dry weight,Comments,Fuel consumption,Greenhouse gases,Power/weight ratio,Lubrication system,Exhaust system,Top speed,Valves per cylinder,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,0-100 km/h (0-62 mph),Alternate seat height,Oil capacity,Engine details,Driveline,Wheels,Seat,Modifications compared to previous model,Max RPM,Front percentage of weight,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Rear percentage of weight,Emission details,Factory warranty,Tire pressure front,Tire pressure rear,Fork tube size
Bajaj Avenger DTS-i,2010,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",17.3 HP (12.6  kW)) @ 8000 RPM,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 6000 RPM,,,,,,Oil & air,,,Tubular double cradle,Telescopic fork,"Triple rated spring, 5 step adjustable, hydraulic shock absorber",90/90-17 ,130/90-15 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,,1130 mm (44.5 inches),2195 mm (86.4 inches),750 mm (29.5 inches),169 mm (6.7 inches),1475 mm (58.1 inches),14.00 litres (3.70 US gallons),3.40 litres (0.90 US gallons),"Black, blue, red, silver",Electric,,152.0 kg (335.1 pounds),Bike made in India.,,,0.1136 HP/kg,,,,,140 mm (5.5 inches),90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,2010,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1594.0 ccm (97.27 cubic inches),"Twin, four-stroke",84.5 HP (61.7  kW)) @ 4850 RPM,146.0 Nm (14.9 kgf-m or 107.7 ft.lbs) @ 2759 RPM,9.7:1,103.8 x 94.3 mm (4.1 x 3.7 inches),"Injection. Multipoint sequential electronic fuel injection, progressive linkage on throttle",,,Liquid,6-speed,Belt   (final drive),"Tubular steel, twin spine",Showa 47mm forks,Showa chromed spring twin shocks with 5 position adjustable preload,120/70-R19 ,200/50-R17 ,Double disc,310 mm (12.2 inches),Single disc,339.0 kg (747.4 pounds),"700 mm (27.6 inches) If adjustable, lowest setting.",,2340 mm (92.1 inches),,,1615 mm (63.6 inches),22.00 litres (5.81 US gallons),,"Jet Black, Pacific Blue/Fusion White, Aluminium Silver/Jet Black",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM 404 DS Trail,2010,Trial," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)),,12.2:1,90.0 x 62.6 mm (3.5 x 2.5 inches),Carburettor. Keihin ,Double Overhead Cams/Twin Cam (DOHC),CDI,Liquid,,Chain   (final drive),Tubular steel with oil. Cast aluminum swin arm.,WP 43mm upside down,WP PDS,,,Single disc. Bremo single piston,260 mm (10.2 inches),Single disc. Bremo single piston,142.0 kg (313.1 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,,,,,,,Blue/red/white,Electric,,128.0 kg (282.2 pounds),CCM is a British brand.,,,0.3125 HP/kg,Dry Sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM Max 150,2010,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.5 ccm (9.12 cubic inches),"Single cylinder, four-stroke",,,9.2:1,62.0 x 49.5 mm (2.4 x 1.9 inches),Carburettor,Single Overhead Cams (SOHC),CDI,Air,5-speed,Chain   (final drive),,Telescopic Fork,Swingarm with dual spring shock absorbers,2.75-18 ,3.00-18 ,Single disc,,Expanding brake (drum brake),120.0 kg (264.6 pounds),"786 mm (30.9 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),2010 mm (79.1 inches),,,1260 mm (49.6 inches),7.00 litres (1.85 US gallons),,"Black/Blue, Black/Red",Electric & kick,,112.0 kg (246.9 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX1800F,2010,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1795.0 ccm (109.53 cubic inches),"V2, four-stroke",,,9.0:1,101.0 x 112.0 mm (4.0 x 4.4 inches),Injection. PGM-FI with automatic choke,Single Overhead Cams (SOHC),"Digital, two spark plugs per cylinder",Liquid,5-speed,Shaft drive (cardan)   (final drive),,45mm inverted fork,Dual shocks with five-position spring preload adjustability,130/70-R18 ,180/55-R18 ,Double disc. Dual disc with LBS three-piston calipers,316 mm (12.4 inches),Single disc. Single disc with LBS twin-piston caliper,351.1 kg (774.0 pounds),"701 mm (27.6 inches) If adjustable, lowest setting.",,,,,1669 mm (65.7 inches),18.16 litres (4.80 US gallons),,"Black, Candy Red Tribal",,,,Model ID: VTX1800F1 for Package 1 and VTX1800F2 for Package 2.,,,,,,,3,109 mm (4.3 inches),99 mm (3.9 inches),31.0°,144 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
LML NV Spl,2010,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",149.6 ccm (9.13 cubic inches),"Single cylinder, two-stroke",8.0 HP (5.8  kW)) @ 5500 RPM,,,,Carburettor,,CDI,Air,4-speed,,,,,3.50-10 ,3.50-10 ,,,,,,,,,160 mm (6.3 inches),1235 mm (48.6 inches),8.00 litres (2.11 US gallons),,,,,104.0 kg (229.3 pounds),LML is an abbreviataion of Lohia Machines Limited in India. Available as an ES model with electric starter and a KS version with a Kick Start.,,,0.0769 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL 250GS,2010,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,253.0 ccm (15.44 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,CDI,Liquid,5-speed,Chain   (final drive),Steel,Hydraulic Spring Shock,"Hydraulic Spring, Central Mono Shock, Swing Arm",110/70-17 ,140/70-17 ,Double disc,,Expanding brake (drum brake),,,1020 mm (40.2 inches),1900 mm (74.8 inches),720 mm (28.3 inches),150 mm (5.9 inches),1380 mm (54.3 inches),13.00 litres (3.43 US gallons),,"Red, Blue, Green, Black",Electric,,140.0 kg (308.6 pounds),Made by Chongqing Veli Technology.,,,,,,130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF150R,2010,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,,11.7:1,66.0 x 43.7 mm (2.6 x 1.7 inches),Carburettor. Keihin 32mm flat slide with throttle position sensor (TPS),Single Overhead Cams (SOHC),Solid-state CD with electronic advance,Liquid,5-speed,Chain   (final drive),,37mm fully adjustable leading-axle inverted Showa cartridge fork,Pro-Link fully adjustable Showa single shock,70/100-17 ,90/90-14 ,Single disc,190 mm (7.5 inches),Single disc,83.0 kg (183.0 pounds),"833 mm (32.8 inches) If adjustable, lowest setting.",,,,302 mm (11.9 inches),1260 mm (49.6 inches),4.31 litres (1.14 US gallons),,"Red, Black",,,,Model ID: CRF150R,,,,,,,,274 mm (10.8 inches),274 mm (10.8 inches),27.0°,78 mm (3.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 150 SX,2010,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",143.6 ccm (8.76 cubic inches),"Single cylinder, two-stroke",,,,56.0 x 58.4 mm (2.2 x 2.3 inches),Carburettor. Keihin PWK 38S AG,,Kokusan,Liquid,6-speed,Chain   (final drive),Cental double-cradle-type 25CrMo4,WP USD 48 mm fork,WP PDS shock absorber,80/100-21 ,100/90-19 ,Single disc,,Single disc,,"985 mm (38.8 inches) If adjustable, lowest setting.",,,,390 mm (15.4 inches),1471 mm (57.9 inches),8.00 litres (2.11 US gallons),,Orange,,"Wet mDouble disk clutch, operated hydraulically",90.8 kg (200.2 pounds),Offroad Competition model,,,,Mixture oil lubrication 1:40,,,,300 mm (11.8 inches),335 mm (13.2 inches),26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road Hopper Type 5i Evo,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",,,8.5:1,88.0 x 108.0 mm (3.5 x 4.3 inches),,,,,5-speed,Chain   (final drive),ZERO Original Design,74 Springer,,5.00-16 ,5.00-16 ,Single disc. HD 1-Piston,,Single disc. Wilwood 2-P,,"660 mm (26.0 inches) If adjustable, lowest setting.",,2300 mm (90.6 inches),720 mm (28.3 inches),100 mm (3.9 inches),1600 mm (63.0 inches),7.00 litres (1.85 US gallons),,"Blue, red, yellow, black.",Electric,,230.0 kg (507.1 pounds),Made by Zero Engineering. See also Samurai Choppers.,,,,,,,,,,33.2°,,,,2.80 litres (2.96 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Bimota DB5S,2010,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1079.0 ccm (65.84 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 7000 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 5500 RPM,10.5:1,98.0 x 71.5 mm (3.9 x 2.8 inches),"Injection.  Magneti Marelli. Bitron 3.5bar fuel pump, electronic",Desmodromic valve control,,Air,6-speed,Chain   (final drive),CrMo steel tubular trellis,"UD Marzocchi TiN Coated Fork Full Adjustable (Pre-load, Compression, Rebound)","Monoshock Extreme Tech Full Adjustable (Pre-load -External Hydraulic Device, Compression, Rebound",120/70-17 ,180/55-17 ,"Double disc. Floating Discs Brembo, Radial Caliper Brembo 4-Pistons, 4-Pads",230 mm (9.1 inches),"Single disc. Brembo, 2-Pistons, 2-Pads Brembo",189.0 kg (416.7 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",1230 mm (48.4 inches),2045 mm (80.5 inches),,170 mm (6.7 inches),1425 mm (56.1 inches),16.00 litres (4.23 US gallons),5.00 litres (1.32 US gallons),"Red/white, yellow/black",Electric,"Wet Clutch, multi-disc",,Ducati engine.,,,,Wet sump,"2 in 1 in 2, inox",,2,120 mm (4.7 inches),120 mm (4.7 inches),24.0°,108 mm (4.3 inches),,,,,,,,,9000,51.0,,,,,,,,,,,,49.0,,,,,
Suzuki V-Strom 650 ABS,2010,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",,,11.5:1,81.0 x 62.6 mm (3.2 x 2.5 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Oil & air,6-speed,,,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",110/80-R19 ,150/70-R17 ,Double disc. ABS,,Single disc. ABS,220.0 kg (485.0 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",,2290 mm (90.2 inches),,165 mm (6.5 inches),1555 mm (61.2 inches),22.00 litres (5.81 US gallons),,Gray,,,,,,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Merc Rigid 100 Smooth Carb,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1638.8 ccm (100.00 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)),149.2 Nm (15.2 kgf-m or 110.0 ft.lbs),,101.6 x 101.6 mm (4.0 x 4.0 inches),Carburettor. S and S Super E Carburetor,,S and S,,5-speed,Chain   (final drive),BBC Merc Rigid,BBC Merc Springer,Rigid,90/80-21 ,250/80-18 ,Single disc. 4-piston calipers,,Single disc. 4-piston caliper,,"584 mm (23.0 inches) If adjustable, lowest setting.",,2946 mm (116.0 inches),,,2235 mm (88.0 inches),14.66 litres (3.87 US gallons),,"Gross Black, satin black, charcoal metallic, silver metallic, black cherry, candy red metallic, firecracker red, orange pearl, electric blue. Standard or Custom Paint Scheme.",Electric,,294.8 kg (650.0 pounds),,,,0.3222 HP/kg,S and S high volume oil pump,Chrome Tuned Exhaust,,,76 mm (3.0 inches),76 mm (3.0 inches),48.0°,95 mm (3.8 inches),,,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
KTM 990 Adventure R,2010,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"Twin, four-stroke",113.3 HP (82.7  kW)) @ 8750 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 6750 RPM,11.5:1,101.0 x 62.4 mm (4.0 x 2.5 inches),Injection. Keihin electronic injection,Double Overhead Cams/Twin Cam (DOHC),Keihin EMS,Liquid,6-speed,,"Chromium-Molybdenum trellis frame, powder-coated",WP USD fork,WP mono shock PDS with hydr. spring preload,90/90-21 ,150/70-18 ,"Double disc. 2 x Brembo two piston, floating caliper, floating brake disc.",240 mm (9.4 inches),"Single disc. Brembo two piston, floating caliper, floating brake disc.",,"915 mm (36.0 inches) If adjustable, lowest setting.",,,,316 mm (12.4 inches),1570 mm (61.8 inches),19.50 litres (5.15 US gallons),,Black/gray/orange,Electric,"Wet mDouble disk clutch, operated hydraulically",207.0 kg (456.4 pounds),,,,0.5474 HP/kg,Pressure lubrication,Twin stainless steel silencer with regulated catalytic converter,,4,265 mm (10.4 inches),265 mm (10.4 inches),26.6°,119 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Giggle,2010,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",3.7 HP (2.7  kW)) @ 7500 RPM,3.7 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 7000 RPM,12.0:1,38.0 x 43.6 mm (1.5 x 1.7 inches),Injection,,TCI,Air,Automatic,Belt   (final drive),,Telescopic fork,Unit swing,120/90-10 ,120/90-10 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),93.0 kg (205.0 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),1915 mm (75.4 inches),695 mm (27.4 inches),115 mm (4.5 inches),1280 mm (50.4 inches),4.50 litres (1.19 US gallons),,"Olive, blue, white",Electric & kick,,,,,,,Wet sump,,,,65 mm (2.6 inches),56 mm (2.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 EXC,2010,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Keihin PWK 36 S AG,,Kokusan,Liquid,5-speed,Chain   (final drive),Central double-cradle-type 25CrMo4 steel,WP USD fork,WP PDS shock absorber,90/90-21 ,140/80-18 ,Single disc,,Single disc,,"985 mm (38.8 inches) If adjustable, lowest setting.",,,,385 mm (15.2 inches),1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,Orange/black/gray,Kick,"Wet mDouble disk clutch, operated hydraulically",100.8 kg (222.2 pounds),KTM´s Offroad Competition ECX model series.,,,,Mixture oil lubrication 1:60,Lubrication,,,300 mm (11.8 inches),335 mm (13.2 inches),26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Spyder RS,2010,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",106.0 HP (77.4  kW)) @ 8500 RPM,104.0 Nm (10.6 kgf-m or 76.7 ft.lbs) @ 6250 RPM,10.8:1,97.0 x 68.0 mm (3.8 x 2.7 inches),Injection. Multi-point EFI with 57 mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition with dual output coil,Liquid,5-speed,Belt   (final drive),SST Spyder (Surrounding Spar Technology),Double A-Arm with anti-roller,Swing-arm with monoshock,165/65-R14 ,225/50-R15 ,"Double disc. EBD, ABS. 4 piston calipers. Foot-actuated, fully integrated hydraulic 3-wheel braking system.",260 mm (10.2 inches),"Single disc. EBD, ABS. Electro-mechanical park brake system with actuator on the rear caliper.",,"737 mm (29.0 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),2667 mm (105.0 inches),1506 mm (59.3 inches),115 mm (4.5 inches),1727 mm (68.0 inches),25.00 litres (6.61 US gallons),,"Full Moon Silver, Roadster Red, Quantum Blue, Millennium Yellow",Electric,,317.0 kg (698.9 pounds),Three wheel bike.,,,0.3344 HP/kg,Lubrication 5W40 Semi-Synthetic oil,Exhaust system 2-into-1 with catalytic converter,,4,145 mm (5.7 inches),145 mm (5.7 inches),,,,,4.50 litres (4.76 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
E-max 120L,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,2.7 HP (2.0  kW)),,,,,,,Air,Automatic,,,Oil/gass pressure,Oil/gass pressure,130/60-13 ,130/60-13 ,Single disc. Hydraulic floating disc brake,,Single disc. Hydraulic floating disc brake,,,,,,,,,,"Black, blue, yellow, red, green, gray, white",Electric,No clutch or transmission,135.0 kg (297.6 pounds),"13´´ high torque maintenance free motor. 1.5-5 hours charging time. Lithium ion battery, 15 x 3.2V/60Ah. Operating range 90-115 km. German brand.",,,0.0199 HP/kg,,,60.0 km/h (37.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vento Triton r4,2010,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.9 HP (3.6  kW)) @ 7000 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 6500 RPM,,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,,CDI,Air,Automatic,Belt   (final drive),,Telescopic hydraulic fork,"Single shock, hydraulic",120/70-12 ,130/70-12 ,Single disc. ABS,,Single disc,,"739 mm (29.1 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),1890 mm (74.4 inches),691 mm (27.2 inches),,,5.29 litres (1.40 US gallons),,"Cosmic Blue/Matte Black,
Formula Red/Matte Black,
Mustang Yellow/Matte Black
",Electric,,93.9 kg (207.0 pounds),,,,0.0522 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linhai Drive In 150,2010,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,,,,,Single Overhead Cams (SOHC),,Air,Automatic,Shaft drive (cardan)   (final drive),,Telescopic fork,Adjustable hydraulic shock,100/80-16 ,100/80-16 ,Single disc,,Single disc,127.0 kg (280.0 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,2114 mm (83.2 inches),,,1435 mm (56.5 inches),,,"Black, gray",Electric & kick,Automatic,120.0 kg (264.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am DS 450 EFI,2010,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.3 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,,,97.0 x 60.8 mm (3.8 x 2.4 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,5-speed,Chain   (final drive),"No weld, ALTEC twin pyramidal aluminum frame","R-Type forged aluminum double A-arm, KYB HPG piggyback shocks with compression, rebound and preload adjustments","R-Type cast aluminum swingarm, Chromoly hollow rear axle, KYB HPG piggyback shock with compression, rebound and preload adjustments",21/7-10 ,20/10-9 ,Double disc,198 mm (7.8 inches),Single disc,,"838 mm (33.0 inches) If adjustable, lowest setting.",,,,229 mm (9.0 inches),,11.35 litres (3.00 US gallons),,Yellow,Electric,"Heavy-duty clutch, 9 friction plates with DirectLink mechanism",156.5 kg (345.0 pounds),,,,,,,,4,241 mm (9.5 inches),267 mm (10.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fokamo ATV 300 Tatanka,2010,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,282.0 ccm (17.21 cubic inches),"Single cylinder, four-stroke",18.8 HP (13.7  kW)) @ 6500 RPM,20.9 Nm (2.1 kgf-m or 15.4 ft.lbs) @ 5750 RPM,,,,,,Air,5-speed,,,,,21/7-10 ,21/10-8 ,Single disc,,Single disc,,,1060 mm (41.7 inches),1843 mm (72.6 inches),1076 mm (42.4 inches),,,8.20 litres (2.17 US gallons),,Camo,Electric,Wet multiplate,210.0 kg (463.0 pounds),Italian brand.,,,0.0894 HP/kg,,,85.0 km/h (52.8 mph),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Mana 850,2010,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",839.3 ccm (51.21 cubic inches),"V2, four-stroke",75.1 HP (54.8  kW)) @ 8000 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs),10.0:1,88.0 x 69.0 mm (3.5 x 2.7 inches),Injection. Integrated engine management system. Weber Marelli electronic fuel injection with one 38 mm throttle body,,"Digital electronic ignition, with two spark plugs per cylinder, integrated with fuel injection system",Liquid,Automatic,Chain   (final drive),High strength steel trellis ,43 mm upside-down fork. Wheel travel: 120 mm.,Aluminium alloy single-piece swingarm.  Hydraulic shock absorber adjustable in spring preload and rebound damping. Wheel travel: 125 mm,120/70-17 ,180/55-17 ,Double disc,260 mm (10.2 inches),Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2080 mm (81.9 inches),800 mm (31.5 inches),,1463 mm (57.6 inches),16.00 litres (4.23 US gallons),,"Blue, gray, white, black",Electric,Automatic,185.0 kg (407.9 pounds),,,,0.4059 HP/kg,Dry sump with separate oil reservoir,Two in one system in 100% stainless steel with three-way catalytic converter and Lambda probe,,4,,,25.0°,103 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 690 Enduro R,2010,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Single cylinder, four-stroke",,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 6000 RPM,11.8:1,102.0 x 80.0 mm (4.0 x 3.1 inches),Carburettor. Keihin EMS with EPT,Overhead Cams (OHC),Keihin,Liquid,6-speed,,"Chromium-Molybdenum trellis frame, powder coated","WP USD fork, 48 mm",WP mono shock with Pro Lever Linkage,90/90-21 ,140/80-18 ,"Single disc. Brembo two piston, floating caliper",240 mm (9.4 inches),"Single disc. Brembo single piston, floating caliper",,"930 mm (36.6 inches) If adjustable, lowest setting.",,,,300 mm (11.8 inches),1498 mm (59.0 inches),12.00 litres (3.17 US gallons),,Orange/black/gray,Electric,"APTC slipper clutch, hydraulically operated",138.5 kg (305.3 pounds),,,,,Pressure lubrication with 2 Eaton pumps,Stainless steel silencer with regulated catalytic converter,,4,275 mm (10.8 inches),275 mm (10.8 inches),27.0°,115 mm (4.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
